pid,function declaration,parameter,variable declaration,loop,conditional statement,comment,conditional block
136,18,8,12,85,37,0,24
176,7,8,6,67,14,0,2
155,24,20,8,65,34,0,80
117,1,2,5,38,16,0,9
166,4,1,2,103,25,0,40
317,2,11,9,172,59,1,46
168,18,4,6,74,18,0,0
319,0,0,0,5,0,0,1
182,1,3,12,41,19,0,8
310,0,0,0,0,0,0,0
129,29,22,33,66,30,0,17
111,2,0,2,22,5,0,0
313,4,1,4,79,33,0,40
315,18,9,0,59,12,0,9
133,8,10,4,48,10,0,34
143,13,19,13,43,9,0,5
311,12,20,20,55,21,0,6
314,4,1,2,25,5,0,1
106,0,0,0,1,0,0,0
318,3,0,0,0,3,0,2
147,13,34,5,81,2,0,14
191,3,0,5,34,15,0,16
189,5,0,12,159,21,0,7
316,48,30,4,67,12,0,21
139,48,38,25,175,61,0,59
