pid,public.0,void.0,go.0,String.0,theUserName.0,try.0,new.0,ChatUI.0,MessageInputReceiver.0,this.0,theUserName.1,// shake hands.200,writer.0,println.0,theUserName.2,writer.1,flush.0,// OK means init with server went well.201,if.0,reader.0,readLine.0,equals.0,"""OK"".0",initialized.0,=.0,TRUE.0,readChat.0,else.0,bailOut.0,new.1,IOException.0,"""handshake failed"".100",catch.0,IOException.1,ioe.0,bailOut.1,ioe.1,catch.1,Exception.0,e.0,bailOut.2,e.1,code,participant_summary
136,0,2,1,4,5,0,0,31,33,3,3,13,0,17,11,3,19,0,0,1,9,0,0,45,0,2,8,0,7,0,0,0,0,1,0,1,0,0,4,0,2,0,81,14
176,0,0,1,0,0,0,0,14,6,0,0,5,2,12,0,7,15,0,0,3,10,1,0,11,0,1,6,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,45,26
155,0,0,0,0,0,5,1,1,6,0,0,6,8,3,1,9,6,0,0,1,2,0,0,20,2,6,10,1,3,0,2,0,0,0,0,5,2,6,7,0,3,0,52,5
117,1,3,0,0,1,3,1,3,4,0,0,1,9,4,0,6,3,0,0,8,2,1,0,6,0,0,3,1,6,3,1,0,4,0,0,7,0,4,1,0,4,0,41,25
166,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,4,3,0,0,2,2,1,0,6,2,0,10,1,4,3,1,0,3,3,0,10,2,3,8,0,0,0,19,15
317,0,0,2,0,0,0,0,0,1,0,0,0,3,4,2,4,3,0,0,7,0,0,0,2,0,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0,4,0,90,25
168,0,0,0,6,0,0,0,4,1,0,0,2,0,2,1,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14
319,0,0,0,0,0,0,0,2,0,0,0,0,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
186,0,0,0,0,0,0,0,5,1,0,0,1,3,16,13,9,17,0,0,0,4,3,0,4,0,1,9,0,5,0,0,0,0,2,0,0,3,0,1,0,2,0,37,14
182,2,4,1,1,3,2,0,4,3,0,0,0,7,5,0,0,2,0,0,0,1,1,0,0,0,0,3,3,3,0,0,0,0,2,0,0,0,1,0,0,0,0,40,38
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
129,0,0,5,8,1,0,0,7,8,0,0,2,0,6,4,0,5,0,0,10,2,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47,28
111,2,3,3,2,1,8,3,5,4,8,1,2,15,4,0,13,7,0,5,2,8,1,0,0,0,0,0,0,3,0,1,0,0,2,0,6,0,1,0,0,1,0,61,4
313,0,0,0,0,0,0,4,1,3,3,0,0,11,1,0,12,0,0,0,2,0,5,0,4,0,0,2,4,6,0,4,0,0,0,0,0,0,2,0,0,0,0,18,50
315,0,1,2,2,3,0,1,6,2,3,3,4,0,11,3,0,13,0,0,1,4,1,0,4,1,5,13,0,4,0,0,0,0,3,0,1,1,0,12,0,1,1,59,63
133,3,1,0,5,5,0,3,24,15,11,1,5,4,7,7,4,4,0,0,15,18,2,0,13,0,0,12,0,11,0,1,0,0,8,0,12,0,0,4,0,0,0,64,36
143,0,3,7,0,2,0,0,11,1,0,0,0,3,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,27,28
311,0,0,0,0,0,0,9,1,0,1,0,2,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,22,5
314,0,0,5,2,0,0,0,2,2,1,0,1,0,3,0,0,4,0,0,3,0,0,0,2,0,0,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,17,0
106,0,1,0,1,1,0,1,6,8,0,0,3,4,0,1,10,6,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,76
318,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,13
147,0,10,4,11,3,0,0,14,9,0,0,4,8,15,1,9,4,0,0,5,12,5,0,5,0,0,4,0,1,4,1,0,3,4,0,2,0,0,0,0,0,0,58,31
191,0,1,6,12,16,0,2,24,5,4,1,6,3,3,0,0,5,0,0,7,5,1,0,6,0,0,2,2,1,0,0,0,0,1,0,8,1,1,0,0,0,0,57,28
189,0,0,1,2,1,0,0,9,2,0,0,7,0,32,5,0,20,0,0,2,7,3,2,9,1,3,26,0,3,0,3,0,0,4,0,2,7,1,4,0,0,0,72,22
316,0,0,2,10,4,0,0,21,1,0,0,4,0,8,0,0,1,0,0,1,1,0,0,3,0,0,0,0,3,0,0,0,0,3,0,2,0,0,4,0,0,0,51,44
312,0,0,0,0,0,0,0,4,2,0,0,0,0,5,13,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6
139,1,2,1,5,3,1,6,27,33,0,0,6,10,31,14,8,31,0,1,16,12,0,0,10,0,0,9,4,9,1,0,0,3,5,0,6,1,0,2,0,5,0,104,45
