pid,public.0,void.0,clearFieldersFromField.0,// clear all fielders from field.200,for.0,int.0,i.0,=.0,0.0,i.1,<.0,boardXDimension.0,i.2,for.1,int.1,j.0,=.1,0.1,j.1,<.1,boardYDimension.0,j.2,for.2,int.2,a.0,=.2,0.2,a.1,<.2,boardZDimension.0,a.2,cricketFieldPositions.0,i.3,j.3,a.3,=.3,0.3,code,participant_summary
136,0,0.01666500000283122,0.03333612496498972,0,0,0.016670000040903687,0,0,0.016670000040903687,0,0,0.0366666000103578,0,0,0,0,0,0,0,0,0.020000600023195148,0,0,0.0208337499643676,0,0,0.016669000033289194,0.03750175004824996,0,0.022222888888791203,0,0.025001666663835447,0.016668500029481947,0,0,0,0,0.8316123157764148,0.24115412498940714
176,0,0,0.10000139996409416,0,0,0,0,0,0,0.033337999833747745,0,0.07917199993971735,0,0,0,0,0,0,0,0,0.05000400001050106,0,0,0.02666740003041923,0,0.016667000018060207,0.02500199992209673,0,0,0.04583449999336153,0,0.10985445455563339,0,0,0,0,0,0.8267006000503898,0.21591590910049324
155,0,0,0.0555570000045312,0,0,0.05416600001626648,0.022223000007215887,0.016667000018060207,0.03833489999524318,0.13333800004329532,0.06666800001403317,0.053890733343238635,0,0.016668999994484086,0.016667000018060207,0.03333900001598522,0,0.016667000018060207,0.02500049999798648,0.025001999994856305,0.03571499999712354,0,0.02777733331701408,0.04166599997552112,0,0,0.030559666687622666,0,0.024999500019475818,0.04166849999455735,0,0.06909904166968772,0.033334000036120415,0.016667000018060207,0,0,0,0.704859318837618,0.5112370384583931
117,0,0,0.029545636355495928,0.02500049999798648,0,0,0,0,0,0.016666000010445714,0,0.05166900000767782,0,0,0,0.016667000018060207,0,0.025000000023283064,0,0,0.016666999988956377,0,0,0,0,0,0.016667000018060207,0,0,0.05000100005418062,0,0,0,0,0,0,0,0.8574901052634232,0.5688810526411735
166,0,0,0,0,0,0.016667000018060207,0,0,0,0.06667000008746982,0,0,0,0,0,0,0,0.016667000018060207,0,0,0,0,0.033337999950163066,0.037501499988138676,0,0,0.02222166668313245,0,0,0,0,0.03389080000730852,0,0,0,0,0,0.5362965293872335,0.23788740909764206
317,0,0,0.03125153124892677,0.01851855556661677,0,0,0,0.01666799996746704,0.027778000008159626,0.016667000018060207,0,0.021930315779938706,0,0,0.016666000010445714,0,0,0,0.016666000010445714,0.016667500021867454,0.025001499995899696,0.041667999990750104,0,0.020833249989664182,0,0,0.016669999982696027,0,0.016671999997925013,0.028334550009458326,0,0.030392647046349284,0.016666000010445714,0.016667000018060207,0.05000300001120195,0,0,1.0383742999995593,0.13142545900181637
168,0,0,0.024998000008054078,0.03666880000382662,0,0.025000999943586066,0,0.016666000010445714,0,0,0,0.06416789998183958,0.02500049999798648,0,0,0.033334000036120415,0.016667000018060207,0.024999999965075403,0,0,0.04444583333679475,0.016667000018060207,0,0.03333200002089143,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4824658888844877,0.13765375000366475
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03332399995997548,0,0,0,0,0,0.32778983334234607,0.22834250000305473
182,0,0,0.04537344445189875,0.016667000018060207,0,0,0,0,0,0,0,0.03333800000837073,0.07083549999515526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6037264444425495,0.2550095333329712
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333650003187358,0
129,0,0,0.07500250000157394,0.045837000012397766,0,0,0.016666999959852546,0.016665999952238053,0,0,0,0.06944733333269444,0,0,0,0,0,0.03750025000772439,0,0.03333200002089143,0.031251499996869825,0.02500200000940822,0,0,0.05000399996060878,0,0.041667999990750104,0,0,0.025000000023283064,0,0.04999949998455122,0,0,0,0,0,0.9090081538306549,0.41355662497517187
111,0,0.06944699999682295,0.07262153571147272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.644851250001011,0
313,0.016671999997925013,0.07778099999025774,0.03500125000718981,0,0,0,0,0.038892000021102525,0,0,0.03333499998552725,0.0464304285664444,0,0.016666999988956377,0,0,0,0,0,0,0.050002333332991436,0,0,0.027777333336416632,0.022225333338913817,0,0.016666999988956377,0,0,0.022223666669257607,0,0.034849272727363066,0.04999999998835847,0.02222066666581668,0,0,0,0.6957421428565534,0.24140748387153801
315,0,0,0.03334399999585003,0,0,0,0,0,0.016671999997925013,0.03333299997029826,0,0.016667000018060207,0,0,0.016667000018060207,0,0,0.016667000018060207,0,0.016666999959852546,0,0,0,0,0,0,0,0,0,0.01666650001425296,0,0.03333500000007916,0,0,0,0,0,0.9646196250032517,0.20000891667344453
133,0,0,0.04166944441385567,0,0,0,0,0,0,0.05000000004656613,0,0.07708600000478327,0,0,0.0833329998422414,0,0,0,0,0,0.10000266674129914,0,0,0.03333300002850592,0,0,0.0416664999211207,0.01667199982330203,0,0.06288118188438768,0,0.03333374997600913,0,0,0,0,0,1.6930145384707989,0.45134995999746025
143,0,0,0.05083599999779835,0,0,0,0,0,0.016667000018060207,0,0,0.02000020000850782,0,0,0,0,0.016667000003508292,0.016667999982018955,0.03333599999314174,0,0.033333999977912754,0.016666666653084878,0,0.03333800003747456,0.016667000018060207,0,0,0,0.016667000018060207,0.0416685999953188,0,0,0,0,0,0,0,3.045115000003716,0.1727325454531555
311,0,0,0.07083750006859191,0,0,0,0,0,0,0.016666000010445714,0,0.05833350005559623,0,0,0.0666693333381166,0,0,0,0.1166740000480786,0,0.027778833347838372,0,0,0,0,0,0,0,0.016672999947331846,0.03205249999434902,0,0.03055666668418174,0,0,0,0,0,1.0593006666491016,0.18810153572121635
314,0,0,0.025001416659506503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5250167499907548,0.0766693000041414
106,0.016666000010445714,0.049995999987004325,0.036844210521514084,0,0,0.02778333333359721,0,0,0,0.016666000010445714,0,0.029166812493713223,0,0,0,0,0.01666799999657087,0,0,0,0.034091909087940374,0,0,0.05000149998522829,0.05000150001433212,0,0.04166949998761993,0,0,0.06666960000293329,0,0.05416899998817826,0,0,0,0,0,0.7654626296296354,0.5077800344814274
318,0,0,0.05000299999179939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14231323077379224,0.3989289130473955
147,0,0,0.03437662499345606,0,0,0,0,0.016666000010445714,0.01667100004851818,0,0,0.045513000016888745,0,0,0,0,0,0,0,0,0.020002599968574942,0.0166680000256747,0,0,0,0,0.022222000019003946,0,0,0.030002199998125433,0,0.03499999999767169,0,0,0,0,0,1.6561201818033375,0.32686506665777415
191,0,0,0.04058200000461353,0.046669000014662745,0,0,0.033334000036120415,0,0,0.01666833332274109,0.016666000010445714,0.02708344999118708,0,0,0,0,0.016667000018060207,0.04166749998694286,0.02500049996888265,0.016667000018060207,0.026961705873391646,0,0.03571699997077563,0.027778333324628573,0.02777866666050007,0,0.033337999950163066,0,0.016670000040903687,0.03333558333300365,0,0.03611466668856641,0,0,0,0,0,1.4528393999983866,0.2990850555813975
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31667700000980403,0.2383428000146523
316,0,0,0.04305816665873863,0,0,0,0,0,0,0,0,0.05833649996202439,0.016666999959852546,0,0,0.016667000018060207,0,0.03333800000837073,0.016667000018060207,0,0,0,0,0.016669000033289194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6215936470475486,0.37437373076905855
312,0,0,0,0,0,0,0,0,0,0,0,0.14999200007878244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333580002654344,0,0,0,0,0,0.3833478889040028,0.1583395000488963
139,0,0,0.05303200000005084,0.055556666666840705,0,0.016666999999870313,0.01666800000081518,0.033329999998386484,0.02666860000026645,0.051666400000613066,0.016666999999870313,0.05178882142860987,0,0,0.04167299999971874,0,0,0.025000999999974738,0.03333666666670373,0.01666750000003958,0.04530097435870117,0,0,0.04000019999948563,0.016665999999531778,0,0.03333300000122108,0,0.016666999999870313,0.03611141666624462,0.05000099999961094,0.1333360000007815,0,0,0,0,0,1.3198376666664444,0.23161741379314255
