pid,public.0,void.0,swapItems.0,int.0,index.0,int.1,change.0,if.0,index.1,>=.0,0.0,&&.0,index.2,<.0,allItems.0,length.0,&&.1,change.1,>=.1,0.1,&&.2,change.2,<.1,allItems.1,length.1,MenuItem.0,temp.0,=.0,allItems.2,index.3,allItems.3,index.4,=.1,allItems.4,change.3,allItems.5,change.4,=.2,temp.1,code,participant_summary
136,0,0,0.04166700004134327,0.016667000018060207,0,0,0,0,0,0.033336499938741326,0.016667000018060207,0.025000000023283064,0.033335999973739185,0,0.05555766665687164,0,0,0.016667000018060207,0,0,0,0,0,0,0,0.07500366664802034,0.10417050000978634,0,0.033333999942988156,0,0.03333300002850592,0.03472325000135849,0,0.026042499957839027,0,0,0,0,0.016666000010445714,1.0778205555139317,0
176,0.016667500021867454,0.07778233336284757,0.05104274999757763,0.03333549993112683,0.08125112499692477,0.04000059994868934,0.12223033343131344,0,0.025000875029945746,0.052781999964887895,0.033334000036120415,0,0.03333749994635582,0,0.016667000018060207,0,0,0.026668200036510825,0,0,0,0,0,0,0,0.04611193335925539,0.02222466670597593,0,0.011111333267763257,0,0.05897707690914663,0.05625324998982251,0,0.0666673332452774,0,0.11667166673578322,0.016667000018060207,0,0.025005499948747456,1.2559998571523465,0.5121414545203813
155,0.033337000000756234,0.016667000018060207,0.0333346666690583,0.04999933335542058,0.016667000018060207,0.052085000002989545,0,0,0,0,0,0,0.01666799996746704,0,0,0.0958379999792669,0,0,0,0,0,0,0,0,0,0.05000399996060878,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2604660000142758,0.1966738000162877
117,0,0.03141100000805007,0.031251428576069884,0.022224166663363576,0.030770461549624227,0.04166799997134755,0.037501500017242506,0,0.02045572726373476,0.016666000010445714,0,0.027778999976969015,0.027084249988547526,0,0.033334200002718715,0,0,0,0,0,0,0,0,0,0,0.016665999981341884,0.016666857151514187,0,0.031019888886172946,0,0,0.033333999977912754,0,0,0,0,0,0,0,1.238091434781065,0.26834411999443547
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023331400007009506,0,0,0,0,0,0,0,0,0,0,0.033334000036120415,0.016667000018060207,0,0.08055633333666871,0,0.016667750023771077,0.026669600000604986,0,0,0,0.025001500005600974,0.035419250023551285,0,0.08334000001195818,1.0667084285856359,0.13333777774177077
317,0,0,0.030000400019343943,0.03333299997029826,0.033333999977912754,0.01666799996746704,0,0,0.016667000018060207,0.025002499984111637,0,0,0.016666999959852546,0,0.016667000018060207,0.01666649998514913,0,0.016668333342143644,0,0,0,0,0,0.016666999959852546,0.016666000010445714,0.04166600000462495,0.023334799986332654,0,0.044448999979067594,0.037502499981201254,0,0.04444599997562667,0,0.020002799993380904,0.016673000005539507,0,0.03333300002850592,0,0.050001999974483624,0.5938833157885248,0.13253204838462895
168,0,0.02500049999798648,0.02083350000611972,0,0.016666000010445714,0,0.016665999952238053,0,0,0,0,0,0.03055583332510044,0.016666000010445714,0.024999499990371987,0,0,0,0,0,0,0,0,0,0,0.03333333332557231,0.01666675000160467,0,0.019047714279232814,0,0.025002500013215467,0,0,0.01667100001941435,0.016667000018060207,0,0.0312512499949662,0,0,0.6337540952372365,0.42131011111497946
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024998499953653663,0,0,0.11250441667895454,0.041670250036986545
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416687999968417,0.1690551428639862
182,0.024999999994179234,0,0.08472399998572655,0,0,0.016668999975081533,0,0,0,0.13334100000793114,0.016667000018060207,0,0.027777333336416632,0,0.17500699998345226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6189123666709444,1.1083754999926896
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0.06905099999858066,0.050003999999413885,0,0.02916700000059791,0.016666000010445714,0,0.04583450000791345,0.016666000010445714,0,0.05416699999477714,0.03749899999820627,0.016667000018060207,0.041670166654512286,0.2083390000043437,0,0,0,0,0,0.01667099999031052,0,0.022222333335472893,0,0.027382571424823254,0.016666000010445714,0.016667000018060207,0.031864411762559455,0,0.016669999982696027,0.027778333324628573,0,0.06666680000489578,0,0,0,0,0,0.9900370800052769,0.5324267222248535
111,0.045835500000976026,0.027778444446287014,0.040477571428449925,0.0166659999958938,0.07000259999767877,0.0249983333342243,0,0.02500000000145519,0.022223111107854895,0.04047814285773451,0.01667099999031052,0.027779333334668383,0.04583512499448261,0,0,0.1125035000150092,0.07222766666867149,0.05500279999978375,0.01666799999657087,0,0.050002499992842786,0.08333900000434369,0.0250030000024708,0,0,0.026190142858208025,0.05000000000291038,0.016666999988956377,0.06547942857391068,0.03611099999883057,0.08750249999623823,0,0,0,0,0.033332999988488154,0.08334199999808334,0,0,1.1399980769227767,0.22785399999950798
313,0,0.02083300000958843,0.10417100000631763,0.02500150001045161,0.02333539999090135,0.041665500015369616,0.04999999998835847,0,0,0.05000300001120195,0,0,0.05208550000679679,0.025004000010085292,0.03333389999752399,0,0,0.02666619998635724,0,0,0,0,0,0,0,0,0.05000399998971261,0,0.016667000003508292,0,0.11667000001762062,0,0,0,0,0,0.05000199998903554,0,0,1.1912235882345532,0.4163803272743032
