pid,private.0,void.0,updateGain.0,int.0,pos.0,=.0,getValue.0,int.1,value.0,=.1,int.2,127.0,*.0,double.0,pos.1,/.0,100.0,MidiChannel.0,cs.0,=.2,synthesizer.0,getChannels.0,for.0,int.3,I.0,=.3,0.0,I.1,<.0,cs.1,length.0,i.0,cs.2,i.1,controlChange.0,7.0,value.1,code,participant_summary
136,0,0.016667500021867454,0.09722633329996218,0,0.02407499997773104,0,0.02083400000507633,0.01667100004851818,0.031819545473395425,0,0.023334399983286857,0.02778000004279117,0,0.02500125000369735,0.016666749957948923,0.033343999879434705,0,0.02371861536700565,0.016666000010445714,0,0.03333371428639761,0,0,0,0,0.025002499925903976,0.031251874985173345,0.01666500000283122,0.016670500044710934,0.016666000010445714,0.027382714274738516,0,0,0,0.05092828887928691,0.016667000018060207,0,0.4301449743469652,0.18258254547518762
155,0,0.04167000000597909,0.03472400001677064,0.020834249997278675,0.024999499990371987,0,0.016666000010445714,0.03333033334153394,0.04166766666457988,0.03333200002089143,0.03055800000826518,0.024997000000439584,0,0.05500040000770241,0,0.15000500000314787,0,0.053335600008722395,0,0,0.016665999952238053,0.11667299998225644,0.02222366667895888,0,0.04166674998123199,0.016666249983245507,0.033334000036120415,0.033334000036120415,0,0.06667700002435595,0.01666799996746704,0,0.01666649998514913,0,0.08500320001039655,0.058334499975899234,0.016666999988956377,0.6287278148164559,0.08397823077841447
117,0.0527783333188078,0.041666500037536025,0.09643342859011941,0.030770384617006548,0,0,0.020833249989664182,0.026191000011749566,0.03333574999123812,0,0.016666999998657655,0.025000999972689897,0,0.027777666652885575,0,0,0,0.044447999990855656,0.016667000018060207,0,0.01666649998514913,0,0.016665999952238053,0,0,0,0.02222300002661844,0,0,0,0,0,0,0,0,0,0,0.43016358823618195,0.45642684615002227
166,0,0,0,0,0,0,0,0,0.03333399991970509,0,0.03750249999575317,0,0,0,0,0,0,0.06667199998628348,0.01666650001425296,0,0.016666000010445714,0,0,0.03666740001644939,0.08333600003970787,0.02500499994494021,0.025001333366769057,0.01667699997778982,0,0.01666500000283122,0.0166664999560453,0.025001000030897558,0.025001166679430753,0,0.04000460000243038,0.033337000058963895,0.016667000018060207,0.29434620000422,0.16708880000514909
317,0,0,0,0,0,0,0.016667000018060207,0,0.03333599993493408,0,0.022222000019003946,0,0,0,0.033333999977912754,0,0.016666000010445714,0.09166800006642006,0,0,0.023335600015707315,0.06666849995963275,0,0.016667000018060207,0.016666000010445714,0,0,0.016666000010445714,0.08333299995865673,0.016666000010445714,0.03809628571616486,0.016668500029481947,0,0,0.04015363635368307,0.016666999959852546,0.016667000018060207,0.3357269870073462,0.05366085366368657
168,0,0,0.09166749997530133,0,0,0,0,0,0,0,0,0,0,0,0.016667000018060207,0,0.016665999952238053,0,0,0,0.028335000004153697,0.016666999959852546,0,0,0,0,0.01666799996746704,0.06666599999880418,0,0,0,0.016665999952238053,0,0,0.030557000020053238,0,0,0.3480627021264344,0.16389866666092226
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036668400000780824,0.03333449998172,0,0,0,0,0.016666999901644886,0,0,0,0,0,0,0,0.04666960001923144,0,0,0.1544179999961189,0.13167059998959302
186,0,0,0,0,0,0,0,0,0.01666799996746704,0,0,0,0,0,0,0,0,0.016666000010445714,0,0,0,0,0,0.027777666691690683,0,0,0,0,0,0,0.022223000007215887,0,0,0,0,0,0.01666649998514913,0.38107463634911587,0
182,0.02499974999227561,0.027777999988757074,0.03680758333454529,0.03333466670786341,0.05000300001120195,0.03750049998052418,0.027941705874742612,0.07000319999642671,0,0,0.02777783334022388,0.016666000010445714,0,0,0,0,0,0.030303727263923396,0,0,0.03333300002850592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4190630816286715,0.24234143998473884
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01666799990925938,0,0,0,0,0,0,0,0,0,0,0,0,0.07500150002306327,0
129,0,0.025001300015719607,0.043182818187316035,0,0.022917875008715782,0.033332499995594844,0.043057444447185844,0,0.04107328570431231,0,0.051391666677470006,0.033333999977912754,0.016666000010445714,0.016667000018060207,0,0,0,0.018751749987131916,0,0.01666500000283122,0.028335200005676596,0.2083379999967292,0,0.016666000010445714,0,0.016666999988956377,0.016666666643383603,0,0,0,0.05000159998890012,0.04999999998835847,0,0,0.027780999992198,0,0,0.7600671136275526,0.6991924999922048
111,0.05000112499874376,0.016667000003508292,0.03889116666687187,0.03571471428481995,0.0166659999958938,0.01666679999907501,0.03300063999893609,0.06363918182085565,0.055002500001864976,0.025001250000059372,0.11666899999545421,0.016667000003508292,0.016666999988956377,0.046797000000459284,0.024999999994179234,0,0,0.03750250000302913,0,0,0.036668400000780824,0.016668666663463227,0.027779833331199672,0.033336500004224945,0.016667000003508292,0.016666999988956377,0.0166659999958938,0.024999999994179234,0.008333500001754146,0.01666500000283122,0.027778000008159626,0,0.016668500000378117,0,0.1000030000024708,0,0,0.6550967681151646,0.19167057142892321
313,0.059093727280428124,0.029167499994703878,0.02121218181723221,0.021212863628699615,0.02778000000398606,0.016666000010445714,0.022917687501831097,0.022917999998753658,0.02916700000059791,0.016666999996232335,0.032354411759810964,0.027779833331199672,0.016666999988956377,0.06852288888896713,0.03055749999960729,0,0,0.03788072726853319,0,0.016666666672487434,0.03333383332937956,0.027777888889734943,0.027779500000178814,0.016666000010445714,0.03333299999940209,0.016666000010445714,0,0,0.03333299999940209,0.016666999988956377,0.016666499999701045,0,0.037880818171701816,0.016668000011122786,0.04514066666848117,0.016667000003508292,0,0.5359936499970597,0.4602037777844493
315,0,0,0.05000424997706432,0,0.03889066665821398,0.03334199998062104,0.04305641666481582,0,0.029631666677434824,0,0.03666720000328496,0.01666724999086,0,0,0,0,0,0.037500999994032704,0.016667000018060207,0,0.04444733331911266,0.05000699998345226,0,0,0,0,0,0,0,0,0.033333999977912754,0,0,0.016665999952238053,0.04285971427036982,0,0.016666000010445714,0.5268070714311242,0.1742499090879309
133,0,0.02777966670691967,0.03289594738989284,0.03333999984897673,0.024075444425559707,0,0.03654007689776616,0.0666659998241812,0.03333462501177564,0,0.03500079999212176,0.03148199998152753,0,0.04062706249533221,0,0,0,0.04621450001881881,0.005555333336815238,0,0.1283381000161171,0.016667000018060207,0.033334000036120415,0.03666719996836036,0.01666728570125997,0.016667000018060207,0.01666650001425296,0.022222833358682692,0.016666999901644886,0,0.05000215387330032,0,0,0.01666650001425296,0.033337666653096676,0,0,0.5554781666640858,0.41604253847319156
143,0.01666799999657087,0.021667599998181686,0.025928000001133315,0.02916700000059791,0.01666724999086,0,0.027470222222661874,0.036111333329851426,0.025002000002132263,0,0.020833750000747386,0.025757818181194703,0,0.030557000000650685,0.016666000010445714,0,0,0.01818354545552707,0.016669999982696027,0,0.02500130000116769,0,0.02500250000593951,0.0375004999950761,0.016667000018060207,0,0.0166659999958938,0.016666999988956377,0,0,0.041669333343937374,0,0,0,0,0,0,0.5316437948752607,0.4648973571415159
314,0,0,0.04166737499690498,0,0.05000699998345226,0,0.016666999996232335,0.016666000010445714,0.04479393749352312,0,0.0380977142901559,0.016666000010445714,0,0,0,0,0,0.02666829999507172,0,0,0.03333414285693185,0.055557555567550786,0,0,0,0,0,0.02222333333338611,0.0333379999792669,0,0.016665999981341884,0,0,0,0.02333560000406578,0,0,0.5672442666710897,0.10808530302584228
106,0.01666799999657087,0,0.04027924999536481,0.02500000000873115,0.01666650001425296,0.016665499992086552,0.02592900000228029,0.029168499997467734,0.03583480000379495,0,0.021668000001227483,0.0333379999792669,0,0.04524014285665804,0,0,0,0.02000220000045374,0.016666000010445714,0.016665999981341884,0.03958450000209268,0.01666799999657087,0.016666999988956377,0.016666999998657655,0.016668999975081533,0,0.01666679999907501,0.016671999997925013,0,0,0.03889066667761654,0,0,0,0.016665999981341884,0,0,0.341679294119411,0.17481344185504238
318,0.06667299999389797,0,0.03055649999684344,0.016671999997925013,0.016667000018060207,0,0,0,0,0,0,0.016666000010445714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666999959852546,0,0,0,0,0,0,0.033335499989334494,0,0,0.19688306250645837,0.17361699999310076
147,0,0.030000199959613384,0.054102365082750715,0,0.02794247058987179,0.016667000018060207,0.02789960868919835,0,0.03796388889249,0,0.04652966667587558,0.016667428542859852,0.016666000010445714,0.0402784999848033,0.033334000036120415,0,0,0.046053684194033086,0.0500009999377653,0,0.04091054545080459,0,0,0.03333424997981638,0,0,0,0.016667000018060207,0,0.013333199988119304,0.01666650001425296,0,0.03333333332557231,0.016666000010445714,0.025003090924160046,0.01666650001425296,0,0.6810303676500231,0.2045274915260468
189,0,0,0.05666939999791794,0.04285842856708249,0.02333359999465756,0.016667000018060207,0.041668642857985105,0,0.01666683334042318,0.016669000004185364,0.030683636366368526,0.03333599999314174,0,0,0,0,0.024999999994179234,0.03009372222974586,0.01666650001425296,0.0500060000049416,0.04657029411721263,0.027778833333286457,0,0.03333800000837073,0.01666950000799261,0,0.022222333335472893,0,0.041669500002171844,0.03333350000320934,0.04197629629548087,0.03333299999940209,0.025003499977174215,0,0.05039842857236397,0.03333200002089143,0.01666799999657087,0.7777327432429317,0.1937557499986724
316,0.016666999959852546,0.033333999977912754,0.03866859999485314,0,0.016666000010445714,0,0.03666690001264215,0.02222400001483038,0.026515136364402926,0,0.03222440000390634,0.03974546154495329,0.02499750000424683,0.03889099999408548,0,0,0,0.0333360000513494,0,0,0,0,0,0.03334299998823553,0,0,0.016665999952238053,0,0,0,0,0,0,0,0,0,0,0.6151761590921193,0.2599894000100903
