Participant,Quality,Method,YearsCoding,JavaExperience,AttentionSwitch_functiondeclaration,AttentionSwitch_parameter,AttentionSwitch_variabledeclaration,AttentionSwitch_externalclass,AttentionSwitch_exceptionhandling,AttentionSwitch_conditionalstatement,AttentionSwitch_loop,AttentionSwitch_return,AttentionSwitch_functioncall,AttentionSwitch_argument,AttentionSwitch_variable,AttentionSwitch_externallydefinedvariableorfunction,AttentionSwitch_assignment,AttentionSwitch_conditionalblock,AttentionSwitch_comment,AttentionSwitch_operator,AttentionSwitch_operation
106,0,addPKColumn_51577053,6,4.0,37.0,43.0,49.0,0.0,6.0,7.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
106,0,clearFieldersFromField_45147874,6,4.0,4.0,0.0,0.0,0.0,0.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
106,0,messageSent_19413001,6,4.0,48.0,12.0,41.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,39.0,0.0,0.0,0.0
106,1,BFSdist_44521080,6,4.0,4.0,1.0,3.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,1,appendDeclarations_36405409,6,4.0,30.0,7.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
106,1,getImageWithSource_1782360,6,4.0,23.0,2.0,19.0,0.0,0.0,24.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,1,go_14477536,6,4.0,6.0,9.0,0.0,17.0,2.0,7.0,0.0,0.0,17.0,13.0,0.0,9.0,0.0,4.0,6.0,7.0,0.0
106,1,searchRecipe_18421665,6,4.0,35.0,18.0,27.0,0.0,0.0,257.0,249.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,1,setPhoto_50994916,6,4.0,31.0,17.0,22.0,0.0,1.0,35.0,0.0,0.0,17.0,6.0,0.0,4.0,0.0,43.0,0.0,0.0,0.0
106,1,testNegativeParseCases_31696447,6,4.0,13.0,0.0,0.0,0.0,0.0,65.0,67.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
