Participant,Quality,Method,Fixation_Duration
317.0,2,makeUniqueParagraphForGlobalWithLength,0.49144691193775625
318.0,1,makeUniqueParagraphForGlobalWithLength,0.0388881666682815
136.0,1,appendDeclarations,0.25887370624889905
176.0,2,appendDeclarations,0.7331200142705381
155.0,0,appendDeclarations,0.7555688069615316
117.0,2,appendDeclarations,0.30551618782103585
166.0,1,appendDeclarations,0.5866169013070696
317.0,2,appendDeclarations,0.5072403223065821
168.0,1,appendDeclarations,0.4070744529644581
319.0,1,appendDeclarations,0.20001219990663222
186.0,1,appendDeclarations,0.3896847508722054
182.0,1,appendDeclarations,0.2739929461374053
310.0,0,appendDeclarations,0.1327800000746112
111.0,1,appendDeclarations,0.5762331091365164
313.0,1,appendDeclarations,0.38981624266265436
315.0,0,appendDeclarations,0.40331028080581016
133.0,2,appendDeclarations,0.3714268180452992
143.0,2,appendDeclarations,0.2439425490932992
311.0,1,appendDeclarations,0.2076454378848984
314.0,2,appendDeclarations,0.2462739077484866
106.0,1,appendDeclarations,0.3794279881124078
318.0,2,appendDeclarations,0.19723108327889322
147.0,1,appendDeclarations,0.3904522458330508
191.0,1,appendDeclarations,0.3960278246400304
189.0,2,appendDeclarations,0.3030232616710801
316.0,0,appendDeclarations,0.3207779354469485
139.0,2,appendDeclarations,0.8168783310351313
168.0,2,bug2689872,0.9226496230995896
311.0,2,bug2689872,0.79437216852056
106.0,2,bug2689872,0.4271049166127336
318.0,2,bug2689872,0.0
136.0,1,setGenJarDir,0.567187232668869
176.0,1,setGenJarDir,1.3466224296994276
155.0,2,setGenJarDir,0.8141851436373095
117.0,1,setGenJarDir,0.6170549993198751
166.0,2,setGenJarDir,0.732393453963431
317.0,1,setGenJarDir,0.764874532343169
168.0,1,setGenJarDir,0.42106602770218093
319.0,2,setGenJarDir,0.0
186.0,0,setGenJarDir,0.06667050003306929
182.0,1,setGenJarDir,0.6648436647965322
310.0,2,setGenJarDir,0.050002999952994204
129.0,2,setGenJarDir,0.9096367416515818
111.0,1,setGenJarDir,0.8475906141253967
313.0,2,setGenJarDir,0.7722426452324468
315.0,0,setGenJarDir,0.544828772393368
133.0,2,setGenJarDir,0.7943951276050483
143.0,2,setGenJarDir,0.5976715821677111
311.0,1,setGenJarDir,0.44341765636188246
106.0,2,setGenJarDir,0.0
318.0,1,setGenJarDir,0.0999970000120811
147.0,1,setGenJarDir,0.6864033677243409
191.0,0,setGenJarDir,0.7168979794425596
189.0,2,setGenJarDir,0.6557871325726149
316.0,0,setGenJarDir,0.4858212898407616
312.0,2,setGenJarDir,0.2803567929910693
139.0,1,setGenJarDir,0.979740789572393
136.0,1,deleteCascade,0.7443356670323268
317.0,1,deleteCascade,0.6347289729386347
319.0,2,deleteCascade,0.1500015000347047
111.0,2,deleteCascade,0.6550859515554759
143.0,0,deleteCascade,0.4165567758410532
136.0,2,setPhoto,0.956473678998166
117.0,0,setPhoto,0.9295176002679889
166.0,1,setPhoto,0.8481459205546454
168.0,0,setPhoto,0.095837999950163
182.0,2,setPhoto,0.9507094360471995
129.0,2,setPhoto,0.7450378367328079
315.0,0,setPhoto,0.7148019836473867
133.0,1,setPhoto,1.4170051943678375
106.0,1,setPhoto,0.8493228867489627
191.0,1,setPhoto,1.1727302439699656
186.0,2,toString,0.2959133502485477
143.0,2,toString,0.37252080000325744
311.0,2,toString,0.6701020318708815
318.0,1,toString,0.4294737666137123
136.0,1,testValidateSeparationCount,0.5943160506056815
186.0,1,testValidateSeparationCount,0.08417140005622051
318.0,1,testValidateSeparationCount,0.14166849992761832
319.0,0,isInvalidEmailLink,0.0250024999841116
111.0,2,isInvalidEmailLink,0.5296021499942675
143.0,2,isInvalidEmailLink,0.088197833332136
318.0,2,isInvalidEmailLink,0.0
117.0,0,getEffect,0.39505557573700967
129.0,0,getEffect,0.5347558326244268
313.0,1,getEffect,0.2861184999589261
143.0,1,getEffect,0.4076045204549179
314.0,2,getEffect,0.8760605643284649
191.0,2,getEffect,0.6136611607410778
117.0,2,testOneTwoThreeCreateCycle,0.5586480891413097
166.0,1,testOneTwoThreeCreateCycle,1.1753343856605203
317.0,2,testOneTwoThreeCreateCycle,1.19778334242965
168.0,1,testOneTwoThreeCreateCycle,0.4566461249265032
111.0,1,testOneTwoThreeCreateCycle,1.11274591241928
315.0,0,testOneTwoThreeCreateCycle,1.1620602720837998
143.0,1,testOneTwoThreeCreateCycle,0.8674964083760723
314.0,2,testOneTwoThreeCreateCycle,1.0941273497256203
312.0,2,testOneTwoThreeCreateCycle,1.320786375275226
139.0,2,testOneTwoThreeCreateCycle,1.0774891039152517
166.0,2,handleHalt,0.5002881000769165
310.0,0,handleHalt,0.0
189.0,0,handleHalt,0.37627029999857714
136.0,2,BFSdist,1.1679943232205034
176.0,2,BFSdist,1.2940359339985568
155.0,0,BFSdist,1.7505414031714437
117.0,2,BFSdist,0.6743641810344768
166.0,1,BFSdist,1.351125832899911
317.0,1,BFSdist,1.475089514451923
168.0,0,BFSdist,0.7524221234921473
319.0,0,BFSdist,0.1388933333801105
182.0,1,BFSdist,0.9478996548128742
310.0,1,BFSdist,0.0
129.0,1,BFSdist,1.2331036990640303
111.0,1,BFSdist,0.762512749966844
313.0,0,BFSdist,1.5476976949835746
315.0,0,BFSdist,0.7673009649250842
133.0,1,BFSdist,1.0499373322690062
143.0,2,BFSdist,0.8520217027473114
311.0,1,BFSdist,0.8326918961410812
314.0,1,BFSdist,0.480189924199569
106.0,1,BFSdist,0.0666710000077728
318.0,1,BFSdist,0.17223050000999732
147.0,1,BFSdist,0.7935120067019238
191.0,0,BFSdist,0.8894942997877162
189.0,0,BFSdist,0.8945314681835799
316.0,0,BFSdist,0.8280093865518778
139.0,2,BFSdist,1.765223435845021
176.0,0,setSecurityMode,0.5072199709425618
317.0,0,setSecurityMode,0.48195899983855006
191.0,1,setSecurityMode,0.8119394073943195
316.0,0,setSecurityMode,0.37902307775475363
136.0,2,getImageWithSource,0.5038913567356448
176.0,0,getImageWithSource,0.7040987349688947
155.0,0,getImageWithSource,0.13056333336862722
117.0,0,getImageWithSource,0.2899270555948732
166.0,2,getImageWithSource,0.4792930476445079
317.0,2,getImageWithSource,0.55021205557148
168.0,1,getImageWithSource,0.5345594443498192
319.0,2,getImageWithSource,0.22223283331065108
182.0,1,getImageWithSource,0.2944556666576923
129.0,0,getImageWithSource,0.4818297015235246
111.0,2,getImageWithSource,0.0
313.0,0,getImageWithSource,0.5882090827380573
315.0,0,getImageWithSource,0.6650815574573543
133.0,2,getImageWithSource,0.5581829622440612
143.0,0,getImageWithSource,0.199248939379079
311.0,0,getImageWithSource,0.3602911168554172
314.0,2,getImageWithSource,0.426842405607466
106.0,1,getImageWithSource,0.3978345250128763
318.0,2,getImageWithSource,0.10001024999655769
147.0,1,getImageWithSource,0.5312652681025511
191.0,2,getImageWithSource,0.5677253707960104
189.0,2,getImageWithSource,0.4624180869294094
316.0,0,getImageWithSource,0.2628161364221877
312.0,0,getImageWithSource,0.7229840165946539
139.0,0,getImageWithSource,0.7455740252929975
186.0,2,saveSetting,0.6772844098978903
133.0,2,saveSetting,0.6179698929703414
311.0,2,saveSetting,0.1236173666703203
189.0,2,saveSetting,0.5696787325909366
316.0,2,saveSetting,0.36117915215779794
155.0,2,saveToFile,0.6172760683191392
315.0,0,saveToFile,0.4835058324325773
155.0,2,onAttach,0.6111740771521581
117.0,0,onAttach,0.20040512851694398
310.0,2,onAttach,0.0333340000361204
147.0,2,onAttach,0.3694544932625754
155.0,0,evaluate,0.5625190000573635
117.0,2,evaluate,0.4817311611059321
317.0,2,evaluate,0.0
319.0,1,evaluate,0.4014043332135767
186.0,0,evaluate,0.2270832499198148
314.0,2,evaluate,0.5027799699857771
136.0,2,updateSchema,0.38461320153279505
176.0,0,updateSchema,0.5125253667860908
155.0,2,updateSchema,0.6744278094418056
117.0,0,updateSchema,0.4276759427416389
166.0,1,updateSchema,0.34840949192099857
317.0,0,updateSchema,0.1333434999833114
168.0,1,updateSchema,0.2164800060113301
319.0,0,updateSchema,0.1319481665365551
186.0,0,updateSchema,0.229184000083478
182.0,0,updateSchema,0.3027871666417921
310.0,2,updateSchema,0.0
129.0,0,updateSchema,0.18472516677381143
111.0,2,updateSchema,0.1153863589700984
313.0,0,updateSchema,0.846266792155585
315.0,0,updateSchema,0.3761078154649497
133.0,0,updateSchema,0.4741631925689612
143.0,0,updateSchema,0.28445191668433795
311.0,2,updateSchema,0.29226814682137653
314.0,0,updateSchema,0.7105044386308225
318.0,2,updateSchema,0.1166690000100061
147.0,1,updateSchema,0.5207275428273562
191.0,2,updateSchema,0.3812677999783768
189.0,2,updateSchema,0.3697457593912479
316.0,2,updateSchema,0.3480783212972111
312.0,0,updateSchema,0.2916769334891187
317.0,2,getClassNameForLookAndFeel,0.3027225594717442
314.0,1,getClassNameForLookAndFeel,0.41081983801368777
106.0,2,getClassNameForLookAndFeel,0.30766186570614307
147.0,1,getClassNameForLookAndFeel,0.4463909638338426
191.0,0,getClassNameForLookAndFeel,0.4213266756692535
312.0,0,getClassNameForLookAndFeel,0.6401946440818453
155.0,0,addRotation,0.712383483438558
182.0,2,addRotation,0.6843098476557843
310.0,2,addRotation,0.0291667499986942
111.0,2,addRotation,0.8385172888929276
311.0,1,addRotation,0.8329482119891031
191.0,0,addRotation,0.6698168955830155
189.0,0,addRotation,0.6541369874201538
312.0,0,addRotation,0.923214624076615
176.0,2,populateNewList,1.022911235842565
117.0,0,populateNewList,0.7954843090852527
182.0,2,populateNewList,0.9217100713921392
310.0,2,populateNewList,0.20853114045613869
111.0,0,populateNewList,0.9028630467036157
315.0,0,populateNewList,0.6662923721920104
147.0,1,populateNewList,0.6952320942151654
191.0,2,populateNewList,0.7882134285632103
155.0,2,liesBetween,0.9907696192606488
186.0,2,liesBetween,0.0
313.0,0,liesBetween,0.5666845777886906
311.0,1,liesBetween,0.9190295761595122
314.0,2,liesBetween,0.5841913833268327
316.0,0,liesBetween,0.4471795085120886
312.0,0,liesBetween,0.1733365665422749
139.0,1,liesBetween,1.2287871415599518
168.0,1,exportXVRL,0.6039655743435324
310.0,2,exportXVRL,0.2947949904877788
129.0,2,exportXVRL,0.6460757896245103
133.0,1,exportXVRL,0.9071656026526972
318.0,1,exportXVRL,0.2654929999345245
147.0,1,exportXVRL,0.8043152232712322
168.0,1,readFromFile,0.1816571000264954
311.0,2,readFromFile,0.5023311945648549
314.0,0,readFromFile,1.0747434337221673
191.0,0,readFromFile,0.7031449354443776
189.0,0,readFromFile,0.42270436172311904
312.0,0,readFromFile,0.5804360999783962
155.0,2,testSetWelcomeMsg,0.8916854119348235
166.0,2,testSetWelcomeMsg,0.3399484166244897
168.0,2,testSetWelcomeMsg,0.3018642792844076
311.0,1,testSetWelcomeMsg,0.5446304446883548
318.0,2,testSetWelcomeMsg,0.0
147.0,1,testSetWelcomeMsg,0.45915122297335526
312.0,0,testSetWelcomeMsg,0.5065024722522741
155.0,2,testInvoke,1.345481015133393
317.0,2,testInvoke,0.8203157687978265
