Participant,Quality,Method,YearsCoding,JavaExperience
147,0,createCacheFile_50995324,4,1.0
315,0,getApplicableLaw_39298970,10,3.0
315,0,saveToFile_47571713,10,3.0
315,0,populateNewList_34427273,10,3.0
315,0,add_4114383,10,3.0
315,0,getTargetServiceName_29318894,10,3.0
315,0,actionPerformed_12725774,10,3.0
315,0,go_14477536,10,3.0
315,0,visitRetStmt_13482891,10,3.0
315,0,setPhoto_50994916,10,3.0
315,0,testOneTwoThreeCreateCycle_19507735,10,3.0
315,0,listen_29572299,10,3.0
315,0,clearFieldersFromField_45147874,10,3.0
315,0,testInvoke_39233866,10,3.0
315,0,getImageWithSource_1782360,10,3.0
315,0,setGenJarDir_31789275,10,3.0
315,0,getNAGString_43137003,10,3.0
315,0,getUserNameFromCookie_1694531,10,3.0
315,0,BFSdist_44521080,10,3.0
315,0,addPKColumn_51577053,10,3.0
315,0,appendDeclarations_36405409,10,3.0
315,0,updateGain_26215341,10,3.0
315,0,swapItems_36634895,10,3.0
315,0,updateSchema_4627680,10,3.0
314,0,readFromFile_16777940,5,3.0
314,0,updateSchema_4627680,5,3.0
314,0,getUserNameFromCookie_1694531,5,3.0
319,0,BFSdist_44521080,11,1.0
319,0,addPKColumn_51577053,11,1.0
319,0,clearFieldersFromField_45147874,11,1.0
319,0,isInvalidEmailLink_49250848,11,1.0
319,0,swapItems_36634895,11,1.0
319,0,updateSchema_4627680,11,1.0
319,0,getBackCommand2_29601536,11,1.0
136,0,add_4114383,5,1.0
136,0,testNegativeParseCases_31696447,5,1.0
136,0,clearFieldersFromField_45147874,5,1.0
312,0,saveSetting_46026508,8,1.0
312,0,appendDeclarations_36405409,8,1.0
312,0,addPKColumn_51577053,8,1.0
312,0,toString_39120328,8,1.0
312,0,listen_29572299,8,1.0
312,0,testCookieGreaterThan_39840471,8,1.0
312,0,play_41287529,8,1.0
312,0,BFSdist_44521080,8,1.0
312,0,removeService_38221424,8,1.0
312,0,getRodinDBStatus_19505695,8,1.0
312,0,getImageWithSource_1782360,8,1.0
312,0,readFromFile_16777940,8,1.0
312,0,addRotation_23014476,8,1.0
312,0,updateSchema_4627680,8,1.0
312,0,clearFieldersFromField_45147874,8,1.0
312,0,go_14477536,8,1.0
312,0,testSetExample_50891793,8,1.0
312,0,getClassNameForLookAndFeel_19218425,8,1.0
312,0,testSetWelcomeMsg_33719869,8,1.0
312,0,liesBetween_39299426,8,1.0
313,0,liesBetween_39299426,14,3.0
313,0,swapItems_36634895,14,3.0
313,0,listen_29572299,14,3.0
313,0,BFSdist_44521080,14,3.0
313,0,getImageWithSource_1782360,14,3.0
313,0,updateSchema_4627680,14,3.0
313,0,messageSent_19413001,14,3.0
313,0,updateGain_26215341,14,3.0
313,0,store_20787007,14,3.0
313,0,createChecklistItem_49866815,14,3.0
313,0,actionPerformed_12725774,14,3.0
313,0,addPKColumn_51577053,14,3.0
191,0,addRotation_23014476,4,1.0
191,0,swapItems_36634895,4,1.0
191,0,readFromFile_16777940,4,1.0
191,0,setGenJarDir_31789275,4,1.0
191,0,addPKColumn_51577053,4,1.0
191,0,BFSdist_44521080,4,1.0
191,0,clearFieldersFromField_45147874,4,1.0
191,0,getClassNameForLookAndFeel_19218425,4,1.0
191,0,selectBracketingEntries_40936756,4,1.0
191,0,testNegativeParseCases_31696447,4,1.0
168,0,clearFieldersFromField_45147874,4,2.0
168,0,BFSdist_44521080,4,2.0
168,0,swapItems_36634895,4,2.0
168,0,getMenuAdministracion_28631042,4,2.0
168,0,add_4114383,4,2.0
168,0,setPhoto_50994916,4,2.0
186,0,getImageWithSource_1782360,4,3.0
186,0,messageSent_19413001,4,3.0
186,0,setGenJarDir_31789275,4,3.0
186,0,updateSchema_4627680,4,3.0
186,0,evaluate_45130358,4,3.0
186,0,actionPerformed_12725774,4,3.0
186,0,addPKColumn_51577053,4,3.0
186,0,go_14477536,4,3.0
186,0,BFSdist_44521080,4,3.0
186,0,setSecurityMode_38737384,4,3.0
186,0,getRodinDBStatus_19505695,4,3.0
139,0,getMenuAdministracion_28631042,4,2.0
139,0,actionPerformed_12725774,4,2.0
139,0,getBackCommand22_40865212,4,2.0
139,0,go_14477536,4,2.0
139,0,store_20787007,4,2.0
139,0,updateGain_26215341,4,2.0
139,0,getImageWithSource_1782360,4,2.0
139,0,addPKColumn_51577053,4,2.0
139,0,testNegativeParseCases_31696447,4,2.0
139,0,getUserNameFromCookie_1694531,4,2.0
139,0,setUpMrj_14467418,4,2.0
316,0,updateGain_26215341,13,4.0
316,0,appendDeclarations_36405409,13,4.0
316,0,addPKColumn_51577053,13,4.0
316,0,getRemoteObject_50026101,13,4.0
316,0,setSecurityMode_38737384,13,4.0
316,0,getImageWithSource_1782360,13,4.0
316,0,testMoveRFWithNullContainer_19507414,13,4.0
316,0,searchRecipe_18421665,13,4.0
316,0,clearFieldersFromField_45147874,13,4.0
316,0,swapItems_36634895,13,4.0
316,0,setGenJarDir_31789275,13,4.0
316,0,showLatestPlan_18418213,13,4.0
316,0,liesBetween_39299426,13,4.0
316,0,BFSdist_44521080,13,4.0
317,0,clearFieldersFromField_45147874,5,2.0
317,0,actionPerformed_12725774,5,2.0
317,0,updateSchema_4627680,5,2.0
317,0,go_14477536,5,2.0
317,0,addPKColumn_51577053,5,2.0
317,0,testCookieGreaterThan_39840471,5,2.0
317,0,setSecurityMode_38737384,5,2.0
106,0,messageSent_19413001,6,4.0
106,0,clearFieldersFromField_45147874,6,4.0
106,0,addPKColumn_51577053,6,4.0
133,0,clearFieldersFromField_45147874,5,3.0
133,0,updateSchema_4627680,5,3.0
133,0,getUserNameFromCookie_1694531,5,3.0
133,0,updateGain_26215341,5,3.0
133,0,selectBracketingEntries_40936756,5,3.0
133,0,removeService_38221424,5,3.0
133,0,addPKColumn_51577053,5,3.0
133,0,swapItems_36634895,5,3.0
166,0,messageSent_19413001,6,4.0
166,0,addPKColumn_51577053,6,4.0
111,0,populateNewList_34427273,2,1.0
182,0,addPKColumn_51577053,3,2.5
182,0,updateSchema_4627680,3,2.5
182,0,getRodinDBStatus_19505695,3,2.5
182,0,clearFieldersFromField_45147874,3,2.5
182,0,go_14477536,3,2.5
182,0,messageSent_19413001,3,2.5
182,0,testNegativeParseCases_31696447,3,2.5
182,0,equals_10222579,3,2.5
189,0,BFSdist_44521080,8,3.0
189,0,createChecklistItem_49866815,8,3.0
189,0,handleHalt_19682824,8,3.0
189,0,readFromFile_16777940,8,3.0
189,0,addRotation_23014476,8,3.0
189,0,swapItems_36634895,8,3.0
129,0,getEffect_47571922,1,1.0
129,0,testNegativeParseCases_31696447,1,1.0
129,0,go_14477536,1,1.0
129,0,clearFieldersFromField_45147874,1,1.0
129,0,addPKColumn_51577053,1,1.0
129,0,updateSchema_4627680,1,1.0
129,0,searchRecipe_18421665,1,1.0
129,0,getImageWithSource_1782360,1,1.0
129,0,swapItems_36634895,1,1.0
129,0,testMoveRFWithNullContainer_19507414,1,1.0
117,0,getRemoteObject_50026101,4,1.0
117,0,updateSchema_4627680,4,1.0
117,0,getRodinDBStatus_19505695,4,1.0
117,0,getEffect_47571922,4,1.0
117,0,populateNewList_34427273,4,1.0
117,0,onAttach_1810081,4,1.0
117,0,getImageWithSource_1782360,4,1.0
117,0,go_14477536,4,1.0
117,0,createChecklistItem_49866815,4,1.0
117,0,setPhoto_50994916,4,1.0
117,0,updateGain_26215341,4,1.0
117,0,actionPerformed_12725774,4,1.0
122,0,getMenuAdministracion_28631042,2,3.0
122,0,clearFieldersFromField_45147874,2,3.0
122,0,equals_10222579,2,3.0
122,0,setPhoto_50994916,2,3.0
122,0,actionPerformed_12725774,2,3.0
122,0,getImageWithSource_1782360,2,3.0
