,Participant,Quality,Method, Categories,functiondeclaration_FC,conditional_statement_FC,parameter_FC,variable_declaration_FC,loop_FC
0,315,0,saveToFile,,,,,,
1,315,0,populateNewList,,,,,,
2,315,0,getTargetServiceName,,,,,,
3,315,0,actionPerformed,,0,0,0,0,0
4,315,0,go,,,,,,
5,315,0,visitRetStmt,,0,0,0,0,0
6,315,0,testOneTwoThreeCreateCycle,,,,,,
7,315,0,clearFieldersFromField,,,,,,
8,315,0,getUserNameFromCookie,,,,,,
9,315,0,BFSdist,,0,0,0,0,0
10,315,0,addPKColumn,,,,,,
11,315,0,appendDeclarations,,,,,,
12,315,0,updateGain,,,,,,
13,315,0,swapItems,,,,,,
14,314,0,readFromFile,,,,,,
15,314,0,updateSchema,,,,,,
16,314,0,getUserNameFromCookie,,,,,,
17,319,0,addPKColumn,,,,,,
18,319,0,clearFieldersFromField,,,,,,
19,319,0,isInvalidEmailLink,,,,,,
20,319,0,swapItems,,,,,,
21,312,0,saveSetting,,,,,,
22,312,0,appendDeclarations,,,,,,
23,312,0,toString,,,,,,
24,312,0,listen,,,,,,
25,312,0,play,,,,,,
26,312,0,equals,,,,,,
27,312,0,BFSdist,,,,,,
28,312,0,removeService,,,,,,
29,312,0,getRodinDBStatus,,,,,,
30,312,0,addRotation,,,,,,
31,312,0,updateSchema,,,,,,
32,312,0,clearFieldersFromField,,,,,,
33,312,0,go,,,,,,
34,312,0,liesBetween,,,,,,
35,313,0,equals,,,,,,
36,313,0,liesBetween,,,,,,
37,313,0,getImageWithSource,,0,0,0,0,0
38,313,0,updateGain,,,,,,
39,313,0,store,,,,,,
40,313,0,createChecklistItem,,,,,,
41,191,0,swapItems,,,,,,
42,191,0,readFromFile,,,,,,
43,191,0,clearFieldersFromField,,,,,,
44,191,0,getClassNameForLookAndFeel,,,,,,
45,191,0,selectBracketingEntries,,,,,,
46,191,0,testNegativeParseCases,,,,,,
47,168,0,getMenuAdministracion,,,,,,
48,168,0,add,,0,0,0,0,0
49,186,0,getImageWithSource,,,,,,
50,186,0,messageSent,,,,,,
51,186,0,updateSchema,,,,,,
52,186,0,actionPerformed,,,,,,
53,186,0,addPKColumn,,,,,,
54,186,0,go,,,,,,
55,186,0,BFSdist,,,,,,
56,186,0,setSecurityMode,,,,,,
57,186,0,getRodinDBStatus,,,,,,
58,139,0,actionPerformed,,,,,,
59,139,0,getBackCommand22,,,,,,
60,139,0,addPKColumn,,,,,,
61,139,0,setUpMrj,,,,,,
62,316,0,appendDeclarations,,,,,,
63,316,0,getImageWithSource,,,,,,
64,316,0,testMoveRFWithNullContainer,,,,,,
65,316,0,searchRecipe,,0,0,0,0,0
66,316,0,swapItems,,,,,,
67,316,0,liesBetween,,,,,,
68,316,0,BFSdist,,,,,,
69,317,0,clearFieldersFromField,,,,,,
70,317,0,go,,,,,,
71,317,0,addPKColumn,,,,,,
72,317,0,testCookieGreaterThan,,,,,,
