participant,method,ratings
147,play_41287529,"[4.5, 2, 2, '3']"
147,createCacheFile_50995324,"['4', '2', 2, '4']"
315,getApplicableLaw_39298970,"[4.5, 2, '2', 4.5]"
315,saveToFile_47571713,"[5, 1.5, '3', 4.5]"
315,populateNewList_34427273,"[4, 2, 1.5, '4']"
315,add_4114383,"[4.5, '2', '2', 4.5]"
315,getTargetServiceName_29318894,"[4.5, '1', '2', 5]"
315,actionPerformed_12725774,"['5', 1.5, '3', 4.5]"
315,go_14477536,"[5, 1.5, '2', 4.5]"
315,visitRetStmt_13482891,"[4.5, 2, 1.5, 4.5]"
315,setPhoto_50994916,"[4.5, 2, '2', 4.5]"
315,testOneTwoThreeCreateCycle_19507735,"[4, 1.5, 1.5, 4]"
315,listen_29572299,"[4.5, 2, 2, 4]"
315,clearFieldersFromField_45147874,"[4.5, 2, 1.5, 4]"
315,testInvoke_39233866,"[4, '2', 2, 4]"
315,getImageWithSource_1782360,"[4.5, '2', 2, 4]"
315,getNAGString_43137003,"['4', '2', 2, 4.5]"
315,getUserNameFromCookie_1694531,"[4.5, 1.5, 1.5, 4.5]"
315,testNegativeParseCases_31696447,"['4', '2', '2', '1']"
315,BFSdist_44521080,"[5, 1.5, 1.5, 4.5]"
315,addPKColumn_51577053,"[4, 2, 1.5, 4]"
315,appendDeclarations_36405409,"[4.5, 1.5, 1.5, 5]"
315,updateGain_26215341,"[4.5, 2, 1.5, 4.5]"
315,swapItems_36634895,"[4.5, 2, 1.5, '4']"
314,readFromFile_16777940,"[4.5, 1.5, 1.5, 4]"
314,updateSchema_4627680,"['3', 2, 1.5, 4]"
314,listen_29572299,"[4, '2', 2, '3']"
314,getUserNameFromCookie_1694531,"[4, 2, 1.5, '3']"
318,clearFieldersFromField_45147874,"['4', '2', '2', '3']"
319,BFSdist_44521080,"[4.5, 2, '2', 4]"
319,addPKColumn_51577053,"[4.5, 1.5, 1.5, 5]"
319,clearFieldersFromField_45147874,"[5, 1.5, 1.5, '4']"
319,isInvalidEmailLink_49250848,"[4.5, 1.5, '2', 4.5]"
319,swapItems_36634895,"[4.5, 2, 1.5, 4]"
319,updateSchema_4627680,"[4, 2, 2, 4]"
319,getBackCommand2_29601536,"[4, 2, 2, 4]"
319,showLatestPlan_18418213,"['4', '2', 2, '3']"
136,add_4114383,"[4.5, '2', 2, 4]"
136,clearFieldersFromField_45147874,"[4, 2, '2', '4']"
312,saveSetting_46026508,"[4, '2', 1.5, 4]"
312,appendDeclarations_36405409,"[4.5, 1.5, 1.5, 4.5]"
312,addPKColumn_51577053,"[4.5, 2, 2, 4]"
312,toString_39120328,"[4.5, '2', 1.5, 4]"
312,listen_29572299,"[4.5, 1.5, 1.5, 4]"
312,testCookieGreaterThan_39840471,"[4, 2, 2, 4.5]"
312,play_41287529,"[4.5, 1.5, 1.5, 4.5]"
312,equals_10222579,"[4, 2, 1.5, '2']"
312,BFSdist_44521080,"[5, 2, 1.5, '2']"
312,removeService_38221424,"[5, 1.5, 1.5, 4.5]"
312,getRodinDBStatus_19505695,"[5, 1.5, 1.5, 5]"
312,readFromFile_16777940,"[4.5, 2, 2, 4]"
