participant,method,ratings
147,add_4114383,"['2', '4', 5, '3']"
147,getNAGString_43137003,"['2', 4, 4.5, '3']"
147,testNegativeParseCases_31696447,"['1', 4.5, 4.5, '3']"
147,messageSent_19413001,"['2', 4, 4.5, '3']"
147,actionPerformed_12725774,"['2', 4, 4, '3']"
147,testSetWelcomeMsg_33719869,"['2', '4', 4.5, '3']"
314,actionPerformed_12725774,"[2, 4, 2, '2']"
314,setGenJarDir_31789275,"['1', '5', '5', '1']"
318,toString_39120328,"['2', 3, '4', 3]"
318,BFSdist_44521080,"[1.5, 4.5, '3', '4']"
318,makeUniqueParagraphForGlobalWithLength_34105249,"[2, '4', '2', '3']"
318,go_14477536,"[1, 4.5, '3', '2']"
318,testInvoke_39233866,"['2', 4, '3', '2']"
318,setGenJarDir_31789275,"['2', 4, 2, '2']"
318,actionPerformed_12725774,"['2', 4, 2, '3']"
318,updateGain_26215341,"[2, 4, '2', '2']"
319,actionPerformed_12725774,"['1', 4, 2, '3']"
319,testNegativeParseCases_31696447,"['1', '5', '5', '1']"
319,goToRegistration_47570692,"['2', '4', 2, '3']"
319,appendDeclarations_36405409,"['2', 4, 2, '3']"
319,createCacheFile_50995324,"['2', 3, 2, 3]"
136,go_14477536,"[1.5, 4.5, 2, '3']"
136,messageSent_19413001,"['2', 3, 2, '3']"
136,deleteCascade_34604973,"['2', '4', '2', '3']"
136,print_7957602,"['2', 4, '2', '3']"
136,getUserNameFromCookie_1694531,"['2', '4', 2, '3']"
136,updateGain_26215341,"['2', 4.5, 2, '3']"
312,test_10_bug2689872_19498280,"['1', '5', '5', '1']"
313,testNegativeParseCases_31696447,"['1', '5', '5', '1']"
313,getEffect_47571922,"['2', 4, '3', '3']"
191,setPhoto_50994916,"['3', 2, 5, '1']"
191,updateGain_26215341,"['1', '5', '5', '1']"
168,testGetEmail_33718481,"['2', 4, '4', '3']"
168,updateSchema_4627680,"['2', '4', '3', '3']"
168,appendDeclarations_36405409,"[1.5, 4.5, '4', '3']"
168,getUserNameFromCookie_1694531,"['1', '5', '5', '1']"
168,equals_10222579,"['1', '4', 3, '3']"
168,setGenJarDir_31789275,"['2', 4, 2, '2']"
186,add_4114383,"['1', '5', '5', '1']"
317,deleteCascade_34604973,"['2', '4', '3', '3']"
106,setPhoto_50994916,"[1.5, '2', 4, '4']"
106,BFSdist_44521080,"['2', 4.5, 2, '3']"
106,appendDeclarations_36405409,"['2', 4.5, 2, 3]"
106,updateSchema_4627680,"['1', '5', '5', '1']"
133,exportXVRL_45047585,"[1.5, 4.5, '4', '3']"
133,BFSdist_44521080,"['2', 4, '3', '3']"
133,equals_10222579,"[2, 4, '4', '3']"
166,add_4114383,"['2', 1.5, 5, 2]"
166,getBackCommand2_29601536,"['1', '4', '3', 2]"
111,go_14477536,"[1, 4.5, 2, '3']"
111,actionPerformed_12725774,"['1', 5, 2, '3']"
111,setUpMrj_14467418,"['2', 4.5, 1.5, '2']"
111,updateGain_26215341,"['2', 4.5, 1.5, 3]"
111,appendDeclarations_36405409,"['1', 4, 2, 3]"
111,testOneTwoThreeCreateCycle_19507735,"['2', 4, 1.5, '2']"
111,add_4114383,"['2', 4.5, 2, '3']"
182,updateGain_26215341,"['2', 4, '4', '3']"
182,getImageWithSource_1782360,"['2', '2', '3', '3']"
189,go_14477536,"['2', 4, 2, 3]"
189,isInvalidEmailLink_49250848,"['1', '5', '5', '1']"
189,getNAGString_43137003,"['1', '4', '3', '2']"
189,actionPerformed_12725774,"['2', 4, 2, '3']"
129,BFSdist_44521080,"[1.5, 4, 4, 4.5]"
117,setGenJarDir_31789275,"['1', '5', '3', 4]"
155,testOneTwoThreeCreateCycle_19507735,"['1', '5', '5', '1']"
311,clearFieldersFromField_45147874,"['2', '4', 4, 3]"
311,appendDeclarations_36405409,"['2', '4', 4.5, 2]"
311,updateGain_26215341,"['1', '5', '5', '1']"
311,actionPerformed_12725774,"[2, 4, '4', '3']"
310,addPKColumn_51577053,"['1', '5', '5', '1']"
310,equals_10222579,"['1', '5', '5', '1']"
310,actionPerformed_12725774,"['2', 4.5, 2, '3']"
310,getImageWithSource_1782360,"['1', '5', '5', '1']"
143,swapItems_36634895,"['1', '5', '5', '1']"
143,getNAGString_43137003,"['2', 4.5, 2, 3]"
143,getEffect_47571922,"[1, 5, 2, '4']"
