pid,function declaration,parameter,variable declaration,conditional statement,conditional block,loop
136,18,3,78,35,66,44
176,13,11,18,59,44,22
155,9,3,20,29,167,22
117,21,21,8,36,33,5
166,0,1,1,19,46,37
317,16,10,52,52,51,45
168,3,0,3,13,23,7
319,0,1,3,3,8,6
186,1,3,21,20,70,33
182,3,2,6,18,22,6
310,2,0,0,3,6,0
129,31,9,14,22,36,3
111,64,23,25,58,72,53
313,8,4,6,22,30,27
315,7,10,45,17,110,21
133,18,4,40,60,45,13
143,7,10,10,19,23,4
311,3,1,5,21,7,4
314,16,9,42,27,40,19
106,18,20,14,18,20,6
318,0,0,2,3,0,1
147,18,13,59,16,26,31
191,21,12,37,67,81,24
189,90,30,123,50,195,178
316,0,0,0,0,0,0
312,7,0,1,5,16,2
139,22,14,118,144,131,55
