pid,function declaration,parameter,conditional statement,return,variable declaration,loop,conditional block
136,1,0,12,11,4,32,0
176,41,9,37,5,15,17,0
155,1,0,71,28,7,200,27
117,26,0,42,7,14,30,0
166,5,4,31,21,4,75,11
317,1,6,49,14,0,15,12
168,5,0,20,16,5,34,1
319,0,0,10,0,3,10,0
182,25,2,34,34,29,36,1
310,0,0,1,0,0,1,0
129,7,6,21,6,8,8,3
111,26,0,12,0,25,18,0
313,17,4,66,3,7,57,9
315,5,1,51,34,3,75,4
133,14,6,114,16,11,67,22
143,6,6,41,13,12,10,11
311,45,9,21,10,6,8,2
314,7,2,37,11,9,43,1
106,0,0,0,0,0,0,0
318,0,0,0,0,0,1,0
147,26,7,25,3,4,20,3
191,5,0,24,4,3,36,20
189,2,3,34,22,3,39,16
316,4,6,18,0,3,3,0
139,16,12,61,7,24,27,10
