pid,function declaration,parameter,exception handling,variable declaration,conditional statement,externally defined variable or function,function call,argument
136,14,10,16,49,4,21,6,1
176,18,14,11,18,6,7,1,0
155,26,43,14,85,14,21,7,1
117,35,41,15,14,11,2,0,0
166,0,0,19,3,5,1,1,0
317,3,2,13,8,10,6,0,3
168,3,4,20,11,6,2,0,1
319,0,0,8,0,0,0,0,0
186,0,0,6,0,1,0,0,0
182,8,17,10,34,7,2,0,0
129,30,31,7,13,6,0,2,0
111,3,4,8,1,8,0,1,0
313,23,26,32,23,3,4,1,0
315,27,6,6,35,8,1,2,0
133,33,27,44,52,11,9,3,1
143,9,12,4,6,1,2,0,0
311,15,13,11,22,2,4,0,0
314,1,1,15,34,5,1,0,0
106,24,23,14,6,2,0,0,0
318,6,0,0,2,0,1,0,0
147,18,23,15,53,3,3,2,0
191,7,6,3,22,8,9,0,0
189,14,2,16,44,7,2,0,2
316,22,13,5,3,1,0,0,0
139,20,23,27,54,9,0,1,0
