pid,function declaration,parameter,exception handling,operator,external class,argument,comment,function call,externally defined variable or function,conditional statement,conditional block
136,3,14,0,0,31,50,13,20,22,10,62
176,1,0,0,0,14,6,5,21,19,16,19
155,0,7,11,1,1,9,6,20,14,4,43
117,4,2,11,1,3,4,1,19,14,12,19
166,0,13,6,0,1,3,1,4,13,6,26
317,2,0,0,0,0,3,0,11,9,11,7
168,0,6,0,0,4,2,2,2,3,0,7
319,0,0,0,0,2,0,0,10,0,0,0
186,0,3,0,0,5,17,1,28,19,7,19
182,7,6,3,0,4,3,0,12,2,5,6
310,0,0,0,0,0,0,0,0,0,0,0
129,5,9,0,0,7,13,2,6,5,12,14
111,8,5,9,3,5,13,2,32,14,16,4
313,0,0,2,4,1,6,0,24,0,11,16
315,3,20,0,1,6,13,4,11,15,6,27
133,4,22,0,3,24,34,5,15,16,35,37
143,10,2,2,0,11,4,0,7,1,1,0
311,0,0,1,9,1,1,2,3,5,0,0
314,5,3,0,0,2,3,1,3,6,3,5
106,1,2,0,1,6,9,3,14,6,2,1
318,0,3,0,0,0,0,1,0,0,1,4
147,14,18,3,0,14,10,4,32,6,22,15
191,7,29,1,2,24,11,6,6,13,15,9
189,1,11,1,0,9,14,7,32,22,14,45
316,2,21,0,0,21,1,4,8,3,2,6
312,0,0,0,0,4,15,0,5,2,2,2
139,4,15,4,6,27,48,6,49,42,33,29
