pid,function declaration,parameter,variable,function call,argument,variable declaration,loop,conditional statement
136,1,5,0,19,12,61,67,2
176,26,19,1,43,13,29,43,29
155,5,10,0,7,9,7,18,0
117,60,47,4,63,4,11,8,10
166,1,6,3,28,9,46,54,2
317,19,53,2,123,59,155,120,33
168,3,6,0,0,2,7,16,6
319,0,0,0,0,0,0,0,0
186,0,1,0,0,0,0,0,3
182,31,9,7,34,0,20,0,2
310,0,0,0,0,0,1,0,1
129,28,34,0,26,5,16,32,31
111,36,22,5,6,1,5,10,2
313,21,24,6,42,33,64,19,13
315,17,18,0,21,7,8,4,6
133,37,49,6,92,14,69,68,19
143,29,21,0,24,5,15,6,7
311,1,27,5,15,0,17,48,8
106,0,0,0,0,0,0,0,0
318,1,0,0,0,0,0,0,0
147,40,48,1,61,3,9,22,14
191,14,35,1,33,13,37,18,8
189,0,13,0,26,25,101,283,164
316,58,48,0,49,25,16,3,2
312,33,5,0,105,33,22,0,1
139,17,30,1,32,17,93,37,17
