pid,function declaration,parameter,variable declaration,loop,conditional statement,return
136,0.0309548571406464,0.0,0.0520862498669884,0.0166760000865906,0.3291717497853647,0.0750024998560547
176,0.1083380001364275,0.0,0.1916770001407711,0.0166670000180602,0.3874167346736359,0.0
155,0.0555588333227206,0.0,0.0,0.0,0.0750045000459066,0.0
117,0.056577388896969,0.0,0.0416680000198539,0.0833390000334474,0.1083426666446029,0.0
166,0.1542897142353466,0.0,0.1583393332742463,0.0583330000517889,0.0583330000517889,0.0499980000313371
317,0.0400005000061355,0.0333334999741053,0.1018610555491046,0.0833390000043436,0.1777813333513523,0.1138966666864385
168,0.0541678750159917,0.0576415833444722,0.1266655499319311,0.0666699999710544,0.2294144360863698,0.0
319,0.0500059999758377,0.0,0.0,0.0,0.1055568333637589,0.0666699999710545
182,0.1555633333628064,0.0,0.1388923332948858,0.0,0.0,0.0
129,0.0784444871974976,0.0166669999598525,0.0722233333508483,0.0625016666696562,0.2519932143456699,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0
313,0.0487219230786789,0.0166649999882793,0.090001449988631,0.0875045000138924,0.3119792096678194,0.016669999982696
315,0.0388900666691673,0.0312517500060494,0.0805630000104428,0.1500040000537409,0.2754667406989027,0.0555630000308155
133,0.077472320129533,0.0305561666221668,0.0816688667206712,0.1055621666406901,0.2129224418439889,0.0333370000589638
143,0.060354106070008,0.0,0.0805613333262346,0.0166659999813418,0.0416675000014946,0.0
311,0.0850025500229093,0.0,0.0527781666799758,0.054170750081539,0.1683396500709931,0.0
314,0.0840712499959729,0.0,0.0444476666452827,0.0666693333866229,0.2149871555615272,0.0166670000180602
106,0.0961522750236325,0.0,0.0958384999830741,0.1125087500113293,0.0933349999948403,0.0
318,0.0,0.0333349999855272,0.0166662500123493,0.0166670000180602,0.0,0.033341999980621
147,0.0899748755621563,0.0499999999301508,0.0847205832833423,0.0857248927059116,0.1708399165945592,0.0333340000361204
191,0.1131696486342457,0.0333340000361204,0.1053752888834826,0.1305616666019582,0.1352847667100527,0.0499999999301508
189,0.0648555869657961,0.0200010000087786,0.0631965833429906,0.0166669999889563,0.2060264166171285,0.0916715000057593
316,0.0893966363668864,0.0,0.067860333340442,0.0555601666759077,0.0499990000389516,0.0
312,0.084723916700265,0.061906571450111,0.1944424999916613,0.0,0.3819110284526165,0.0
139,0.0366682000001067,0.0,0.1791616419582251,0.1000040000005051,0.4297401833341606,0.0
