,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,private.0,void.0,actionLoadNotes.0,enableUserActions.0,FALSE.0,"// set focus otherwise it gives focus to ""clear"" >> scary/not wanted.200",multiSubmitButton.0,requestFocusInWindow.0,resetSingleTextFields.0,multipleGUIList.0,clearSelection.0,multipleResources.0,=.0,loadNotesFile.0,updateMultiList.0,enableUserActions.1,TRUE.0,prewritten,accurate,missing,unnecessary,readable,code
0,136,actionLoadNotes,34425716,1209803591744,18317990062,1,1,"(0.6898733973503113, 0.16334854066371918)","(0.5969551205635071, 0.6261545419692993)",1,1,2.54547119140625,3.246856689453125,,POINT (0.6434142589569092 0.3947515413165092),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803608418,18318006736,1,1,"(0.6928790211677551, 0.2447986751794815)","(0.703427791595459, 0.18698976933956146)",1,1,2.418441772460937,2.495208740234375,Fixation,POINT (0.6981534063816071 0.2158942222595215),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803616752,18318015070,1,1,"(0.6907500624656677, 0.24215801060199738)","(0.6977872252464294, 0.2251339852809906)",1,1,2.4608306884765625,2.4544830322265625,Fixation,POINT (0.6942686438560486 0.233645997941494),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803625077,18318023395,1,1,"(0.6866199970245361, 0.23959554731845856)","(0.6949105262756348, 0.23386535048484802)",1,1,2.457672119140625,2.4501953125,Fixation,POINT (0.6907652616500854 0.2367304489016533),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803633410,18318031728,1,1,"(0.6876992583274841, 0.23891045153141022)","(0.6936466693878174, 0.2479371577501297)",1,1,2.45849609375,2.400848388671875,Fixation,POINT (0.6906729638576508 0.24342380464077),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803641744,18318040062,1,1,"(0.6880509257316589, 0.24350959062576294)","(0.6933131217956543, 0.23644985258579254)",1,1,2.464385986328125,2.4156646728515625,Fixation,POINT (0.6906820237636566 0.2399797216057777),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803650077,18318048395,1,1,"(0.6886385679244995, 0.23717904090881348)","(0.6956201195716858, 0.245849147439003)",1,1,2.4764556884765625,2.4166717529296875,Fixation,POINT (0.6921293437480927 0.2415140941739082),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803658415,18318056733,1,1,"(0.6907700896263123, 0.22706037759780884)","(0.6931684613227844, 0.2295038253068924)",1,1,2.4598541259765625,2.4241180419921875,Fixation,POINT (0.6919692754745483 0.2282821014523506),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803666749,18318065067,1,1,"(0.6888801455497742, 0.2185026854276657)","(0.695704460144043, 0.24159632623195648)",1,1,2.445465087890625,2.41961669921875,Fixation,POINT (0.6922923028469086 0.2300495058298111),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803675081,18318073399,1,1,"(0.689182460308075, 0.2210257649421692)","(0.6964473724365234, 0.24743928015232086)",1,1,2.458740234375,2.427841186523437,Fixation,POINT (0.6928149163722992 0.234232522547245),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803683415,18318081733,1,1,"(0.6939786672592163, 0.22813966870307922)","(0.6977332234382629, 0.23211407661437988)",1,1,2.4727020263671875,2.4392547607421875,Fixation,POINT (0.6958559453487396 0.2301268726587296),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803691750,18318090067,1,1,"(0.6901261806488037, 0.22622251510620117)","(0.6946600079536438, 0.23127636313438416)",1,1,2.458847045898437,2.445068359375,Fixation,POINT (0.6923930943012238 0.2287494391202927),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803700083,18318098400,1,1,"(0.6916901469230652, 0.229598730802536)","(0.6918689608573914, 0.23549628257751465)",1,1,2.480575561523437,2.4384307861328125,Fixation,POINT (0.6917795538902283 0.2325475066900253),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803708416,18318106733,1,1,"(0.6867926120758057, 0.2271282821893692)","(0.6873515844345093, 0.2364911288022995)",1,1,2.462493896484375,2.4513397216796875,Fixation,POINT (0.6870720982551575 0.2318097054958344),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803716749,18318115066,1,1,"(0.6883493065834045, 0.22699451446533203)","(0.6884985566139221, 0.23299731314182281)",1,1,2.4738922119140625,2.4555816650390625,Fixation,POINT (0.6884239315986633 0.2299959138035774),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803725083,18318123400,1,1,"(0.6903748512268066, 0.2282891869544983)","(0.6888364553451538, 0.23070338368415833)",1,1,2.4845123291015625,2.4456939697265625,Fixation,POINT (0.6896056532859802 0.2294962853193283),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803733416,18318131733,1,1,"(0.6905726790428162, 0.22271914780139923)","(0.6896936893463135, 0.23104561865329742)",1,1,2.478179931640625,2.4657135009765625,Fixation,POINT (0.6901331841945648 0.2268823832273483),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803741750,18318140067,1,1,"(0.6906729936599731, 0.22410845756530762)","(0.6894372701644897, 0.2283915877342224)",1,1,2.459686279296875,2.464950561523437,Fixation,POINT (0.6900551319122314 0.226250022649765),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803750083,18318148400,1,1,"(0.6899746060371399, 0.22711525857448578)","(0.6926257014274597, 0.2297641485929489)",1,1,2.464996337890625,2.4521484375,Fixation,POINT (0.6913001537322998 0.2284397035837174),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803758417,18318156734,1,1,"(0.6920852661132812, 0.2255297601222992)","(0.694994330406189, 0.22286276519298553)",1,1,2.4801483154296875,2.467132568359375,Fixation,POINT (0.6935397982597351 0.2241962626576424),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803766750,18318165067,1,1,"(0.6917051672935486, 0.22896037995815277)","(0.6922106146812439, 0.2187718152999878)",1,1,2.48199462890625,2.4619903564453125,Fixation,POINT (0.6919578909873962 0.2238660976290703),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803775083,18318173400,1,1,"(0.693769097328186, 0.22775191068649292)","(0.6956968307495117, 0.22735260426998138)",1,1,2.473388671875,2.473052978515625,Fixation,POINT (0.6947329640388489 0.2275522574782372),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803783416,18318181733,1,1,"(0.6915302276611328, 0.22421525418758392)","(0.6947495341300964, 0.220753014087677)",1,1,2.4745635986328125,2.44561767578125,Fixation,POINT (0.6931398808956146 0.2224841341376305),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803791755,18318190072,1,1,"(0.6910595297813416, 0.22645537555217743)","(0.695606529712677, 0.2259736806154251)",1,1,2.4917449951171875,2.45751953125,Fixation,POINT (0.6933330297470093 0.2262145280838013),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803800089,18318198406,1,1,"(0.690924882888794, 0.22160203754901886)","(0.6962118744850159, 0.2234470695257187)",1,1,2.47698974609375,2.4572296142578125,Fixation,POINT (0.6935683786869049 0.2225245535373688),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803808422,18318206739,1,1,"(0.6907170414924622, 0.21813258528709412)","(0.6927201747894287, 0.21788176894187927)",1,1,2.4826202392578125,2.45263671875,Fixation,POINT (0.6917186081409454 0.2180071771144867),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803816756,18318215073,1,1,"(0.6917573809623718, 0.22321981191635132)","(0.6920564770698547, 0.22046758234500885)",1,1,2.46136474609375,2.469100952148437,Fixation,POINT (0.6919069290161133 0.2218436971306801),,,,,,,,,,,,,,,,,,,,,,,
