,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,private.0,void.0,addLimit.0,JPopupMenu.0,popup.0,JMenuItem.0,limit.0,=.0,makeMenuItem.0,"""Write option: Limit days..."".100","""Specify a limit for the written output in days"".101",new.0,ActionListener.0,SuppressWarnings.0,"""synthetic-access"".0",Override.0,public.0,void.1,actionPerformed.0,ActionEvent.0,e.0,actionLimit.0,popup.1,add.0,limit.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,addLimit,34426334,1208754234847,17268636772,1,1,"(0.7262757420539856, 0.6403887867927551)","(0.7357597947120667, 0.6741431355476379)",1,1,2.42535400390625,2.308746337890625,,POINT (0.7310177683830261 0.6572659611701965),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,addLimit,34426334,1208755034877,17269436800,1,1,"(0.023355817422270775, 0.10127261281013489)","(0.04599236324429512, 0.1271289587020874)",1,1,2.379425048828125,2.3696441650390625,,POINT (0.034674090333283 0.1142007857561112),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755043215,17269445138,1,1,"(0.02302793227136135, 0.09961915761232376)","(0.04528828337788582, 0.13020822405815125)",1,1,2.342437744140625,2.386581420898437,Fixation,POINT (0.0341581078246236 0.1149136908352375),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755051548,17269453471,1,1,"(0.021518049761652946, 0.10933835059404373)","(0.04846234992146492, 0.13480111956596375)",1,1,2.34649658203125,2.3704986572265625,Fixation,POINT (0.0349901998415589 0.1220697350800037),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755059881,17269461804,1,1,"(0.02473650686442852, 0.10543788969516754)","(0.0545041598379612, 0.13092273473739624)",1,1,2.3633575439453125,2.372314453125,Fixation,POINT (0.0396203333511949 0.1181803122162819),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755068214,17269470137,1,1,"(0.020284395664930344, 0.10819315910339355)","(0.051690492779016495, 0.1313939243555069)",1,1,2.3594970703125,2.37640380859375,Fixation,POINT (0.0359874442219734 0.1197935417294502),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755076548,17269478471,1,1,"(0.020973458886146545, 0.10699277371168137)","(0.061093591153621674, 0.12177824229001999)",1,1,2.37225341796875,2.3432769775390625,Fixation,POINT (0.0410335250198841 0.1143855080008507),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755084881,17269486804,1,1,"(0.02506266161799431, 0.10960494726896286)","(0.05386548489332199, 0.10273672640323639)",1,1,2.3797607421875,2.345306396484375,Fixation,POINT (0.0394640732556582 0.1061708368360996),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755093215,17269495137,1,1,"(0.028657978400588036, 0.10604487359523773)","(0.05215206742286682, 0.08881659060716629)",1,1,2.351547241210937,2.3874664306640625,Fixation,POINT (0.0404050229117274 0.097430732101202),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755101549,17269503471,1,1,"(0.03357604518532753, 0.09689141809940338)","(0.04704355448484421, 0.09943096339702606)",1,1,2.36962890625,2.382110595703125,Fixation,POINT (0.0403097998350859 0.0981611907482147),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755109882,17269511804,1,1,"(0.02925768308341503, 0.10037265717983246)","(0.04714216664433479, 0.10397548228502274)",1,1,2.3693389892578125,2.3527069091796875,Fixation,POINT (0.0381999248638749 0.1021740697324276),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755118215,17269520137,1,1,"(0.03092048317193985, 0.09961610287427902)","(0.04563458636403084, 0.11835259199142456)",1,1,2.36065673828125,2.384002685546875,Fixation,POINT (0.0382775347679853 0.1089843474328518),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755126549,17269528471,1,1,"(0.03589772805571556, 0.09928308427333832)","(0.04411917179822922, 0.1214999184012413)",1,1,2.37750244140625,2.381698608398437,Fixation,POINT (0.0400084499269724 0.1103915013372898),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755134882,17269536804,1,1,"(0.03386593982577324, 0.10291919112205505)","(0.04221637174487114, 0.12505707144737244)",1,1,2.368026733398437,2.364959716796875,Fixation,POINT (0.0380411557853222 0.1139881312847138),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755143215,17269545137,1,1,"(0.036585982888936996, 0.10320712625980377)","(0.0543106310069561, 0.12495985627174377)",1,1,2.368927001953125,2.404037475585937,Fixation,POINT (0.0454483069479466 0.1140834912657738),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755168220,17269570142,1,1,"(0.15751725435256958, 0.10841429233551025)","(0.17049148678779602, 0.14199812710285187)",1,1,2.3949127197265625,2.442779541015625,Fixation,POINT (0.1640043705701828 0.1252062097191811),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755176554,17269578476,1,1,"(0.16396483778953552, 0.10360134392976761)","(0.16555416584014893, 0.14115580916404724)",1,1,2.3983917236328125,2.425033569335937,Fixation,POINT (0.1647595018148422 0.1223785765469074),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755184887,17269586809,1,1,"(0.1622784286737442, 0.1144864559173584)","(0.1716054528951645, 0.1348167359828949)",1,1,2.38079833984375,2.3806915283203125,Fixation,POINT (0.1669419407844544 0.1246515959501266),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755193220,17269595142,1,1,"(0.16670753061771393, 0.12406641989946365)","(0.1765097677707672, 0.13283008337020874)",1,1,2.36773681640625,2.400604248046875,Fixation,POINT (0.1716086491942406 0.1284482516348362),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755201554,17269603476,1,1,"(0.16940388083457947, 0.11044921725988388)","(0.17564080655574799, 0.13550004363059998)",1,1,2.36309814453125,2.4017333984375,Fixation,POINT (0.1725223436951637 0.1229746304452419),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755209887,17269611809,1,1,"(0.16647791862487793, 0.11885479092597961)","(0.17257115244865417, 0.13973265886306763)",1,1,2.38079833984375,2.395050048828125,Fixation,POINT (0.169524535536766 0.1292937248945236),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755218220,17269620142,1,1,"(0.1654869168996811, 0.10973023623228073)","(0.17700184881687164, 0.14833995699882507)",1,1,2.364990234375,2.42913818359375,Fixation,POINT (0.1712443828582764 0.1290350966155529),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755226554,17269628476,1,1,"(0.16704590618610382, 0.10968299955129623)","(0.17127759754657745, 0.1462012231349945)",1,1,2.362518310546875,2.428939819335937,Fixation,POINT (0.1691617518663406 0.1279421113431454),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755234887,17269636809,1,1,"(0.1674240380525589, 0.11095569282770157)","(0.172551229596138, 0.1418752819299698)",1,1,2.381942749023437,2.40576171875,Fixation,POINT (0.1699876338243484 0.1264154873788357),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755243220,17269645142,1,1,"(0.16831395030021667, 0.11283496767282486)","(0.17412404716014862, 0.1343124955892563)",1,1,2.399871826171875,2.3860015869140625,Fixation,POINT (0.1712189987301826 0.1235737316310406),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755251554,17269653476,1,1,"(0.16506808996200562, 0.1141052320599556)","(0.17138467729091644, 0.14353126287460327)",1,1,2.385009765625,2.390380859375,Fixation,POINT (0.168226383626461 0.1288182474672794),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755259887,17269661809,1,1,"(0.16584300994873047, 0.1145031526684761)","(0.16616910696029663, 0.14138109982013702)",1,1,2.3812713623046875,2.3996124267578125,Fixation,POINT (0.1660060584545136 0.1279421262443066),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755268220,17269670142,1,1,"(0.17107440531253815, 0.11322644352912903)","(0.16730231046676636, 0.15172220766544342)",1,1,2.37127685546875,2.420883178710937,Fixation,POINT (0.1691883578896522 0.1324743255972862),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755276554,17269678476,1,1,"(0.17268642783164978, 0.12006143480539322)","(0.17038488388061523, 0.14659461379051208)",1,1,2.365966796875,2.40411376953125,Fixation,POINT (0.1715356558561325 0.1333280242979526),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755284886,17269686809,1,1,"(0.16948142647743225, 0.11383796483278275)","(0.17262183129787445, 0.14945511519908905)",1,1,2.371246337890625,2.4228515625,Fixation,POINT (0.1710516288876534 0.1316465400159359),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755293220,17269695142,1,1,"(0.1644626408815384, 0.11086603254079819)","(0.1726895421743393, 0.14639990031719208)",1,1,2.3748016357421875,2.4148101806640625,Fixation,POINT (0.1685760915279388 0.1286329664289951),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755301558,17269703480,1,1,"(0.16604095697402954, 0.10523057729005814)","(0.17147262394428253, 0.14957308769226074)",1,1,2.3877716064453125,2.388397216796875,Fixation,POINT (0.168756790459156 0.1274018324911594),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,addLimit,34426334,1208755309891,17269711813,1,1,"(0.16751429438591003, 0.10482462495565414)","(0.16983278095722198, 0.14970915019512177)",1,1,2.386627197265625,2.385116577148437,Fixation,POINT (0.168673537671566 0.127266887575388),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
