,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,Map.0,asMap.0,Map.1,map.0,=.0,new.0,HashMap.0,"// map put ""org_id"" org_id.200",map.1,put.0,"""startDate"".0",start_date.0,map.2,put.1,"""endDate"".0",end_date.0,if.0,this.0,organization.0,!=.0,nan.0,map.3,put.2,"""organization"".0",this.1,organization.1,acronym.0,map.4,put.3,"""type"".0",this.2,isVisitor.0,?.0,"""Visitor"".0",:.0,"""Employee"".0",// return new JSONObject map.201,return.0,map.5,prewritten,accurate,missing,unnecessary,readable,code
0,136,asMap,22624602,1208918407653,17432809154,1,1,"(0.8090760707855225, 0.6741076707839966)","(0.8619903922080994, 0.7168483734130859)",1,1,2.520248413085937,2.44305419921875,,POINT (0.8355332314968109 0.6954780220985413),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,136,asMap,22624602,1208918432653,17432834154,1,1,"(0.767106294631958, 0.48334071040153503)","(0.7721979022026062, 0.5229751467704773)",1,1,2.519683837890625,2.5120849609375,Fixation,POINT (0.7696520984172821 0.5031579285860062),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,asMap,22624602,1208918440986,17432842487,1,1,"(0.7634792923927307, 0.4892570674419403)","(0.7725311517715454, 0.5150636434555054)",1,1,2.5135650634765625,2.5365447998046875,Fixation,POINT (0.7680052220821381 0.5021603554487228),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,asMap,22624602,1208918449319,17432850820,1,1,"(0.7578803896903992, 0.4732407033443451)","(0.7669049501419067, 0.5086292028427124)",1,1,2.55133056640625,2.525634765625,Fixation,POINT (0.762392669916153 0.4909349530935288),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,asMap,22624602,1208918457653,17432859154,1,1,"(0.760230541229248, 0.46773162484169006)","(0.756408154964447, 0.49778032302856445)",1,1,2.5456085205078125,2.551300048828125,Fixation,POINT (0.7583193480968475 0.4827559739351273),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,asMap,22624602,1208918465986,17432867487,1,1,"(0.7422223687171936, 0.468708336353302)","(0.7541033625602722, 0.502345621585846)",1,1,2.5247802734375,2.5218505859375,Fixation,POINT (0.7481628656387329 0.485526978969574),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,asMap,22624602,1208918490994,17432892495,1,1,"(0.6739366054534912, 0.26650452613830566)","(0.6824135184288025, 0.30446216464042664)",1,1,2.4595489501953125,2.4903564453125,Fixation,POINT (0.6781750619411469 0.2854833453893662),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,asMap,22624602,1208918507662,17432909162,1,1,"(0.6653361320495605, 0.25116315484046936)","(0.6630260348320007, 0.2842361330986023)",1,1,2.47998046875,2.50579833984375,Fixation,POINT (0.6641810834407806 0.2676996439695358),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918515993,17432917493,1,1,"(0.6632089614868164, 0.24821792542934418)","(0.6668798327445984, 0.28446269035339355)",1,1,2.509552001953125,2.5147857666015625,Fixation,POINT (0.6650443971157074 0.2663403078913689),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918524326,17432925826,1,1,"(0.6699135899543762, 0.2578543424606323)","(0.6704006195068359, 0.27620068192481995)",1,1,2.505157470703125,2.514984130859375,Fixation,POINT (0.6701571047306061 0.2670275121927261),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918532661,17432934160,1,1,"(0.6628676056861877, 0.24496965110301971)","(0.6681432723999023, 0.2787201404571533)",1,1,2.4591827392578125,2.511932373046875,Fixation,POINT (0.665505439043045 0.2618448957800865),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918540994,17432942493,1,1,"(0.6657880544662476, 0.24674466252326965)","(0.6676366329193115, 0.27328377962112427)",1,1,2.4773101806640625,2.4972381591796875,Fixation,POINT (0.6667123436927795 0.260014221072197),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918549327,17432950826,1,1,"(0.6618632674217224, 0.2516622543334961)","(0.6708666086196899, 0.2695018947124481)",1,1,2.446258544921875,2.515655517578125,Fixation,POINT (0.6663649380207062 0.2605820745229721),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918557661,17432959160,1,1,"(0.6591021418571472, 0.255475789308548)","(0.6689619421958923, 0.275983065366745)",1,1,2.484481811523437,2.5235595703125,Fixation,POINT (0.6640320420265198 0.2657294273376465),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918565994,17432967493,1,1,"(0.6578423976898193, 0.2577917277812958)","(0.6654471755027771, 0.2780835032463074)",1,1,2.4870758056640625,2.503768920898437,Fixation,POINT (0.6616447865962982 0.2679376155138016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918574327,17432975826,1,1,"(0.6628339886665344, 0.2511141896247864)","(0.6685305833816528, 0.26768311858177185)",1,1,2.4779510498046875,2.501922607421875,Fixation,POINT (0.6656822860240936 0.2593986541032791),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918582661,17432984160,1,1,"(0.6638949513435364, 0.2464054524898529)","(0.6613873839378357, 0.2742757201194763)",1,1,2.4719390869140625,2.500961303710937,Fixation,POINT (0.662641167640686 0.2603405863046646),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918590994,17432992493,1,1,"(0.6646164059638977, 0.2510468363761902)","(0.6593250036239624, 0.26867660880088806)",1,1,2.458465576171875,2.493194580078125,Fixation,POINT (0.66197070479393 0.2598617225885391),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918599329,17433000828,1,1,"(0.6668768525123596, 0.2522580921649933)","(0.6598955392837524, 0.2683159410953522)",1,1,2.44683837890625,2.4879150390625,Fixation,POINT (0.663386195898056 0.2602870166301727),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918607663,17433009162,1,1,"(0.6608525514602661, 0.25105202198028564)","(0.6599811315536499, 0.268355131149292)",1,1,2.454940795898437,2.4776611328125,Fixation,POINT (0.660416841506958 0.2597035765647888),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918615994,17433017493,1,1,"(0.6609017848968506, 0.26156702637672424)","(0.664148211479187, 0.2738955318927765)",1,1,2.4501190185546875,2.485992431640625,Fixation,POINT (0.6625249981880188 0.2677312791347504),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918624332,17433025831,1,1,"(0.6647169589996338, 0.2558709681034088)","(0.6631190180778503, 0.27656319737434387)",1,1,2.45697021484375,2.476791381835937,Fixation,POINT (0.6639179885387421 0.2662170827388763),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918632666,17433034165,1,1,"(0.6675392389297485, 0.2537723183631897)","(0.662988007068634, 0.2736213505268097)",1,1,2.4728240966796875,2.489608764648437,Fixation,POINT (0.6652636229991913 0.2636968344449997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918640999,17433042498,1,1,"(0.6679219007492065, 0.2410057932138443)","(0.6629807353019714, 0.2755032181739807)",1,1,2.443588256835937,2.482879638671875,Fixation,POINT (0.665451318025589 0.2582545056939125),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918649332,17433050831,1,1,"(0.6670642495155334, 0.24247102439403534)","(0.6615897417068481, 0.2739507853984833)",1,1,2.438873291015625,2.4505767822265625,Fixation,POINT (0.6643269956111908 0.2582109048962593),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918657666,17433059165,1,1,"(0.6658516526222229, 0.25558313727378845)","(0.6589373350143433, 0.2806379795074463)",1,1,2.4733123779296875,2.498153686523437,Fixation,POINT (0.6623944938182831 0.2681105583906174),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918665999,17433067498,1,1,"(0.6632357835769653, 0.2528873682022095)","(0.6623904705047607, 0.2748717665672302)",1,1,2.4547576904296875,2.4346160888671875,Fixation,POINT (0.662813127040863 0.2638795673847198),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918674332,17433075831,1,1,"(0.6620625257492065, 0.2583597004413605)","(0.6652242541313171, 0.27116847038269043)",1,1,2.4632568359375,2.439422607421875,Fixation,POINT (0.6636433899402618 0.2647640854120254),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918682666,17433084165,1,1,"(0.6641900539398193, 0.2536570131778717)","(0.6695470809936523, 0.2776816487312317)",1,1,2.45361328125,2.424041748046875,Fixation,POINT (0.6668685674667358 0.2656693309545517),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918690999,17433092498,1,1,"(0.6713184118270874, 0.24510334432125092)","(0.6839479207992554, 0.2623189687728882)",1,1,2.446273803710937,2.4620513916015625,Fixation,POINT (0.6776331663131714 0.2537111565470696),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918707665,17433109164,1,1,"(0.7049020528793335, 0.2152080088853836)","(0.7037233710289001, 0.2447591871023178)",1,1,2.413116455078125,2.405731201171875,Fixation,POINT (0.7043127119541168 0.2299835979938507),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918715999,17433117498,1,1,"(0.7028095722198486, 0.21579836308956146)","(0.7059913277626038, 0.24059666693210602)",1,1,2.409271240234375,2.395477294921875,Fixation,POINT (0.7044004499912262 0.2281975150108337),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,asMap,22624602,1208918724332,17433125831,1,1,"(0.7028815746307373, 0.22550371289253235)","(0.7051655054092407, 0.24727025628089905)",1,1,2.4040985107421875,2.400787353515625,Fixation,POINT (0.704023540019989 0.2363869845867157),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
