,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,String.0,capitalizeString.0,String.1,s.0,String.2,result.0,=.0,""""".0",for.0,int.0,i.0,=.1,0.0,i.1,<.0,s.1,length.0,i.2,if.0,i.3,==.0,0.1,||.0,s.2,substring.0,i.4,-.0,1.0,i.5,equals.0,""" "".0",result.1,+=.0,s.3,substring.1,i.6,i.7,+.0,1.1,toUpperCase.0,else.0,result.2,+=.1,s.4,substring.2,i.8,i.9,+.1,1.2,return.0,result.3,prewritten,accurate,missing,unnecessary,readable,code
0,136,capitalizeString,1412807,1208210473125,16724876317,1,1,"(0.652357280254364, 0.2536933124065399)","(0.649806797504425, 0.28849050402641296)",1,1,2.8072052001953125,2.9254150390625,,POINT (0.6510820388793945 0.2710919082164764),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210481458,16724884650,1,1,"(0.6543781757354736, 0.25048866868019104)","(0.6523818969726562, 0.2799637019634247)",1,1,2.8184356689453125,2.93768310546875,Fixation,POINT (0.6533800363540649 0.2652261853218079),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210489791,16724892983,1,1,"(0.6556313633918762, 0.25097009539604187)","(0.6559607982635498, 0.2828926742076874)",1,1,2.780014038085937,2.91485595703125,Fixation,POINT (0.655796080827713 0.2669313848018646),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210498125,16724901317,1,1,"(0.6606097221374512, 0.24166187644004822)","(0.6503729224205017, 0.28709274530410767)",1,1,2.7845458984375,2.922393798828125,Fixation,POINT (0.6554913222789764 0.2643773108720779),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210506458,16724909650,1,1,"(0.6654181480407715, 0.24346096813678741)","(0.651627242565155, 0.27642256021499634)",1,1,2.791961669921875,2.906005859375,Fixation,POINT (0.6585226953029633 0.2599417641758919),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210514792,16724917984,1,1,"(0.6626846194267273, 0.24608035385608673)","(0.6587450504302979, 0.28038039803504944)",1,1,2.810821533203125,2.9167633056640625,Fixation,POINT (0.6607148349285126 0.2632303759455681),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210523125,16724926317,1,1,"(0.6572709679603577, 0.24075116217136383)","(0.6538894176483154, 0.28619202971458435)",1,1,2.7867584228515625,2.916748046875,Fixation,POINT (0.6555801928043365 0.2634715959429741),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210531458,16724934650,1,1,"(0.6553272604942322, 0.2518385648727417)","(0.6522216200828552, 0.2924153506755829)",1,1,2.782257080078125,2.89923095703125,Fixation,POINT (0.6537744402885437 0.2721269577741623),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210539791,16724942983,1,1,"(0.661313533782959, 0.24735647439956665)","(0.6518527865409851, 0.2861648201942444)",1,1,2.785614013671875,2.901947021484375,Fixation,POINT (0.656583160161972 0.2667606472969055),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210548127,16724951319,1,1,"(0.6618649363517761, 0.24966348707675934)","(0.6553338766098022, 0.2842952609062195)",1,1,2.791854858398437,2.89288330078125,Fixation,POINT (0.6585994064807892 0.2669793739914894),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210556461,16724959652,1,1,"(0.6630281209945679, 0.2526516020298004)","(0.6503514647483826, 0.294759601354599)",1,1,2.77740478515625,2.89154052734375,Fixation,POINT (0.6566897928714752 0.2737056016921997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210564794,16724967985,1,1,"(0.6598213911056519, 0.2527446150779724)","(0.6526396870613098, 0.298974871635437)",1,1,2.799713134765625,2.891448974609375,Fixation,POINT (0.6562305390834808 0.2758597433567047),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210573128,16724976319,1,1,"(0.6563194394111633, 0.2486613392829895)","(0.6521364450454712, 0.2951136529445648)",1,1,2.769256591796875,2.8916473388671875,Fixation,POINT (0.6542279422283173 0.2718874961137772),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210581461,16724984652,1,1,"(0.6573545336723328, 0.24040250480175018)","(0.6571645736694336, 0.2963021695613861)",1,1,2.7819976806640625,2.89886474609375,Fixation,POINT (0.6572595536708832 0.2683523371815682),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210589794,16724992985,1,1,"(0.6614459753036499, 0.24466870725154877)","(0.6584055423736572, 0.2869844436645508)",1,1,2.783782958984375,2.8900146484375,Fixation,POINT (0.6599257588386536 0.2658265754580498),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210598128,16725001319,1,1,"(0.6629961133003235, 0.24375638365745544)","(0.648004949092865, 0.2897755205631256)",1,1,2.779281616210937,2.8868560791015625,Fixation,POINT (0.6555005311965942 0.2667659521102905),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210606461,16725009652,1,1,"(0.6622294187545776, 0.24744649231433868)","(0.6469084024429321, 0.3000178039073944)",1,1,2.780853271484375,2.8859405517578125,Fixation,POINT (0.6545689105987549 0.2737321481108666),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210614794,16725017985,1,1,"(0.6691722273826599, 0.2438594549894333)","(0.665311872959137, 0.2870211899280548)",1,1,2.7955780029296875,2.8705596923828125,Fixation,POINT (0.6672420501708984 0.265440322458744),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210631461,16725034652,1,1,"(0.6814190745353699, 0.24111270904541016)","(0.6783416867256165, 0.2665998637676239)",1,1,2.771148681640625,2.8414459228515625,Fixation,POINT (0.6798803806304932 0.253856286406517),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210639794,16725042985,1,1,"(0.6815115213394165, 0.24231523275375366)","(0.6809237599372864, 0.2679227888584137)",1,1,2.7627105712890625,2.846588134765625,Fixation,POINT (0.6812176406383514 0.2551190108060837),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210648128,16725051319,1,1,"(0.6818408370018005, 0.24342511594295502)","(0.6814808249473572, 0.26877784729003906)",1,1,2.7736968994140625,2.8297576904296875,Fixation,POINT (0.6816608309745789 0.256101481616497),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210656461,16725059652,1,1,"(0.6818221211433411, 0.24224911630153656)","(0.6805441379547119, 0.26527684926986694)",1,1,2.7658233642578125,2.8119659423828125,Fixation,POINT (0.6811831295490265 0.2537629827857018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210664794,16725067985,1,1,"(0.6809861063957214, 0.23894919455051422)","(0.6837177872657776, 0.2716282606124878)",1,1,2.746078491210937,2.820785522460937,Fixation,POINT (0.6823519468307495 0.255288727581501),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210673128,16725076319,1,1,"(0.6780980229377747, 0.24264948070049286)","(0.6820765137672424, 0.2615126073360443)",1,1,2.75927734375,2.8108367919921875,Fixation,POINT (0.6800872683525085 0.2520810440182686),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210681465,16725084656,1,1,"(0.677331805229187, 0.24379706382751465)","(0.6793480515480042, 0.2637042999267578)",1,1,2.746566772460937,2.7979888916015625,Fixation,POINT (0.6783399283885956 0.2537506818771362),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210689798,16725092989,1,1,"(0.6785218715667725, 0.24052099883556366)","(0.6752951741218567, 0.25575998425483704)",1,1,2.7440643310546875,2.78680419921875,Fixation,POINT (0.6769085228443146 0.2481404915452004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210698132,16725101323,1,1,"(0.6800501942634583, 0.2406996786594391)","(0.673053503036499, 0.2552525997161865)",1,1,2.7552032470703125,2.7821197509765625,Fixation,POINT (0.6765518486499786 0.2479761391878128),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210706465,16725109656,1,1,"(0.6810272932052612, 0.23627620935440063)","(0.6742459535598755, 0.2547740042209625)",1,1,2.73394775390625,2.7774658203125,Fixation,POINT (0.6776366233825684 0.2455251067876816),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210714798,16725117989,1,1,"(0.6829540133476257, 0.24203145503997803)","(0.6721206903457642, 0.2586047053337097)",1,1,2.733993530273437,2.79803466796875,Fixation,POINT (0.677537351846695 0.2503180801868439),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210723132,16725126323,1,1,"(0.6815160512924194, 0.23446917533874512)","(0.68110591173172, 0.261234849691391)",1,1,2.707748413085937,2.78009033203125,Fixation,POINT (0.6813109815120697 0.247852012515068),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210731465,16725134656,1,1,"(0.6809789538383484, 0.22862398624420166)","(0.6800867915153503, 0.2589954733848572)",1,1,2.70458984375,2.760009765625,Fixation,POINT (0.6805328726768494 0.2438097298145294),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210739798,16725142989,1,1,"(0.6805448532104492, 0.2390826940536499)","(0.6825371980667114, 0.270223468542099)",1,1,2.712738037109375,2.7485809326171875,Fixation,POINT (0.6815410256385803 0.2546530812978744),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210748132,16725151323,1,1,"(0.6764338612556458, 0.24529743194580078)","(0.6788315176963806, 0.2657964825630188)",1,1,2.7312774658203125,2.7318878173828125,Fixation,POINT (0.6776326894760132 0.2555469572544098),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,capitalizeString,1412807,1208210823134,16725226325,1,1,"(0.15336360037326813, 0.13699285686016083)","(0.16565118730068207, 0.18808992207050323)",1,1,2.5948486328125,2.7666015625,Fixation,POINT (0.1595073938369751 0.162541389465332),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,capitalizeString,1412807,1208210831467,16725234658,1,1,"(0.15124522149562836, 0.13601651787757874)","(0.1656348705291748, 0.19645825028419495)",1,1,2.6176910400390625,2.7677154541015625,Fixation,POINT (0.1584400460124016 0.1662373840808868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,capitalizeString,1412807,1208210839800,16725242991,1,1,"(0.14868275821208954, 0.13542646169662476)","(0.15931545197963715, 0.19927696883678436)",1,1,2.59649658203125,2.7530670166015625,Fixation,POINT (0.1539991050958633 0.1673517152667046),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,capitalizeString,1412807,1208210848132,16725251323,1,1,"(0.15532490611076355, 0.1344197690486908)","(0.15120582282543182, 0.1871362030506134)",1,1,2.581085205078125,2.74468994140625,Fixation,POINT (0.1532653644680977 0.1607779860496521),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,capitalizeString,1412807,1208210856465,16725259656,1,1,"(0.15319180488586426, 0.1350799798965454)","(0.16044881939888, 0.1887778788805008)",1,1,2.584930419921875,2.725006103515625,Fixation,POINT (0.1568203121423721 0.1619289293885231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,capitalizeString,1412807,1208210864798,16725267989,1,1,"(0.15405257046222687, 0.13461904227733612)","(0.1658477783203125, 0.1810157597064972)",1,1,2.573089599609375,2.724884033203125,Fixation,POINT (0.1599501743912697 0.1578174009919167),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
