,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,close.0,Tabpanel.0,tempPanel.0,=.0,nan.0,View.0,tempView.0,=.1,nan.1,List.0,?.0,>.0,list.0,Enumeration.0,Tabbox.0,>.1,tabs.0,=.2,primaryTabMap.0,keys.0,while.0,tabs.1,hasMoreElements.0,list.1,=.3,tabs.2,nextElement.0,getTabpanels.0,getChildren.0,Iterator.0,?.1,>.2,itr.0,=.4,list.2,iterator.0,while.1,itr.1,hasNext.0,tempPanel.1,=.5,Tabpanel.1,itr.2,next.0,tempView.1,=.6,View.1,tempPanel.2,getChildren.1,get.0,0.0,tempView.2,deregisterView.0,prewritten,accurate,missing,unnecessary,readable,code
0,136,close,34413807,1208298551326,16812954338,1,1,"(0.19752995669841766, 0.31041350960731506)","(0.19605520367622375, 0.31834858655929565)",1,1,2.612289428710937,2.6504058837890625,,POINT (0.1967925801873207 0.3143810480833054),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,close,34413807,1208298559659,16812962671,1,1,"(0.21102464199066162, 0.31323742866516113)","(0.21334460377693176, 0.32616743445396423)",1,1,2.6298980712890625,2.680633544921875,Fixation,POINT (0.2121846228837967 0.3197024315595627),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,close,34413807,1208298567992,16812971004,1,1,"(0.2089436799287796, 0.30737796425819397)","(0.2038932740688324, 0.32348138093948364)",1,1,2.63153076171875,2.6797332763671875,Fixation,POINT (0.206418476998806 0.3154296725988388),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,close,34413807,1208298576326,16812979338,1,1,"(0.20662759244441986, 0.3100561797618866)","(0.20526638627052307, 0.3344506025314331)",1,1,2.6349029541015625,2.679550170898437,Fixation,POINT (0.2059469893574715 0.3222533911466598),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,close,34413807,1208298584659,16812987671,1,1,"(0.20654843747615814, 0.3076823949813843)","(0.20406919717788696, 0.3278055191040039)",1,1,2.608062744140625,2.6612091064453125,Fixation,POINT (0.2053088173270226 0.3177439570426941),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,close,34413807,1208298592992,16812996004,1,1,"(0.20832042396068573, 0.3146544396877289)","(0.20599804818630219, 0.33375731110572815)",1,1,2.61639404296875,2.6739654541015625,Fixation,POINT (0.207159236073494 0.3242058753967285),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,close,34413807,1208298601326,16813004338,1,1,"(0.20649774372577667, 0.309315949678421)","(0.2039659172296524, 0.33426380157470703)",1,1,2.6103668212890625,2.6608123779296875,Fixation,POINT (0.2052318304777145 0.321789875626564),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,close,34413807,1208298609659,16813012671,1,1,"(0.21241629123687744, 0.3018973171710968)","(0.2019684910774231, 0.3350417912006378)",1,1,2.6148681640625,2.6828155517578125,Fixation,POINT (0.2071923911571503 0.3184695541858673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,close,34413807,1208298617992,16813021004,1,1,"(0.21068598330020905, 0.3091798722743988)","(0.20221713185310364, 0.326907753944397)",1,1,2.6316375732421875,2.657806396484375,Fixation,POINT (0.2064515575766563 0.3180438131093979),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,close,34413807,1208298626329,16813029341,1,1,"(0.20803365111351013, 0.30846598744392395)","(0.2020511031150818, 0.32734403014183044)",1,1,2.597442626953125,2.654205322265625,Fixation,POINT (0.205042377114296 0.3179050087928772),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,close,34413807,1208298634662,16813037674,1,1,"(0.20829975605010986, 0.30423110723495483)","(0.19708478450775146, 0.33852124214172363)",1,1,2.611419677734375,2.6512451171875,Fixation,POINT (0.2026922702789307 0.3213761746883392),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,close,34413807,1208298642995,16813046007,1,1,"(0.21206748485565186, 0.30317386984825134)","(0.19998621940612793, 0.3292744755744934)",1,1,2.624176025390625,2.65216064453125,Fixation,POINT (0.2060268521308899 0.3162241727113724),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,close,34413807,1208298651329,16813054341,1,1,"(0.2119777798652649, 0.3102927505970001)","(0.1978563666343689, 0.3286884129047394)",1,1,2.6023101806640625,2.6593475341796875,Fixation,POINT (0.2049170732498169 0.3194905817508698),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,close,34413807,1208298659662,16813062674,1,1,"(0.21343015134334564, 0.3122139275074005)","(0.20133021473884583, 0.33365118503570557)",1,1,2.60101318359375,2.6566162109375,Fixation,POINT (0.2073801830410957 0.322932556271553),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,close,34413807,1208298667995,16813071007,1,1,"(0.21437469124794006, 0.3098990023136139)","(0.2038169801235199, 0.33368220925331116)",1,1,2.6328887939453125,2.666015625,Fixation,POINT (0.20909583568573 0.3217906057834625),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,close,34413807,1208298676329,16813079341,1,1,"(0.21193160116672516, 0.3169217109680176)","(0.19802793860435486, 0.3244069218635559)",1,1,2.6000213623046875,2.6413116455078125,Fixation,POINT (0.20497976988554 0.3206643164157867),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,close,34413807,1208298684662,16813087674,1,1,"(0.20823083817958832, 0.31537002325057983)","(0.19987599551677704, 0.3183445632457733)",1,1,2.6013946533203125,2.6463623046875,Fixation,POINT (0.2040534168481827 0.3168572932481766),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,close,34413807,1208298692995,16813096007,1,1,"(0.21022166311740875, 0.30699393153190613)","(0.1994129717350006, 0.3323598802089691)",1,1,2.6267242431640625,2.6493072509765625,Fixation,POINT (0.2048173174262047 0.3196769058704376),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,close,34413807,1208298701329,16813104341,1,1,"(0.20773574709892273, 0.31539276242256165)","(0.20365293323993683, 0.3142458200454712)",1,1,2.592315673828125,2.6411590576171875,Fixation,POINT (0.2056943401694298 0.3148192912340164),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,close,34413807,1208298734662,16813137674,1,1,"(0.11125263571739197, 0.26341691613197327)","(0.11152855306863785, 0.3167865574359894)",1,1,2.46527099609375,2.618408203125,Fixation,POINT (0.1113905943930149 0.2901017367839813),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208298742995,16813146007,1,1,"(0.10449573397636414, 0.26167941093444824)","(0.10570117086172104, 0.3182542622089386)",1,1,2.487274169921875,2.6397705078125,Fixation,POINT (0.1050984524190426 0.2899668365716934),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208298751329,16813154341,1,1,"(0.10058899968862534, 0.26654237508773804)","(0.10577608644962311, 0.32139819860458374)",1,1,2.520263671875,2.6300506591796875,Fixation,POINT (0.1031825430691242 0.2939702868461609),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208298759672,16813162684,1,1,"(0.10371414572000504, 0.26148080825805664)","(0.10499351471662521, 0.3215515613555908)",1,1,2.48907470703125,2.6179656982421875,Fixation,POINT (0.1043538302183151 0.2915161848068237),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208298768005,16813171017,1,1,"(0.1032145544886589, 0.2668823003768921)","(0.10849696397781372, 0.3354446291923523)",1,1,2.5005340576171875,2.62384033203125,Fixation,POINT (0.1058557592332363 0.3011634647846222),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208298776340,16813179351,1,1,"(0.09775872528553009, 0.2612314522266388)","(0.10611604899168015, 0.3302094340324402)",1,1,2.480209350585937,2.6284332275390625,Fixation,POINT (0.1019373871386051 0.2957204431295395),,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208298784673,16813187684,1,1,"(0.10406803339719772, 0.265704482793808)","(0.10724841058254242, 0.3302494287490845)",1,1,2.50030517578125,2.61749267578125,Fixation,POINT (0.1056582219898701 0.2979769557714462),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208298793006,16813196017,1,1,"(0.1029135063290596, 0.2641799747943878)","(0.10901302099227905, 0.3281487226486206)",1,1,2.4906005859375,2.619781494140625,Fixation,POINT (0.1059632636606693 0.2961643487215042),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208298801340,16813204351,1,1,"(0.09882798790931702, 0.2598763704299927)","(0.10659532248973846, 0.32757386565208435)",1,1,2.4802703857421875,2.622650146484375,Fixation,POINT (0.1027116551995277 0.2937251180410385),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208298809673,16813212684,1,1,"(0.10726074874401093, 0.2606264054775238)","(0.10232406109571457, 0.3230517506599426)",1,1,2.4900054931640625,2.623519897460937,Fixation,POINT (0.1047924049198628 0.2918390780687332),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
