,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,protected.0,void.0,createNewServerProcess.0,Socket.0,socket.0,logger.0,info.0,"""Received connection on port "".100",+.0,getPort.0,+.1,""" from ["".101",+.2,socket.1,getInetAddress.0,+.3,""":"".0",+.4,socket.2,getPort.1,+.5,"""]."".0",Thread.0,t.0,=.0,new.0,Thread.1,getNewServerProcess.0,socket.3,t.1,start.0,getServerProcesses.0,add.0,t.2,new.1,Thread.2,new.2,Monitor.0,t.3,)).0,start.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,createNewServerProcess,3457090,1210093736260,18608133485,1,1,"(0.9191495180130005, 0.8555707335472107)","(0.9380875825881958, 0.8985154032707214)",1,1,2.66412353515625,2.527587890625,,POINT (0.9286185503005981 0.8770430684089661),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093744593,18608141818,1,1,"(0.9166728258132935, 0.8556033968925476)","(0.9323832392692566, 0.9034885764122009)",1,1,2.6630859375,2.563217163085937,Fixation,POINT (0.924528032541275 0.8795459866523743),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093752926,18608150151,1,1,"(0.9152224063873291, 0.8522257804870605)","(0.9314963817596436, 0.8999079465866089)",1,1,2.654647827148437,2.5587921142578125,Fixation,POINT (0.9233593940734863 0.8760668635368347),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093761259,18608158484,1,1,"(0.9130496382713318, 0.8478147387504578)","(0.9368830323219299, 0.8954123854637146)",1,1,2.653594970703125,2.542724609375,Fixation,POINT (0.9249663352966309 0.8716135621070862),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093777924,18608175149,1,1,"(0.9168249368667603, 0.8570373058319092)","(0.9291849136352539, 0.8984529972076416)",1,1,2.6473541259765625,2.55816650390625,,POINT (0.9230049252510071 0.8777451515197754),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093786259,18608183483,1,1,"(0.9194855093955994, 0.8577715158462524)","(0.9377111792564392, 0.8874653577804565)",1,1,2.670745849609375,2.5613555908203125,Fixation,POINT (0.9285983443260193 0.8726184368133545),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093794594,18608191818,1,1,"(0.920353889465332, 0.8598672747612)","(0.9347869157791138, 0.889879584312439)",1,1,2.654388427734375,2.546356201171875,Fixation,POINT (0.9275704026222229 0.8748734295368195),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093802925,18608200149,1,1,"(0.9205843806266785, 0.8553156852722168)","(0.9376172423362732, 0.8967474699020386)",1,1,2.635360717773437,2.548095703125,Fixation,POINT (0.9291008114814758 0.8760315775871277),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093811261,18608208485,1,1,"(0.9159511923789978, 0.8574531078338623)","(0.9376904368400574, 0.8974089622497559)",1,1,2.6717987060546875,2.5381622314453125,Fixation,POINT (0.9268208146095276 0.8774310350418091),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093819594,18608216818,1,1,"(0.9151167273521423, 0.8546549677848816)","(0.9260730147361755, 0.9020381569862366)",1,1,2.6487274169921875,2.56097412109375,Fixation,POINT (0.9205948710441589 0.8783465623855591),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
