,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,createServerChooser.0,MainMenuBar.0,mainMenuBar.0,=.0,MainMenuBar.1,getInstance.0,int.0,nodeId.0,=.1,dbMgr.0,getNodeId.0,String.0,cbNE.0,getSelectedItem.0,DownloadFileChooser.0,downloadFile.0,=.2,new.0,DownloadFileChooser.1,nodeId.1,DBDataDesc.0,SHELF_OLT1.0,tfFileName.0,tfFileNameOnly.0,mainMenuBar.1,putCommand.0,Object.0,downloadFile.1,downloadFile.2,setViewId.0,mainMenuBar.2,getViewId.0,downloadFile.3,setVisible.0,TRUE.0,prewritten,accurate,missing,unnecessary,readable,code
0,136,createServerChooser,35553791,1208880022866,17394424483,1,1,"(0.7054972648620605, 0.2858608663082123)","(0.7069757580757141, 0.31003889441490173)",1,1,2.6288604736328125,2.6350555419921875,,POINT (0.7062365114688873 0.297949880361557),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880031200,17394432817,1,1,"(0.7003533840179443, 0.28687915205955505)","(0.7020394802093506, 0.3148961365222931)",1,1,2.653106689453125,2.63818359375,Fixation,POINT (0.7011964321136475 0.3008876442909241),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880039533,17394441150,1,1,"(0.7101349234580994, 0.28105270862579346)","(0.7119885087013245, 0.29723599553108215)",1,1,2.622955322265625,2.630462646484375,Fixation,POINT (0.7110617160797119 0.2891443520784378),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880047866,17394449483,1,1,"(0.7049466967582703, 0.2883421778678894)","(0.7031151652336121, 0.3084494471549988)",1,1,2.622650146484375,2.630722045898437,Fixation,POINT (0.7040309309959412 0.2983958125114441),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880056200,17394457817,1,1,"(0.710396945476532, 0.2874065935611725)","(0.7109399437904358, 0.30985233187675476)",1,1,2.6269073486328125,2.613388061523437,Fixation,POINT (0.7106684446334839 0.2986294627189636),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880064533,17394466150,1,1,"(0.7051386833190918, 0.2860822379589081)","(0.7005499005317688, 0.3064359128475189)",1,1,2.62646484375,2.6396484375,Fixation,POINT (0.7028442919254303 0.2962590754032135),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880072866,17394474483,1,1,"(0.710680365562439, 0.27821147441864014)","(0.7113915085792542, 0.29779043793678284)",1,1,2.614776611328125,2.6209716796875,Fixation,POINT (0.7110359370708466 0.2880009561777115),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880081200,17394482817,1,1,"(0.7108261585235596, 0.2815767228603363)","(0.7092990279197693, 0.3108817934989929)",1,1,2.6475067138671875,2.6230010986328125,Fixation,POINT (0.7100625932216644 0.2962292581796646),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880089534,17394491151,1,1,"(0.7094415426254272, 0.28594619035720825)","(0.7073734402656555, 0.30646541714668274)",1,1,2.64825439453125,2.612945556640625,Fixation,POINT (0.7084074914455414 0.2962058037519455),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880097867,17394499484,1,1,"(0.711326003074646, 0.27859002351760864)","(0.7061358094215393, 0.2969699203968048)",1,1,2.639389038085937,2.6074371337890625,Fixation,POINT (0.7087309062480927 0.2877799719572067),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880106201,17394507818,1,1,"(0.7123156785964966, 0.28713712096214294)","(0.7077227234840393, 0.3070776164531708)",1,1,2.64349365234375,2.61724853515625,Fixation,POINT (0.7100192010402679 0.2971073687076569),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880114534,17394516151,1,1,"(0.7022935748100281, 0.2787320613861084)","(0.7078617811203003, 0.3052767515182495)",1,1,2.632904052734375,2.6099395751953125,Fixation,POINT (0.7050776779651642 0.292004406452179),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880122867,17394524484,1,1,"(0.7069315910339355, 0.30208584666252136)","(0.6987236738204956, 0.31189098954200745)",1,1,2.6587371826171875,2.596435546875,Fixation,POINT (0.7028276324272156 0.3069884181022644),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880131201,17394532818,1,1,"(0.7064908742904663, 0.2775753438472748)","(0.710021436214447, 0.30799826979637146)",1,1,2.621856689453125,2.6054229736328125,Fixation,POINT (0.7082561552524567 0.2927868068218231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880139534,17394541151,1,1,"(0.6996508836746216, 0.2958572208881378)","(0.7053379416465759, 0.30652856826782227)",1,1,2.6515655517578125,2.5954742431640625,Fixation,POINT (0.7024944126605988 0.30119289457798),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880147867,17394549484,1,1,"(0.7064787745475769, 0.28588250279426575)","(0.6992418169975281, 0.3068845868110657)",1,1,2.6204376220703125,2.5939483642578125,Fixation,POINT (0.7028602957725525 0.2963835448026657),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880156201,17394557818,1,1,"(0.7060232758522034, 0.29403960704803467)","(0.7085760235786438, 0.30634430050849915)",1,1,2.63824462890625,2.5764923095703125,Fixation,POINT (0.7072996497154236 0.3001919537782669),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880164534,17394566151,1,1,"(0.705586314201355, 0.2955843508243561)","(0.701581597328186, 0.3099328875541687)",1,1,2.645751953125,2.60040283203125,Fixation,POINT (0.7035839557647705 0.3027586191892624),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880172867,17394574484,1,1,"(0.7101633548736572, 0.2890234887599945)","(0.7019255757331848, 0.3079441785812378)",1,1,2.62896728515625,2.5689697265625,Fixation,POINT (0.706044465303421 0.2984838336706162),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880181201,17394582818,1,1,"(0.7051713466644287, 0.29716646671295166)","(0.7044527530670166, 0.30065152049064636)",1,1,2.60101318359375,2.5848541259765625,Fixation,POINT (0.7048120498657227 0.298908993601799),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880189534,17394591151,1,1,"(0.7055157423019409, 0.27373015880584717)","(0.7083538770675659, 0.3049585819244385)",1,1,2.6084136962890625,2.57672119140625,Fixation,POINT (0.7069348096847534 0.2893443703651428),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880197867,17394599484,1,1,"(0.7087198495864868, 0.28340256214141846)","(0.7048925161361694, 0.3113815486431122)",1,1,2.6257476806640625,2.58111572265625,Fixation,POINT (0.7068061828613281 0.2973920553922653),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880206201,17394607818,1,1,"(0.7075937390327454, 0.2846181392669678)","(0.6992710828781128, 0.30045393109321594)",1,1,2.625228881835937,2.56640625,Fixation,POINT (0.7034324109554291 0.2925360351800919),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880214537,17394616154,1,1,"(0.7040448188781738, 0.28439974784851074)","(0.7035244703292847, 0.30875763297080994)",1,1,2.6246337890625,2.56488037109375,Fixation,POINT (0.7037846446037292 0.2965786904096603),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880222870,17394624487,1,1,"(0.705868124961853, 0.28767016530036926)","(0.7109687328338623, 0.29852378368377686)",1,1,2.610382080078125,2.5428009033203125,Fixation,POINT (0.7084184288978577 0.2930969744920731),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880231204,17394632821,1,1,"(0.7083513140678406, 0.2890391945838928)","(0.7051010131835938, 0.3003436028957367)",1,1,2.6139068603515625,2.544586181640625,Fixation,POINT (0.7067261636257172 0.2946913987398148),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880239537,17394641154,1,1,"(0.7021727561950684, 0.28231915831565857)","(0.6997698545455933, 0.29893219470977783)",1,1,2.603012084960937,2.561798095703125,Fixation,POINT (0.7009713053703308 0.2906256765127182),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880247871,17394649488,1,1,"(0.7061029672622681, 0.2957925498485565)","(0.7114289402961731, 0.3143145442008972)",1,1,2.601043701171875,2.518280029296875,Fixation,POINT (0.7087659537792206 0.3050535470247269),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880256206,17394657822,1,1,"(0.7085387706756592, 0.28940147161483765)","(0.7036003470420837, 0.2974906861782074)",1,1,2.60516357421875,2.5341339111328125,Fixation,POINT (0.7060695588588715 0.2934460788965225),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880264539,17394666155,1,1,"(0.7131510376930237, 0.288156658411026)","(0.707480251789093, 0.294312983751297)",1,1,2.6014862060546875,2.53839111328125,Fixation,POINT (0.7103156447410583 0.2912348210811615),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880272872,17394674488,1,1,"(0.7047628164291382, 0.27691933512687683)","(0.7075332999229431, 0.29197949171066284)",1,1,2.567596435546875,2.536163330078125,Fixation,POINT (0.7061480581760406 0.2844494134187698),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880281206,17394682822,1,1,"(0.7056228518486023, 0.2887720763683319)","(0.6996379494667053, 0.30070823431015015)",1,1,2.5616455078125,2.512969970703125,Fixation,POINT (0.7026304006576538 0.294740155339241),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880289539,17394691155,1,1,"(0.7116603255271912, 0.27477598190307617)","(0.7042525410652161, 0.3015786409378052)",1,1,2.5682373046875,2.5163726806640625,Fixation,POINT (0.7079564332962036 0.2881773114204407),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880297872,17394699488,1,1,"(0.7107135653495789, 0.2906169891357422)","(0.7093119025230408, 0.30589815974235535)",1,1,2.5859527587890625,2.5037384033203125,Fixation,POINT (0.7100127339363098 0.2982575744390488),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createServerChooser,35553791,1208880322872,17394724488,1,1,"(0.6789838671684265, 0.22991015017032623)","(0.674828052520752, 0.2521972358226776)",1,1,2.5290069580078125,2.4938201904296875,Fixation,POINT (0.6769059598445892 0.2410536929965019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880331206,17394732822,1,1,"(0.6776134371757507, 0.24438822269439697)","(0.6789136528968811, 0.25644853711128235)",1,1,2.5545654296875,2.499252319335937,Fixation,POINT (0.6782635450363159 0.2504183799028397),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880339539,17394741155,1,1,"(0.6746424436569214, 0.2363368719816208)","(0.6785205602645874, 0.25663813948631287)",1,1,2.52252197265625,2.513702392578125,Fixation,POINT (0.6765815019607544 0.2464875057339668),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880347880,17394749496,1,1,"(0.6787509918212891, 0.22905969619750977)","(0.671580970287323, 0.25957342982292175)",1,1,2.5407867431640625,2.4937286376953125,Fixation,POINT (0.675165981054306 0.2443165630102158),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880356216,17394757832,1,1,"(0.6744672656059265, 0.23596630990505219)","(0.677592396736145, 0.26109158992767334)",1,1,2.53558349609375,2.4763336181640625,Fixation,POINT (0.6760298311710358 0.2485289499163628),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880364547,17394766163,1,1,"(0.6713613271713257, 0.23554858565330505)","(0.6709485054016113, 0.26349616050720215)",1,1,2.53717041015625,2.4676666259765625,Fixation,POINT (0.6711549162864685 0.2495223730802536),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880372882,17394774498,1,1,"(0.6767519116401672, 0.23769976198673248)","(0.6676383018493652, 0.2638295888900757)",1,1,2.52337646484375,2.4635009765625,Fixation,POINT (0.6721951067447662 0.2507646754384041),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880381215,17394782831,1,1,"(0.6763586401939392, 0.23625196516513824)","(0.672761857509613, 0.2593592405319214)",1,1,2.526214599609375,2.4833526611328125,Fixation,POINT (0.6745602488517761 0.2478056028485298),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880389549,17394791165,1,1,"(0.6724476218223572, 0.2452573925256729)","(0.6755486726760864, 0.2584735155105591)",1,1,2.528076171875,2.458740234375,Fixation,POINT (0.6739981472492218 0.251865454018116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880397882,17394799498,1,1,"(0.6767390966415405, 0.24263234436511993)","(0.6694146394729614, 0.26721712946891785)",1,1,2.504501342773437,2.467437744140625,Fixation,POINT (0.673076868057251 0.2549247369170189),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880406215,17394807831,1,1,"(0.6786994338035583, 0.23577800393104553)","(0.6772959232330322, 0.2525865435600281)",1,1,2.5125274658203125,2.488754272460937,Fixation,POINT (0.6779976785182953 0.2441822737455368),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880414549,17394816165,1,1,"(0.674001932144165, 0.24610145390033722)","(0.6718207001686096, 0.2640073299407959)",1,1,2.518218994140625,2.467147827148437,Fixation,POINT (0.6729113161563873 0.2550543919205666),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880422882,17394824498,1,1,"(0.6759400963783264, 0.23861894011497498)","(0.679440975189209, 0.26006484031677246)",1,1,2.501708984375,2.47528076171875,Fixation,POINT (0.6776905357837677 0.2493418902158737),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880431216,17394832832,1,1,"(0.6800097823143005, 0.23370897769927979)","(0.6792863607406616, 0.25655031204223633)",1,1,2.4827117919921875,2.455917358398437,Fixation,POINT (0.6796480715274811 0.2451296448707581),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880439549,17394841165,1,1,"(0.6751886010169983, 0.24486103653907776)","(0.6753143668174744, 0.2628767192363739)",1,1,2.495758056640625,2.4674072265625,Fixation,POINT (0.6752514839172363 0.2538688778877258),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880447882,17394849498,1,1,"(0.6779201030731201, 0.2398882359266281)","(0.6718519330024719, 0.26700201630592346)",1,1,2.486175537109375,2.4628448486328125,Fixation,POINT (0.674886018037796 0.2534451261162758),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880456215,17394857831,1,1,"(0.674645185470581, 0.23161110281944275)","(0.6775109767913818, 0.24782636761665344)",1,1,2.4990234375,2.47076416015625,Fixation,POINT (0.6760780811309814 0.2397187352180481),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880464549,17394866165,1,1,"(0.6724098324775696, 0.2478540688753128)","(0.6748204231262207, 0.25934740900993347)",1,1,2.4744873046875,2.457260131835937,Fixation,POINT (0.6736151278018951 0.2536007389426231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880481219,17394882835,1,1,"(0.6558642387390137, 0.23546957969665527)","(0.6564188003540039, 0.2615712285041809)",1,1,2.475494384765625,2.4669647216796875,Fixation,POINT (0.6561415195465088 0.2485204041004181),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880489553,17394891169,1,1,"(0.6633057594299316, 0.22659824788570404)","(0.6563891172409058, 0.2571471035480499)",1,1,2.4735870361328125,2.448150634765625,Fixation,POINT (0.6598474383354187 0.241872675716877),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880497888,17394899504,1,1,"(0.6605429649353027, 0.24089370667934418)","(0.6597851514816284, 0.263315886259079)",1,1,2.4684600830078125,2.4324493408203125,Fixation,POINT (0.6601640582084656 0.2521047964692116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880506219,17394907835,1,1,"(0.6614162921905518, 0.23359645903110504)","(0.6569274067878723, 0.2511231601238251)",1,1,2.4655914306640625,2.446868896484375,Fixation,POINT (0.659171849489212 0.2423598095774651),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880514555,17394916171,1,1,"(0.6565592288970947, 0.24216482043266296)","(0.6532034277915955, 0.2628626227378845)",1,1,2.4855194091796875,2.424774169921875,Fixation,POINT (0.6548813283443451 0.2525137215852737),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createServerChooser,35553791,1208880522888,17394924504,1,1,"(0.6538379192352295, 0.2391922026872635)","(0.6532095074653625, 0.2540522813796997)",1,1,2.4656219482421875,2.424407958984375,Fixation,POINT (0.653523713350296 0.2466222420334816),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
