,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,Command.0,getBackCommand12.0,if.0,backCommand12.0,==.0,nan.0,//GEN-END: |264-getter|0|264-preInit.200,// write pre-init user code here.201,backCommand12.1,=.0,new.0,Command.1,"""OK"".0",Command.2,BACK.0,0.0,//GEN-LINE: | 264-getter | 1 | 264-postInit.202,// write post-init user code here.203,//GEN-BEGIN: | 264-getter | 2 |.204,return.0,backCommand12.2,prewritten,accurate,missing,unnecessary,readable,code
0,136,getBackCommand12,40865383,1209537356381,18051755799,1,1,"(0.1846979856491089, 0.12573513388633728)","(0.19536854326725006, 0.18104508519172668)",1,1,2.827850341796875,2.830841064453125,,POINT (0.1900332644581795 0.153390109539032),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537364715,18051764133,1,1,"(0.18400441110134125, 0.11529988795518875)","(0.18942421674728394, 0.16323357820510864)",1,1,2.7969512939453125,2.844223022460937,Fixation,POINT (0.1867143139243126 0.1392667330801487),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537373055,18051772467,1,1,"(0.18588614463806152, 0.12191680073738098)","(0.19004352390766144, 0.1640971601009369)",1,1,2.8177642822265625,2.864013671875,Fixation,POINT (0.1879648342728615 0.1430069804191589),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537381396,18051780800,1,1,"(0.18100763857364655, 0.12178190797567368)","(0.1841682493686676, 0.15916037559509277)",1,1,2.8357086181640625,2.8582000732421875,Fixation,POINT (0.1825879439711571 0.1404711417853832),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537389737,18051789133,1,1,"(0.18299859762191772, 0.12699207663536072)","(0.1860474944114685, 0.15810959041118622)",1,1,2.839324951171875,2.8308868408203125,Fixation,POINT (0.1845230460166931 0.1425508335232735),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537398079,18051797467,1,1,"(0.18393705785274506, 0.12507319450378418)","(0.18439556658267975, 0.15618669986724854)",1,1,2.8174591064453125,2.854461669921875,Fixation,POINT (0.1841663122177124 0.1406299471855164),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537406420,18051805799,1,1,"(0.18365655839443207, 0.12521885335445404)","(0.18730808794498444, 0.15476208925247192)",1,1,2.8357391357421875,2.8385162353515625,Fixation,POINT (0.1854823231697082 0.139990471303463),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537414764,18051814133,1,1,"(0.18391850590705872, 0.12831547856330872)","(0.18634162843227386, 0.15233640372753143)",1,1,2.82379150390625,2.824554443359375,Fixation,POINT (0.1851300671696663 0.1403259411454201),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537423099,18051822466,1,1,"(0.17919281125068665, 0.129115492105484)","(0.18492232263088226, 0.1647014319896698)",1,1,2.811676025390625,2.8429107666015625,Fixation,POINT (0.1820575669407844 0.1469084620475769),,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537431433,18051830799,1,1,"(0.18038766086101532, 0.13632605969905853)","(0.18715620040893555, 0.16154290735721588)",1,1,2.815093994140625,2.8331298828125,Fixation,POINT (0.1837719306349754 0.1489344835281372),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537439773,18051839138,1,1,"(0.18081070482730865, 0.13184481859207153)","(0.18560580909252167, 0.1626359522342682)",1,1,2.8204803466796875,2.82879638671875,Fixation,POINT (0.1832082569599152 0.1472403854131699),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
