,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,List.0,getCollaborateCollection.0,String.1,userID.0,throws.0,AccessException.0,logger.0,debug.0,"""entering getCollaborateCollection()"".100",String.2,query.0,=.0,"""SELECT collection. PID PID collection. TITLE TITLE, "".101",+.0,""" collectionrole. ROLE ROLE FROM collectionrole collection WHERE "".102",+.1,""" collectionrole. USERID = "".103",+.2,userID.1,+.3,"""'"".0",+.4,""" AND collectionrole. COLLECTIONPID = collection. PID"".104",+.5,""" AND collection. ROOT = '1'"".105",List.1,list.0,=.1,buildResult.0,query.1,return.0,list.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,getCollaborateCollection,250694,1209092747597,17607148565,1,1,"(0.8338919878005981, 0.42468520998954773)","(0.8257995247840881, 0.41775834560394287)",1,1,2.288436889648437,2.3029327392578125,,POINT (0.8298457562923431 0.4212217777967453),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getCollaborateCollection,250694,1209092755931,17607156899,1,1,"(0.845641016960144, 0.43810799717903137)","(0.8228873610496521, 0.41385647654533386)",1,1,2.273345947265625,2.2872314453125,Fixation,POINT (0.8342641890048981 0.4259822368621826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getCollaborateCollection,250694,1209092764264,17607165232,1,1,"(0.8228800296783447, 0.44269484281539917)","(0.8262494206428528, 0.4188188314437866)",1,1,2.2977752685546875,2.301025390625,Fixation,POINT (0.8245647251605988 0.4307568371295929),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getCollaborateCollection,250694,1209092772598,17607173566,1,1,"(0.8232604265213013, 0.4374768137931824)","(0.8202890157699585, 0.41050985455513)",1,1,2.288314819335937,2.310150146484375,Fixation,POINT (0.8217747211456299 0.4239933341741562),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getCollaborateCollection,250694,1209092780931,17607181899,1,1,"(0.8302823901176453, 0.45528921484947205)","(0.8216871619224548, 0.41730186343193054)",1,1,2.3242645263671875,2.337753295898437,Fixation,POINT (0.82598477602005 0.4362955391407013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getCollaborateCollection,250694,1209092789264,17607190232,1,1,"(0.8120227456092834, 0.4274761974811554)","(0.8250473141670227, 0.41392749547958374)",1,1,2.257568359375,2.313690185546875,Fixation,POINT (0.8185350298881531 0.4207018464803696),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getCollaborateCollection,250694,1209092797597,17607198565,1,1,"(0.8140980005264282, 0.44315487146377563)","(0.825714111328125, 0.4133586287498474)",1,1,2.2902374267578125,2.3103179931640625,Fixation,POINT (0.8199060559272766 0.4282567501068115),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getCollaborateCollection,250694,1209092805931,17607206899,1,1,"(0.8296616673469543, 0.4263887107372284)","(0.8280702829360962, 0.42020341753959656)",1,1,2.337997436523437,2.3216094970703125,Fixation,POINT (0.8288659751415253 0.4232960641384125),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getCollaborateCollection,250694,1209092814263,17607215231,1,1,"(0.825958788394928, 0.4333629608154297)","(0.8260797262191772, 0.4179632365703583)",1,1,2.321502685546875,2.3239898681640625,Fixation,POINT (0.8260192573070526 0.425663098692894),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getCollaborateCollection,250694,1209092822600,17607223568,1,1,"(0.827486515045166, 0.43837955594062805)","(0.8257827758789062, 0.42020806670188904)",1,1,2.323883056640625,2.3246612548828125,Fixation,POINT (0.8266346454620361 0.4292938113212585),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getCollaborateCollection,250694,1209092830933,17607231901,1,1,"(0.8204929828643799, 0.44282838702201843)","(0.8318368792533875, 0.41155901551246643)",1,1,2.30029296875,2.3167266845703125,Fixation,POINT (0.8261649310588837 0.4271937012672424),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getCollaborateCollection,250694,1209092839266,17607240234,1,1,"(0.8254247307777405, 0.43042105436325073)","(0.8305282592773438, 0.41399797797203064)",1,1,2.2943878173828125,2.2886199951171875,Fixation,POINT (0.8279764950275421 0.4222095161676407),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getCollaborateCollection,250694,1209092847600,17607248568,1,1,"(0.8188571929931641, 0.428298681974411)","(0.8207641839981079, 0.4183734357357025)",1,1,2.286605834960937,2.3043365478515625,Fixation,POINT (0.819810688495636 0.4233360588550568),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getCollaborateCollection,250694,1209092855941,17607256909,1,1,"(0.8215013742446899, 0.4349231719970703)","(0.8234944939613342, 0.42356106638908386)",1,1,2.287933349609375,2.2782135009765625,Fixation,POINT (0.8224979341030121 0.4292421191930771),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getCollaborateCollection,250694,1209092864275,17607265243,1,1,"(0.8219578862190247, 0.42431455850601196)","(0.8265441656112671, 0.4289640188217163)",1,1,2.29742431640625,2.3002471923828125,Fixation,POINT (0.8242510259151459 0.4266392886638641),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getCollaborateCollection,250694,1209092872608,17607273576,1,1,"(0.8197460770606995, 0.42260491847991943)","(0.8262207508087158, 0.42722102999687195)",1,1,2.3123779296875,2.281463623046875,Fixation,POINT (0.8229834139347076 0.4249129742383957),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getCollaborateCollection,250694,1209092880941,17607281909,1,1,"(0.815064013004303, 0.44712385535240173)","(0.822502076625824, 0.42522692680358887)",1,1,2.3200836181640625,2.278076171875,Fixation,POINT (0.8187830448150635 0.4361753910779953),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getCollaborateCollection,250694,1209092889275,17607290243,1,1,"(0.8223426342010498, 0.4256380796432495)","(0.8241754770278931, 0.42940255999565125)",1,1,2.265487670898437,2.2844390869140625,Fixation,POINT (0.8232590556144714 0.4275203198194504),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getCollaborateCollection,250694,1209092897608,17607298576,1,1,"(0.8189770579338074, 0.4400702714920044)","(0.8245101571083069, 0.4238918125629425)",1,1,2.333038330078125,2.2728729248046875,Fixation,POINT (0.8217436075210571 0.4319810420274734),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getCollaborateCollection,250694,1209092905941,17607306909,1,1,"(0.8204056024551392, 0.4374218285083771)","(0.8253820538520813, 0.4227948784828186)",1,1,2.3419342041015625,2.303985595703125,Fixation,POINT (0.8228938281536102 0.4301083534955978),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
