,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,WordFormGenerator.0,getFastestGenerator.0,final.0,Locale.0,locale.0,throws.0,MorphologyException.0,if.0,locale.1,==.0,nan.0,throw.0,new.0,IllegalArgumentException.0,"""The 'loc' argument cannot be nan "".100",WordFormGenerator.1,component.0,=.0,WordFormGenerator.2,fastestGenerators.0,get.0,locale.2,if.1,component.1,==.1,nan.1,throw.1,new.1,MorphologyException.1,"""Cannot find generator for locales : "".101",+.0,locale.3,toString.0,return.0,component.2,prewritten,accurate,missing,unnecessary,readable,code
0,136,getFastestGenerator,34609355,1209921754630,18436152511,1,1,"(0.8054224848747253, 0.6546421051025391)","(0.8552097082138062, 0.7174777388572693)",1,1,2.585845947265625,2.6057891845703125,,POINT (0.8303160965442657 0.6860599219799042),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,136,getFastestGenerator,34609355,1209921796296,18436194177,1,1,"(0.6985400319099426, 0.3793225884437561)","(0.7184075117111206, 0.4197434186935425)",1,1,2.491485595703125,2.48565673828125,Fixation,POINT (0.7084737718105316 0.3995330035686493),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getFastestGenerator,34609355,1209921804631,18436202512,1,1,"(0.6943873167037964, 0.3807430863380432)","(0.7141712307929993, 0.4345909357070923)",1,1,2.4796905517578125,2.4806671142578125,Fixation,POINT (0.7042792737483978 0.4076670110225678),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getFastestGenerator,34609355,1209921812963,18436210844,1,1,"(0.6982728838920593, 0.39085716009140015)","(0.7097685933113098, 0.4443976581096649)",1,1,2.5159454345703125,2.4775848388671875,Fixation,POINT (0.7040207386016846 0.4176274091005325),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getFastestGenerator,34609355,1209921821297,18436219178,1,1,"(0.6985496282577515, 0.3893240988254547)","(0.7060245871543884, 0.45989105105400085)",1,1,2.4888458251953125,2.5039825439453125,Fixation,POINT (0.70228710770607 0.4246075749397278),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getFastestGenerator,34609355,1209921829630,18436227511,1,1,"(0.6988623738288879, 0.38971230387687683)","(0.705477237701416, 0.4474971890449524)",1,1,2.48822021484375,2.470443725585937,Fixation,POINT (0.702169805765152 0.4186047464609146),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getFastestGenerator,34609355,1209921837963,18436235844,1,1,"(0.6960058808326721, 0.3980235159397125)","(0.7012903690338135, 0.4420035779476166)",1,1,2.500961303710937,2.47442626953125,Fixation,POINT (0.6986481249332428 0.4200135469436646),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getFastestGenerator,34609355,1209921846298,18436244178,1,1,"(0.6981697678565979, 0.39107266068458557)","(0.6994484066963196, 0.43955400586128235)",1,1,2.503204345703125,2.4818878173828125,Fixation,POINT (0.6988090872764587 0.415313333272934),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getFastestGenerator,34609355,1209921854631,18436252511,1,1,"(0.7010097503662109, 0.3929273784160614)","(0.6999333500862122, 0.4450991749763489)",1,1,2.4813232421875,2.4947052001953125,Fixation,POINT (0.7004715502262115 0.4190132766962051),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getFastestGenerator,34609355,1209921862964,18436260844,1,1,"(0.6999804377555847, 0.39238834381103516)","(0.7026514410972595, 0.44835638999938965)",1,1,2.494369506835937,2.4772491455078125,Fixation,POINT (0.7013159394264221 0.4203723669052124),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
