,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,Collection.0,getInstitutions.0,try.0,if.0,iInstitutions.0,==.0,nan.0,refreshInstitutions.0,logger.0,debug.0,"""Institutions were nan while getting them Attempting to refresh "".100",return.0,iInstitutions.1,catch.0,Exception.0,e.0,logger.1,warn.0,e.1,getMessage.0,e.2,return.1,Collections.0,EMPTY_LIST.0,prewritten,accurate,missing,unnecessary,readable,code
0,136,getInstitutions,19280843,1209663711316,18178110201,1,1,"(0.32836246490478516, 0.18184709548950195)","(0.34492212533950806, 0.21822090446949005)",1,1,2.775619506835937,2.7310943603515625,,POINT (0.3366422951221466 0.200033999979496),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663719650,18178118534,1,1,"(0.3261556625366211, 0.18479794263839722)","(0.3338383138179779, 0.21103554964065552)",1,1,2.766845703125,2.733612060546875,Fixation,POINT (0.3299969881772995 0.1979167461395264),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663727984,18178126868,1,1,"(0.3279609978199005, 0.193040132522583)","(0.33336642384529114, 0.218068465590477)",1,1,2.7747344970703125,2.738494873046875,Fixation,POINT (0.3306637108325958 0.20555429905653),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663736317,18178135201,1,1,"(0.32839587330818176, 0.1894066482782364)","(0.3360481262207031, 0.21229229867458344)",1,1,2.785797119140625,2.732696533203125,Fixation,POINT (0.3322219997644424 0.2008494734764099),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663744650,18178143534,1,1,"(0.32409217953681946, 0.18286649882793427)","(0.32983332872390747, 0.2200465351343155)",1,1,2.75177001953125,2.73809814453125,Fixation,POINT (0.3269627541303635 0.2014565169811249),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663752984,18178151868,1,1,"(0.3254411816596985, 0.19178611040115356)","(0.3307821750640869, 0.2182760089635849)",1,1,2.75518798828125,2.73486328125,Fixation,POINT (0.3281116783618927 0.2050310596823692),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663761317,18178160201,1,1,"(0.3300829231739044, 0.18843892216682434)","(0.33107200264930725, 0.21125631034374237)",1,1,2.75396728515625,2.73699951171875,Fixation,POINT (0.3305774629116058 0.1998476162552834),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663769650,18178168534,1,1,"(0.32522448897361755, 0.19245238602161407)","(0.32665470242500305, 0.22041071951389313)",1,1,2.7666015625,2.751373291015625,Fixation,POINT (0.3259395956993103 0.2064315527677536),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663777983,18178176867,1,1,"(0.3266252875328064, 0.19774910807609558)","(0.3263395428657532, 0.22099067270755768)",1,1,2.7752227783203125,2.7569732666015625,Fixation,POINT (0.3264824151992798 0.2093698903918266),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663786316,18178185200,1,1,"(0.3262850344181061, 0.18969108164310455)","(0.3246806263923645, 0.21431706845760345)",1,1,2.7620391845703125,2.7495269775390625,Fixation,POINT (0.3254828304052353 0.202004075050354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663794655,18178193539,1,1,"(0.32414159178733826, 0.17791485786437988)","(0.3251360058784485, 0.2080216258764267)",1,1,2.7489471435546875,2.7521209716796875,Fixation,POINT (0.3246387988328934 0.1929682418704033),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663802989,18178201873,1,1,"(0.3267693817615509, 0.19242385029792786)","(0.32638368010520935, 0.19994522631168365)",1,1,2.7497711181640625,2.718597412109375,Fixation,POINT (0.3265765309333801 0.1961845383048058),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663811322,18178210206,1,1,"(0.3270809054374695, 0.19734562933444977)","(0.3279469609260559, 0.20012860000133514)",1,1,2.759796142578125,2.7311553955078125,Fixation,POINT (0.3275139331817627 0.1987371146678925),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663819653,18178218537,1,1,"(0.3260047137737274, 0.18927760422229767)","(0.32351645827293396, 0.20324525237083435)",1,1,2.7605438232421875,2.7391510009765625,Fixation,POINT (0.3247605860233307 0.196261428296566),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663827987,18178226871,1,1,"(0.32326069474220276, 0.19627252221107483)","(0.3243545889854431, 0.20535637438297272)",1,1,2.766220092773437,2.7430572509765625,Fixation,POINT (0.3238076418638229 0.2008144482970238),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663836320,18178235204,1,1,"(0.3281729817390442, 0.19401773810386658)","(0.3237147331237793, 0.2089734971523285)",1,1,2.745819091796875,2.749008178710937,Fixation,POINT (0.3259438574314117 0.2014956176280975),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663844653,18178243537,1,1,"(0.32530224323272705, 0.2024240791797638)","(0.3235178291797638, 0.2007235884666443)",1,1,2.7679901123046875,2.734283447265625,Fixation,POINT (0.3244100362062454 0.201573833823204),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663852987,18178251871,1,1,"(0.3220057189464569, 0.18899764120578766)","(0.3266521990299225, 0.20579315721988678)",1,1,2.7429962158203125,2.7371368408203125,Fixation,POINT (0.3243289589881897 0.1973953992128372),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663861320,18178260204,1,1,"(0.3245856463909149, 0.19061589241027832)","(0.32498106360435486, 0.21215102076530457)",1,1,2.72418212890625,2.7449493408203125,Fixation,POINT (0.3247833549976349 0.2013834565877914),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663869653,18178268537,1,1,"(0.32359200716018677, 0.19698213040828705)","(0.32610273361206055, 0.1923229694366455)",1,1,2.740219116210937,2.726593017578125,Fixation,POINT (0.3248473703861237 0.1946525499224663),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663877987,18178276871,1,1,"(0.32295113801956177, 0.19619934260845184)","(0.32317355275154114, 0.20326854288578033)",1,1,2.740203857421875,2.7168121337890625,Fixation,POINT (0.3230623453855514 0.1997339427471161),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663886320,18178285204,1,1,"(0.3256705403327942, 0.19724495708942413)","(0.3231535851955414, 0.20429910719394684)",1,1,2.724761962890625,2.718490600585937,Fixation,POINT (0.3244120627641678 0.2007720321416855),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663894653,18178293537,1,1,"(0.32486653327941895, 0.19930005073547363)","(0.32556799054145813, 0.1999855786561966)",1,1,2.75042724609375,2.713729858398437,Fixation,POINT (0.3252172619104385 0.1996428146958351),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663902986,18178301870,1,1,"(0.3239119052886963, 0.19762493669986725)","(0.3211778402328491, 0.20693059265613556)",1,1,2.72308349609375,2.719512939453125,Fixation,POINT (0.3225448727607727 0.2022777646780014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getInstitutions,19280843,1209663911319,18178310203,1,1,"(0.323203980922699, 0.19196495413780212)","(0.3222024440765381, 0.2060343623161316)",1,1,2.721954345703125,2.70709228515625,Fixation,POINT (0.3227032124996185 0.1989996582269669),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
