,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,String.0,getMessage.0,StringBuffer.0,sb.0,=.0,new.0,StringBuffer.1,if.0,messages.0,!=.0,nan.0,for.0,int.0,i.0,=.1,0.0,i.1,<.0,messages.1,size.0,i.2,Object.0,o.0,=.2,messages.2,elementAt.0,i.3,if.1,o.1,!=.1,nan.1,sb.1,append.0,o.2,toString.0,sb.2,append.1,"""|n"".0",return.0,sb.3,toString.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,getMessage,51122387,1208990085373,17504486655,1,1,"(0.6186259388923645, 0.30628374218940735)","(0.6630778312683105, 0.38073259592056274)",1,1,2.5367431640625,2.5222930908203125,,POINT (0.6408518850803375 0.343508169054985),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990118708,17504519990,1,1,"(0.53221595287323, 0.12994125485420227)","(0.5547640919685364, 0.17953601479530334)",1,1,2.5216522216796875,2.665069580078125,Fixation,POINT (0.5434900224208832 0.1547386348247528),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1208990127041,17504528323,1,1,"(0.5354862809181213, 0.1447368860244751)","(0.5563220381736755, 0.16356277465820312)",1,1,2.5333709716796875,2.68304443359375,Fixation,POINT (0.5459041595458984 0.1541498303413391),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1208990135375,17504536657,1,1,"(0.535736620426178, 0.14996585249900818)","(0.5558419823646545, 0.18322321772575378)",1,1,2.530258178710937,2.6636505126953125,Fixation,POINT (0.5457893013954163 0.166594535112381),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990143708,17504544990,1,1,"(0.5398094058036804, 0.14934693276882172)","(0.5530057549476624, 0.1841280162334442)",1,1,2.523712158203125,2.65869140625,Fixation,POINT (0.5464075803756714 0.166737474501133),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990152042,17504553324,1,1,"(0.5437870025634766, 0.14650149643421173)","(0.5516517162322998, 0.18603338301181793)",1,1,2.5294189453125,2.634735107421875,Fixation,POINT (0.5477193593978882 0.1662674397230148),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990160375,17504561657,1,1,"(0.5384505987167358, 0.1481681764125824)","(0.5485212206840515, 0.1887163370847702)",1,1,2.507598876953125,2.6171875,Fixation,POINT (0.5434859097003937 0.1684422567486763),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1208990168708,17504569990,1,1,"(0.5398203134536743, 0.14947509765625)","(0.5439274907112122, 0.1922101378440857)",1,1,2.5012664794921875,2.6352081298828125,Fixation,POINT (0.5418739020824432 0.1708426177501678),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1208990177042,17504578324,1,1,"(0.5393874645233154, 0.1528947502374649)","(0.5434630513191223, 0.19125376641750336)",1,1,2.526824951171875,2.624359130859375,Fixation,POINT (0.5414252579212189 0.1720742583274841),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1208990185377,17504586658,1,1,"(0.540277361869812, 0.1459314376115799)","(0.5426619052886963, 0.19392327964305878)",1,1,2.5017547607421875,2.6360626220703125,Fixation,POINT (0.5414696335792542 0.1699273586273193),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1208990193710,17504594991,1,1,"(0.5373017191886902, 0.14916583895683289)","(0.5424033999443054, 0.1924789547920227)",1,1,2.4697723388671875,2.5990142822265625,Fixation,POINT (0.5398525595664978 0.1708223968744278),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1208990202044,17504603325,1,1,"(0.5354732871055603, 0.1563739776611328)","(0.542026162147522, 0.19521218538284302)",1,1,2.4897613525390625,2.61737060546875,Fixation,POINT (0.5387497246265411 0.1757930815219879),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1208990210377,17504611658,1,1,"(0.5368532538414001, 0.1618361920118332)","(0.5411139726638794, 0.19065164029598236)",1,1,2.490829467773437,2.6074676513671875,Fixation,POINT (0.5389836132526398 0.1762439161539078),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990218710,17504619991,1,1,"(0.5363269448280334, 0.168254554271698)","(0.5405595898628235, 0.19053392112255096)",1,1,2.4849090576171875,2.6063690185546875,Fixation,POINT (0.5384432673454285 0.1793942376971245),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990227043,17504628324,1,1,"(0.5341734290122986, 0.17277613282203674)","(0.5378252267837524, 0.1949150264263153)",1,1,2.4603424072265625,2.6092681884765625,Fixation,POINT (0.5359993278980255 0.183845579624176),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990235377,17504636658,1,1,"(0.5351319313049316, 0.19081726670265198)","(0.537286639213562, 0.19766630232334137)",1,1,2.457855224609375,2.592010498046875,Fixation,POINT (0.5362092852592468 0.1942417845129967),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990243710,17504644991,1,1,"(0.5365051627159119, 0.17228899896144867)","(0.5388275980949402, 0.19649887084960938)",1,1,2.476898193359375,2.61602783203125,Fixation,POINT (0.537666380405426 0.184393934905529),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990252043,17504653324,1,1,"(0.5380123853683472, 0.18102341890335083)","(0.5343351364135742, 0.19423313438892365)",1,1,2.469573974609375,2.5841217041015625,Fixation,POINT (0.5361737608909607 0.1876282766461372),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990260377,17504661658,1,1,"(0.5379756689071655, 0.18610307574272156)","(0.5341273546218872, 0.19907569885253906)",1,1,2.516204833984375,2.59613037109375,Fixation,POINT (0.5360515117645264 0.1925893872976303),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990268710,17504669991,1,1,"(0.536157488822937, 0.1886686384677887)","(0.5372618436813354, 0.19847604632377625)",1,1,2.4845733642578125,2.5850830078125,Fixation,POINT (0.5367096662521362 0.1935723423957825),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990277044,17504678325,1,1,"(0.5379924774169922, 0.18289721012115479)","(0.5413326025009155, 0.19149768352508545)",1,1,2.498687744140625,2.5767059326171875,Fixation,POINT (0.5396625399589539 0.1871974468231201),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990285377,17504686658,1,1,"(0.5374753475189209, 0.17984405159950256)","(0.5399038791656494, 0.19143810868263245)",1,1,2.4978790283203125,2.572113037109375,Fixation,POINT (0.5386896133422852 0.1856410801410675),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990293710,17504694991,1,1,"(0.5405510067939758, 0.17691022157669067)","(0.5418816208839417, 0.1948375552892685)",1,1,2.476303100585937,2.5836181640625,Fixation,POINT (0.5412163138389587 0.1858738884329796),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990302043,17504703324,1,1,"(0.5388144254684448, 0.18015751242637634)","(0.5402489304542542, 0.1847682148218155)",1,1,2.48309326171875,2.583740234375,Fixation,POINT (0.5395316779613495 0.1824628636240959),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990310377,17504711658,1,1,"(0.5395808219909668, 0.179753839969635)","(0.5384141206741333, 0.18664754927158356)",1,1,2.4862518310546875,2.5690460205078125,Fixation,POINT (0.53899747133255 0.1832006946206093),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990318710,17504719991,1,1,"(0.541515052318573, 0.18614473938941956)","(0.535309910774231, 0.19803990423679352)",1,1,2.469955444335937,2.570648193359375,Fixation,POINT (0.538412481546402 0.1920923218131065),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990327049,17504728330,1,1,"(0.5418812036514282, 0.18316896259784698)","(0.5359197854995728, 0.19287839531898499)",1,1,2.482086181640625,2.5584259033203125,Fixation,POINT (0.5389004945755005 0.188023678958416),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990335383,17504736664,1,1,"(0.5379529595375061, 0.18513408303260803)","(0.5382172465324402, 0.19569523632526398)",1,1,2.486434936523437,2.561981201171875,Fixation,POINT (0.5380851030349731 0.190414659678936),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990343716,17504744997,1,1,"(0.5396225452423096, 0.18249468505382538)","(0.5404222011566162, 0.19334207475185394)",1,1,2.478744506835937,2.5487823486328125,Fixation,POINT (0.5400223731994629 0.1879183799028397),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990352049,17504753330,1,1,"(0.540134608745575, 0.17870189249515533)","(0.5409975647926331, 0.2021903544664383)",1,1,2.46661376953125,2.5339508056640625,Fixation,POINT (0.540566086769104 0.1904461234807968),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990360383,17504761664,1,1,"(0.5392754077911377, 0.18532150983810425)","(0.5385513305664062, 0.19047966599464417)",1,1,2.474349975585937,2.546371459960937,Fixation,POINT (0.538913369178772 0.1879005879163742),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990368716,17504769997,1,1,"(0.5335726141929626, 0.1877356469631195)","(0.5394671559333801, 0.192064106464386)",1,1,2.447982788085937,2.53448486328125,Fixation,POINT (0.5365198850631714 0.1898998767137528),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990377049,17504778330,1,1,"(0.5398509502410889, 0.1785208135843277)","(0.5350623726844788, 0.19956818222999573)",1,1,2.48736572265625,2.5301666259765625,Fixation,POINT (0.5374566614627838 0.1890444979071617),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990385383,17504786664,1,1,"(0.5425300598144531, 0.17849960923194885)","(0.5422424077987671, 0.19705960154533386)",1,1,2.4736328125,2.54351806640625,Fixation,POINT (0.5423862338066101 0.1877796053886414),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1208990393716,17504794997,1,1,"(0.5368497967720032, 0.17290638387203217)","(0.5443787574768066, 0.19220204651355743)",1,1,2.4614410400390625,2.51214599609375,Fixation,POINT (0.5406142771244049 0.1825542151927948),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
