,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,private.0,List.0,getStatusFlagFields.0,List.1,list.0,=.0,new.0,ArrayList.0,String.0,statusFlagPath.0,=.1,"""/collectionConfigRecord/statusFlags/statusFlag/status"".0",for.0,Iterator.0,i.0,=.2,im.0,getInputFields.0,iterator.0,i.1,hasNext.0,InputField.0,field.0,=.3,InputField.1,i.2,next.0,// prtln ( field toString() );.200,if.0,field.1,getNormalizedXPath.0,startsWith.0,statusFlagPath.1,list.1,add.0,field.2,return.0,list.2,prewritten,accurate,missing,unnecessary,readable,code
0,136,getStatusFlagFields,22622479,1210042267639,18556665026,1,1,"(0.7083344459533691, 0.2770203649997711)","(0.7141212224960327, 0.2746429741382599)",1,1,2.6046142578125,2.6461944580078125,,POINT (0.7112278342247009 0.2758316695690155),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042275973,18556673360,1,1,"(0.7112932801246643, 0.2700640559196472)","(0.7067287564277649, 0.27246513962745667)",1,1,2.5949859619140625,2.625335693359375,Fixation,POINT (0.7090110182762146 0.2712645977735519),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042284306,18556681693,1,1,"(0.7057968378067017, 0.27992093563079834)","(0.7051522731781006, 0.2983427047729492)",1,1,2.6286773681640625,2.563201904296875,Fixation,POINT (0.7054745554924011 0.2891318202018738),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042292638,18556690025,1,1,"(0.7080928683280945, 0.26002272963523865)","(0.699152946472168, 0.3069913983345032)",1,1,2.60040283203125,2.582138061523437,Fixation,POINT (0.7036229074001312 0.2835070639848709),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042300973,18556698360,1,1,"(0.7057459354400635, 0.2707258462905884)","(0.7019970417022705, 0.3171567916870117)",1,1,2.61212158203125,2.58880615234375,Fixation,POINT (0.703871488571167 0.2939413189888),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042309306,18556706693,1,1,"(0.7083447575569153, 0.27257800102233887)","(0.7031596899032593, 0.31855013966560364)",1,1,2.62188720703125,2.5781402587890625,Fixation,POINT (0.7057522237300873 0.2955640703439712),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042317639,18556715026,1,1,"(0.7095590829849243, 0.27200788259506226)","(0.7027232050895691, 0.3301820755004883)",1,1,2.6239013671875,2.585556030273437,Fixation,POINT (0.7061411440372467 0.3010949790477753),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210042325973,18556723360,1,1,"(0.7086862921714783, 0.2726506292819977)","(0.7027859091758728, 0.31889089941978455)",1,1,2.6217041015625,2.56268310546875,Fixation,POINT (0.7057361006736755 0.2957707643508911),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042334306,18556731693,1,1,"(0.7167890667915344, 0.26854684948921204)","(0.704376220703125, 0.3256072998046875)",1,1,2.6222076416015625,2.570907592773437,Fixation,POINT (0.7105826437473297 0.2970770746469498),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042342639,18556740026,1,1,"(0.7171863317489624, 0.2518547773361206)","(0.7039664387702942, 0.324474960565567)",1,1,2.614608764648437,2.571044921875,Fixation,POINT (0.7105763852596283 0.2881648689508438),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
