,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,private.0,void.0,init.0,_innerData.0,=.0,Collections.0,synchronizedMap.0,new.0,LinkedHashMap.0,String.0,Object.0,>.0,Iterator.0,Entry.0,<.2,String.1,Object.1,>.1,itr.0,=.1,_srcModel.0,entrySet.0,iterator.0,while.0,itr.1,hasNext.0,Entry.1,String.2,Object.2,>.3,entry.0,=.2,itr.2,next.0,_innerData.1,put.0,entry.1,getKey.0,entry.2,getValue.0,_srcListener.0,=.3,new.1,ListDataListener.0,public.1,void.1,onChange.0,ListDataEvent.0,event.0,onListDataChange.0,event.1,};	.0,_srcModel.1,addListDataListener.0,_srcListener.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,init,43040436,1209072055148,17586456176,1,1,"(0.5155947208404541, 0.27118921279907227)","(0.5235086679458618, 0.28366294503211975)",1,1,2.4835662841796875,2.5490264892578125,,POINT (0.519551694393158 0.277426078915596),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072063484,17586464512,1,1,"(0.5023142099380493, 0.2854883670806885)","(0.5196823477745056, 0.24906602501869202)",1,1,2.4768829345703125,2.5172882080078125,Fixation,POINT (0.5109982788562775 0.2672771960496902),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072071817,17586472845,1,1,"(0.5064978003501892, 0.28808489441871643)","(0.5201044082641602, 0.27330881357192993)",1,1,2.4678192138671875,2.5358428955078125,Fixation,POINT (0.5133011043071747 0.2806968539953232),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072080150,17586481178,1,1,"(0.5051469802856445, 0.28500548005104065)","(0.5144036412239075, 0.2964073121547699)",1,1,2.490386962890625,2.539642333984375,Fixation,POINT (0.509775310754776 0.2907063961029053),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072088484,17586489512,1,1,"(0.50019770860672, 0.29258301854133606)","(0.5071749687194824, 0.29013288021087646)",1,1,2.4767303466796875,2.457138061523437,Fixation,POINT (0.5036863386631012 0.2913579493761063),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072096817,17586497845,1,1,"(0.5074470639228821, 0.2731265723705292)","(0.5082074999809265, 0.28283920884132385)",1,1,2.47784423828125,2.53265380859375,Fixation,POINT (0.5078272819519043 0.2779828906059265),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072105150,17586506178,1,1,"(0.5042324662208557, 0.28304335474967957)","(0.5045074224472046, 0.2901826500892639)",1,1,2.4854736328125,2.499008178710937,Fixation,POINT (0.5043699443340302 0.2866130024194717),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072113490,17586514518,1,1,"(0.5082966685295105, 0.27518588304519653)","(0.5047487616539001, 0.2906600832939148)",1,1,2.500396728515625,2.4652252197265625,Fixation,POINT (0.5065227150917053 0.2829229831695557),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072121823,17586522851,1,1,"(0.5064390301704407, 0.27503180503845215)","(0.4981611669063568, 0.32039371132850647)",1,1,2.4744873046875,2.46923828125,Fixation,POINT (0.5023000985383987 0.2977127581834793),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072163490,17586564518,1,1,"(0.6598978638648987, 0.32385897636413574)","(0.6688553690910339, 0.3148433268070221)",1,1,2.5089111328125,2.4679718017578125,Fixation,POINT (0.6643766164779663 0.3193511515855789),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072171823,17586572851,1,1,"(0.662746787071228, 0.3155008554458618)","(0.6681531071662903, 0.2952856123447418)",1,1,2.488922119140625,2.443710327148437,Fixation,POINT (0.6654499471187592 0.3053932338953018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072180156,17586581184,1,1,"(0.6604309678077698, 0.3140609562397003)","(0.6739158630371094, 0.31192928552627563)",1,1,2.481109619140625,2.4640350341796875,Fixation,POINT (0.6671734154224396 0.312995120882988),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
