,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,modifyRoleInCache.0,Role.0,role.0,String.0,orgRolename.0,Set.0,users.0,=.0,role.1,getUsers.0,for.0,Iterator.0,iter.0,=.1,users.1,iterator.0,iter.1,hasNext.0,User.0,user.0,=.2,User.1,iter.2,next.0,userDetailsInCache.0,user.1,for.1,Iterator.1,iter.3,=.3,role.2,getRescs.0,iterator.1,iter.4,hasNext.1,Resource.0,resource.0,=.4,Resource.1,iter.5,next.1,resourceDetailsInCache.0,resource.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,modifyRoleInCache,1118165,1210174806061,18689202973,1,1,"(0.7135465741157532, 0.20121680200099945)","(0.712982177734375, 0.20164994895458221)",1,1,2.619735717773437,2.54180908203125,,POINT (0.7132643759250641 0.2014333754777908),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210174814393,18689211305,1,1,"(0.7146861553192139, 0.20172154903411865)","(0.7151360511779785, 0.2029382437467575)",1,1,2.6314239501953125,2.55975341796875,Fixation,POINT (0.7149111032485962 0.2023298963904381),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210174822727,18689219639,1,1,"(0.711013674736023, 0.20928271114826202)","(0.715480625629425, 0.2025180459022522)",1,1,2.597320556640625,2.558380126953125,Fixation,POINT (0.713247150182724 0.2059003785252571),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210174831060,18689227973,1,1,"(0.7137380838394165, 0.2082960456609726)","(0.7176594734191895, 0.20453861355781555)",1,1,2.602890014648437,2.561920166015625,Fixation,POINT (0.715698778629303 0.2064173296093941),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210174839393,18689236306,1,1,"(0.716680645942688, 0.20804081857204437)","(0.7170246839523315, 0.20765502750873566)",1,1,2.617095947265625,2.5702667236328125,Fixation,POINT (0.7168526649475098 0.20784792304039),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210174847726,18689244639,1,1,"(0.7175608277320862, 0.20689637959003448)","(0.7157620787620544, 0.20074191689491272)",1,1,2.600433349609375,2.5633544921875,Fixation,POINT (0.7166614532470703 0.2038191482424736),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210174856059,18689252972,1,1,"(0.7128468751907349, 0.20495058596134186)","(0.715073823928833, 0.19487304985523224)",1,1,2.6107635498046875,2.5706329345703125,Fixation,POINT (0.7139603495597839 0.199911817908287),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210174864396,18689261309,1,1,"(0.7142965197563171, 0.20650099217891693)","(0.7130224704742432, 0.19967490434646606)",1,1,2.6020050048828125,2.5776519775390625,Fixation,POINT (0.7136594951152802 0.2030879482626915),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210174872730,18689269643,1,1,"(0.7146609425544739, 0.20220305025577545)","(0.7147616744041443, 0.19512435793876648)",1,1,2.6068267822265625,2.571517944335937,Fixation,POINT (0.7147113084793091 0.198663704097271),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210174881063,18689277976,1,1,"(0.7135396599769592, 0.20807139575481415)","(0.7138718366622925, 0.1930263489484787)",1,1,2.597808837890625,2.56365966796875,Fixation,POINT (0.7137057483196259 0.2005488723516464),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
