,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,moveUpTarget.0,int.0,index.0,Object.0,target.0,=.0,targets.0,get.0,index.1,if.0,index.2,==.0,0.0,||.0,target.1,==.1,nan.0,return;.0,targets.1,set.0,index.3,targets.2,get.1,index.4,-.0,1.0,targets.3,set.1,index.5,-.1,1.1,target.2,log.0,debug.0,"""New ordering"".100",for.0,int.1,i.0,=.1,0.1,i.1,<.0,targets.4,size.0,i.2,log.1,debug.1,"""|t"".0",+.0,i.3,+.1,targets.5,get.2,i.4,prewritten,accurate,missing,unnecessary,readable,code
0,136,moveUpTarget,37762493,1208477007815,16991410483,1,1,"(0.1312725692987442, 0.3452840745449066)","(0.1206277459859848, 0.3378119468688965)",1,1,2.62066650390625,2.5715484619140625,,POINT (0.1259501576423645 0.3415480107069016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477016148,16991418816,1,1,"(0.13059045374393463, 0.328823447227478)","(0.12277396768331528, 0.33561062812805176)",1,1,2.6533660888671875,2.56170654296875,Fixation,POINT (0.126682210713625 0.3322170376777649),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477024487,16991427155,1,1,"(0.12647807598114014, 0.32570767402648926)","(0.11840061098337173, 0.34129247069358826)",1,1,2.6493377685546875,2.5726776123046875,Fixation,POINT (0.1224393434822559 0.3335000723600388),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477032821,16991435489,1,1,"(0.12637312710285187, 0.33169814944267273)","(0.12437704205513, 0.3326898515224457)",1,1,2.624176025390625,2.568084716796875,Fixation,POINT (0.1253750845789909 0.3321940004825592),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477041154,16991443822,1,1,"(0.13021084666252136, 0.33167827129364014)","(0.12270787358283997, 0.3477793037891388)",1,1,2.6431884765625,2.585205078125,Fixation,POINT (0.1264593601226807 0.3397287875413895),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477049487,16991452155,1,1,"(0.12963233888149261, 0.3361344337463379)","(0.12354506552219391, 0.3408506214618683)",1,1,2.6068115234375,2.55010986328125,Fixation,POINT (0.1265887022018433 0.3384925276041031),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477057821,16991460489,1,1,"(0.13154302537441254, 0.33680418133735657)","(0.12273122370243073, 0.34812989830970764)",1,1,2.652938842773437,2.56951904296875,Fixation,POINT (0.1271371245384216 0.3424670398235321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477066154,16991468822,1,1,"(0.13285841047763824, 0.33835482597351074)","(0.12049601227045059, 0.34522390365600586)",1,1,2.632049560546875,2.57061767578125,Fixation,POINT (0.1266772113740444 0.3417893648147583),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477074487,16991477155,1,1,"(0.1275767982006073, 0.34397122263908386)","(0.12012933194637299, 0.3381604254245758)",1,1,2.615325927734375,2.5599822998046875,Fixation,POINT (0.1238530650734901 0.3410658240318298),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477082821,16991485489,1,1,"(0.1294003576040268, 0.3353186547756195)","(0.12454108893871307, 0.3269634246826172)",1,1,2.6339874267578125,2.539093017578125,Fixation,POINT (0.1269707232713699 0.3311410397291184),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
