,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,Cursor.0,openCursor.0,Context.0,context.0,String.0,selection.0,String.1,selectionArgs.0,if.0,mSourcesUri.0,==.0,nan.0,throw.0,new.0,NullPointerException.0,"""Sources uri not set. "".100",return.0,context.1,getContentResolver.0,query.0,mSourcesUri.1,mProjection.0,selection.1,selectionArgs.1,Sources.0,SourcesTable.0,NAME.0,prewritten,accurate,missing,unnecessary,readable,code
0,136,openCursor,45888514,1209584791629,18099190783,1,1,"(0.43282318115234375, 0.10503238439559937)","(0.42996925115585327, 0.09026232361793518)",1,1,2.7007598876953125,2.725448608398437,,POINT (0.4313962161540985 0.0976473540067673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,openCursor,45888514,1209584799962,18099199116,1,1,"(0.43527951836586, 0.11124302446842194)","(0.4321848154067993, 0.08828190714120865)",1,1,2.665924072265625,2.716461181640625,Fixation,POINT (0.4337321668863296 0.0997624658048153),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,openCursor,45888514,1209584808296,18099207450,1,1,"(0.4341936707496643, 0.11469727754592896)","(0.4342450499534607, 0.09663610905408859)",1,1,2.6776885986328125,2.7111968994140625,Fixation,POINT (0.4342193603515625 0.1056666933000088),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,openCursor,45888514,1209584816629,18099215783,1,1,"(0.43455246090888977, 0.10633534938097)","(0.4329882562160492, 0.09509695321321487)",1,1,2.669174194335937,2.7039794921875,Fixation,POINT (0.4337703585624695 0.1007161512970924),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,openCursor,45888514,1209584824962,18099224116,1,1,"(0.43344855308532715, 0.11244698613882065)","(0.43185657262802124, 0.0946793258190155)",1,1,2.6734771728515625,2.691802978515625,Fixation,POINT (0.4326525628566742 0.1035631559789181),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,openCursor,45888514,1209584833296,18099232450,1,1,"(0.43215081095695496, 0.10918806493282318)","(0.43302449584007263, 0.09750129282474518)",1,1,2.669097900390625,2.70245361328125,Fixation,POINT (0.4325876533985138 0.1033446788787842),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,openCursor,45888514,1209584841629,18099240783,1,1,"(0.4318118989467621, 0.11186583340167999)","(0.4332515597343445, 0.10233137011528015)",1,1,2.653167724609375,2.70111083984375,Fixation,POINT (0.4325317293405533 0.1070986017584801),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,openCursor,45888514,1209584849962,18099249116,1,1,"(0.432272732257843, 0.11214946955442429)","(0.4322996437549591, 0.09908600896596909)",1,1,2.65472412109375,2.70062255859375,Fixation,POINT (0.4322861880064011 0.1056177392601967),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,openCursor,45888514,1209584858296,18099257450,1,1,"(0.43343600630760193, 0.10668017715215683)","(0.4320750832557678, 0.1005474254488945)",1,1,2.6647186279296875,2.698593139648437,Fixation,POINT (0.4327555447816849 0.1036138013005257),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,openCursor,45888514,1209584866629,18099265783,1,1,"(0.4301263689994812, 0.10302139073610306)","(0.4320865571498871, 0.10213775932788849)",1,1,2.6482086181640625,2.693222045898437,Fixation,POINT (0.4311064630746841 0.1025795750319958),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,openCursor,45888514,1209584874962,18099274116,1,1,"(0.43127062916755676, 0.10909181088209152)","(0.4299095869064331, 0.10408379137516022)",1,1,2.638580322265625,2.697616577148437,Fixation,POINT (0.4305901080369949 0.1065878011286259),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
