,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,boolean.0,openNewContainerWindow.0,String.0,containerName.0,String.1,containerDescription.0,//if name is blank disable use default option.200,NewContainerImportWindow.0,window.0,if.0,containerName.1,equals.0,""""".0",window.1,=.0,new.0,NewContainerImportWindow.1,else.0,window.2,=.1,new.1,NewContainerImportWindow.2,containerName.2,containerDescription.1,window.3,setParent.0,OrganiserView.0,this.0,try.0,window.4,doModal.0,catch.0,InterruptedException.0,ie.0,ie.1,printStackTrace.0,System.0,err.0,if.1,doImport.0,importer.0,setContainerName.0,window.5,getName.0,importer.1,setContainerDescription.0,window.6,getDescription.0,return.0,doImport.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,openNewContainerWindow,34413723,1209629284977,18143684007,1,1,"(0.7168865203857422, 0.3189516067504883)","(0.7274788618087769, 0.3654639422893524)",1,1,2.59979248046875,2.5721893310546875,,POINT (0.7221826910972595 0.3422077745199204),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,openNewContainerWindow,34413723,1209629293310,18143692340,1,1,"(0.7191994190216064, 0.3139260709285736)","(0.72975093126297, 0.3462514281272888)",1,1,2.606903076171875,2.573760986328125,Fixation,POINT (0.7244751751422882 0.3300887495279312),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,openNewContainerWindow,34413723,1209629301644,18143700674,1,1,"(0.7196750044822693, 0.3170728087425232)","(0.7256888151168823, 0.35120293498039246)",1,1,2.60748291015625,2.5918426513671875,Fixation,POINT (0.7226819097995758 0.3341378718614578),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,openNewContainerWindow,34413723,1209629309977,18143709007,1,1,"(0.7188649773597717, 0.31839749217033386)","(0.7303996086120605, 0.3459433615207672)",1,1,2.6122283935546875,2.5613250732421875,Fixation,POINT (0.7246322929859161 0.3321704268455505),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,openNewContainerWindow,34413723,1209629318310,18143717340,1,1,"(0.7191812992095947, 0.3178313076496124)","(0.7294044494628906, 0.33850234746932983)",1,1,2.633651733398437,2.57525634765625,Fixation,POINT (0.7242928743362427 0.3281668275594711),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,openNewContainerWindow,34413723,1209629326648,18143725678,1,1,"(0.7216246724128723, 0.3287592828273773)","(0.7295165657997131, 0.3448200523853302)",1,1,2.625762939453125,2.5841522216796875,Fixation,POINT (0.7255706191062927 0.3367896676063538),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,openNewContainerWindow,34413723,1209629334981,18143734011,1,1,"(0.7229980230331421, 0.31914493441581726)","(0.7297222018241882, 0.34500548243522644)",1,1,2.6137847900390625,2.577987670898437,Fixation,POINT (0.7263601124286652 0.3320752084255218),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,openNewContainerWindow,34413723,1209629343314,18143742344,1,1,"(0.7232844829559326, 0.3099082112312317)","(0.7245292663574219, 0.3545500934123993)",1,1,2.599029541015625,2.612777709960937,Fixation,POINT (0.7239068746566772 0.3322291523218155),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,openNewContainerWindow,34413723,1209629351648,18143750678,1,1,"(0.7235909700393677, 0.3182150423526764)","(0.7275021076202393, 0.35065799951553345)",1,1,2.607284545898437,2.6053619384765625,Fixation,POINT (0.7255465388298035 0.3344365209341049),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,openNewContainerWindow,34413723,1209629359981,18143759011,1,1,"(0.7227159738540649, 0.31469693779945374)","(0.7234373688697815, 0.35264989733695984)",1,1,2.59326171875,2.5999908447265625,Fixation,POINT (0.7230766713619232 0.3336734175682068),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,openNewContainerWindow,34413723,1209629368314,18143767344,1,1,"(0.7232271432876587, 0.3160485029220581)","(0.7284749746322632, 0.3484460413455963)",1,1,2.597015380859375,2.58349609375,Fixation,POINT (0.7258510589599609 0.3322472721338272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,openNewContainerWindow,34413723,1209629376648,18143775678,1,1,"(0.7223936915397644, 0.30964383482933044)","(0.7297090291976929, 0.3474903404712677)",1,1,2.600494384765625,2.58941650390625,Fixation,POINT (0.7260513603687286 0.3285670876502991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,openNewContainerWindow,34413723,1209629384981,18143784011,1,1,"(0.7208555936813354, 0.32286256551742554)","(0.7284663319587708, 0.33738428354263306)",1,1,2.63018798828125,2.5832672119140625,Fixation,POINT (0.7246609628200531 0.3301234245300293),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
