,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,String.0,print.0,String.1,tab.0,if.0,content.0,instanceof.0,RegExp.0,return.0,tab.1,+.0,"""type = "".100",+.1,type.0,+.2,Out.0,NL.0,+.3,tab.2,+.4,"""content :"".101",+.5,Out.1,NL.1,+.6,RegExp.1,content.1,print.1,tab.3,+.7,"""  "".0",else.0,return.1,tab.4,+.8,"""type = "".102",+.9,type.1,+.10,Out.2,NL.2,+.11,tab.5,+.12,"""content :"".103",+.13,Out.3,NL.3,+.14,tab.6,+.15,"""  "".1",+.16,content.2,prewritten,accurate,missing,unnecessary,readable,code
0,136,print,2896279,1208569361129,17083763690,1,1,"(0.7230110168457031, 0.33788660168647766)","(0.721544623374939, 0.35375091433525085)",1,1,2.5008087158203125,2.476303100585937,,POINT (0.722277820110321 0.3458187580108643),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,print,2896279,1208569369462,17083772023,1,1,"(0.7231732606887817, 0.3273107707500458)","(0.7223632335662842, 0.35924336314201355)",1,1,2.5092926025390625,2.472152709960937,Fixation,POINT (0.722768247127533 0.3432770669460297),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,print,2896279,1208569377795,17083780356,1,1,"(0.7236732244491577, 0.3393184244632721)","(0.7250118255615234, 0.3512718975543976)",1,1,2.464218139648437,2.4672393798828125,Fixation,POINT (0.7243425250053406 0.3452951610088348),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,print,2896279,1208569386120,17083788681,1,1,"(0.7223697304725647, 0.3529413342475891)","(0.7246023416519165, 0.34778305888175964)",1,1,2.507675170898437,2.446624755859375,Fixation,POINT (0.7234860360622406 0.3503621965646744),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,print,2896279,1208569394462,17083797023,1,1,"(0.7168300151824951, 0.34845417737960815)","(0.7246726155281067, 0.3453066647052765)",1,1,2.519287109375,2.4539794921875,Fixation,POINT (0.7207513153553009 0.3468804210424423),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,print,2896279,1208569402787,17083805348,1,1,"(0.7246206402778625, 0.32773706316947937)","(0.7181528806686401, 0.3519171476364136)",1,1,2.479248046875,2.4654083251953125,Fixation,POINT (0.7213867604732513 0.3398271054029465),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,print,2896279,1208569411120,17083813681,1,1,"(0.7255456447601318, 0.32681572437286377)","(0.719970703125, 0.3416293263435364)",1,1,2.450408935546875,2.455718994140625,Fixation,POINT (0.7227581739425659 0.3342225253582001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,print,2896279,1208569419453,17083822014,1,1,"(0.721596360206604, 0.32758331298828125)","(0.7213355302810669, 0.3367053270339966)",1,1,2.471832275390625,2.421478271484375,Fixation,POINT (0.7214659452438354 0.3321443200111389),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,print,2896279,1208569427787,17083830348,1,1,"(0.722089409828186, 0.3308289051055908)","(0.7219875454902649, 0.34253787994384766)",1,1,2.4788360595703125,2.451934814453125,Fixation,POINT (0.7220384776592255 0.3366833925247192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,print,2896279,1208569436125,17083838686,1,1,"(0.7210809588432312, 0.33452263474464417)","(0.7229853868484497, 0.3441934585571289)",1,1,2.4688873291015625,2.4251861572265625,Fixation,POINT (0.7220331728458405 0.3393580466508865),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
