,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,refreshTreePanel.0,root.0,removeAllChildren.0,root.1,=.0,new.0,DefaultMutableTreeNode.0,"""ALL"".0",treeModel.0,=.1,new.1,DefaultTreeModel.0,root.2,tree.0,setModel.0,treeModel.1,tree.1,setBounds.0,new.2,Rectangle.0,0.0,0.1,196.0,443.0,tree.2,setLayout.0,nan.0,tree.3,setBackground.0,Color.0,white.0,tree.4,setCellRenderer.0,new.3,UserIconRenderer.0,addAllUsers.0,TreePath.0,treePath.0,=.2,tree.5,getPathForRow.0,0.2,tree.6,fireTreeExpanded.0,treePath.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,refreshTreePanel,35553511,1208459998852,16974401571,1,1,"(0.5303487777709961, 0.2998272180557251)","(0.5434694886207581, 0.3306220471858978)",1,1,2.729598999023437,2.8366851806640625,,POINT (0.5369091331958771 0.3152246326208115),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460015518,16974418237,1,1,"(0.5214552879333496, 0.267587274312973)","(0.5126941204071045, 0.29753777384757996)",1,1,2.7601776123046875,2.901885986328125,Fixation,POINT (0.517074704170227 0.2825625240802765),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460023852,16974426571,1,1,"(0.5188108682632446, 0.2679891884326935)","(0.5163346529006958, 0.30335578322410583)",1,1,2.762298583984375,2.881591796875,Fixation,POINT (0.5175727605819702 0.2856724858283997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460032185,16974434904,1,1,"(0.5191243886947632, 0.2685871422290802)","(0.5124937891960144, 0.3012455999851227)",1,1,2.753082275390625,2.8766021728515625,Fixation,POINT (0.5158090889453888 0.2849163711071014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460040518,16974443237,1,1,"(0.5235211253166199, 0.27957069873809814)","(0.512825608253479, 0.3099973797798157)",1,1,2.761474609375,2.863739013671875,Fixation,POINT (0.5181733667850494 0.2947840392589569),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460048852,16974451571,1,1,"(0.5222294926643372, 0.27952030301094055)","(0.5142462849617004, 0.3012486696243286)",1,1,2.722503662109375,2.8490753173828125,Fixation,POINT (0.5182378888130188 0.2903844863176346),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460057185,16974459904,1,1,"(0.5185749530792236, 0.2813297212123871)","(0.512058436870575, 0.3073447346687317)",1,1,2.7235870361328125,2.8580322265625,Fixation,POINT (0.5153166949748993 0.2943372279405594),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460065518,16974468237,1,1,"(0.5141756534576416, 0.28610965609550476)","(0.5107605457305908, 0.30293822288513184)",1,1,2.7239990234375,2.836410522460937,Fixation,POINT (0.5124680995941162 0.2945239394903183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460073852,16974476571,1,1,"(0.5146192312240601, 0.2851923704147339)","(0.5108485817909241, 0.3017967939376831)",1,1,2.731231689453125,2.8449249267578125,Fixation,POINT (0.5127339065074921 0.2934945821762085),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460082185,16974484904,1,1,"(0.520339846611023, 0.28107666969299316)","(0.5091421604156494, 0.3041892945766449)",1,1,2.735260009765625,2.840423583984375,Fixation,POINT (0.5147410035133362 0.292632982134819),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
