,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,setCombo_Value.0,String.0,val.0,If.0,val.1,==.0,nan.0,||.0,""""".0",equals.0,val.2,&&.0,Combo_Value.0,==.1,nan.1,||.1,""""".1",equals.1,Combo_Value.1,return;.0,if.0,val.3,==.2,nan.2,||.2,val.4,equals.2,Combo_Value.2,||.3,updateStatus.0,==.3,NULL_INT_VALUE.0,Combo_Value.3,=.0,val.5,updateStatus.1,=.1,UPDATED.0,prewritten,accurate,missing,unnecessary,readable,code
0,136,setCombo_Value,19344536,1210571362944,19085758419,1,1,"(0.7099923491477966, 0.2308911383152008)","(0.7053107619285583, 0.24010884761810303)",1,1,2.6280975341796875,2.4620819091796875,,POINT (0.7076515555381775 0.2354999929666519),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571379617,19085775092,1,1,"(0.706791877746582, 0.2299709916114807)","(0.7122460007667542, 0.18354211747646332)",1,1,2.6492462158203125,2.7002105712890625,,POINT (0.7095189392566681 0.206756554543972),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,setCombo_Value,19344536,1210571387952,19085783427,1,1,"(0.708820104598999, 0.22306199371814728)","(0.7099764943122864, 0.16690541803836823)",1,1,2.6505584716796875,2.6934814453125,Fixation,POINT (0.7093982994556427 0.1949837058782578),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,setCombo_Value,19344536,1210571396285,19085791760,1,1,"(0.705937385559082, 0.22030748426914215)","(0.7125516533851624, 0.18169482052326202)",1,1,2.6574249267578125,2.687484741210937,Fixation,POINT (0.7092445194721222 0.2010011523962021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,setCombo_Value,19344536,1210571404619,19085800094,1,1,"(0.7057334780693054, 0.22115817666053772)","(0.7106935381889343, 0.20715351402759552)",1,1,2.6524658203125,2.65460205078125,Fixation,POINT (0.7082135081291199 0.2141558453440666),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,setCombo_Value,19344536,1210571412952,19085808427,1,1,"(0.7056928873062134, 0.22220748662948608)","(0.7098984122276306, 0.22556741535663605)",1,1,2.6459197998046875,2.613998413085937,Fixation,POINT (0.707795649766922 0.2238874509930611),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571421285,19085816760,1,1,"(0.7032604217529297, 0.2234559804201126)","(0.7060900926589966, 0.23566755652427673)",1,1,2.642807006835937,2.5985107421875,Fixation,POINT (0.7046752572059631 0.2295617684721947),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571429618,19085825093,1,1,"(0.704227089881897, 0.2300681471824646)","(0.7060474753379822, 0.23056335747241974)",1,1,2.64825439453125,2.5935516357421875,Fixation,POINT (0.7051372826099396 0.2303157523274422),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571437952,19085833427,1,1,"(0.7029904127120972, 0.22918231785297394)","(0.703960657119751, 0.2366420477628708)",1,1,2.654281616210937,2.5789337158203125,Fixation,POINT (0.7034755349159241 0.2329121828079224),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571446285,19085841760,1,1,"(0.7040324807167053, 0.21811407804489136)","(0.70554119348526, 0.2329118847846985)",1,1,2.64739990234375,2.5887908935546875,Fixation,POINT (0.7047868371009827 0.2255129814147949),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571454618,19085850093,1,1,"(0.7034006714820862, 0.22163249552249908)","(0.7057626843452454, 0.23478597402572632)",1,1,2.6603546142578125,2.581939697265625,Fixation,POINT (0.7045816779136658 0.2282092347741127),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571462952,19085858427,1,1,"(0.7046262621879578, 0.2138260304927826)","(0.7054041028022766, 0.22751480340957642)",1,1,2.639999389648437,2.591033935546875,Fixation,POINT (0.7050151824951172 0.2206704169511795),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571471286,19085866761,1,1,"(0.7067491412162781, 0.2224053293466568)","(0.7041617035865784, 0.24045886099338531)",1,1,2.639678955078125,2.603057861328125,Fixation,POINT (0.7054554224014282 0.2314320951700211),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571479618,19085875093,1,1,"(0.7057904005050659, 0.21943576633930206)","(0.7026181221008301, 0.22723506391048431)",1,1,2.653564453125,2.5943756103515625,Fixation,POINT (0.704204261302948 0.2233354151248932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
