,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,protected.0,void.0,tellAgain.0,final.0,QName.0,message.0,throws.0,RemoteException.0,final.1,AbstractCoordParticipantProxy.0,proxy.0,=.0,this.0,getParticipantProxy.0,if.0,State.0,MESSAGE_CANCEL.0,equals.0,message.1,proxy.1,cancelOperation.0,nan.0,else if.0,State.1,MESSAGE_COMPENSATE.0,equals.1,message.2,proxy.2,compensateOperation.0,nan.1,else if.1,State.2,MESSAGE_CLOSE.0,equals.2,message.3,proxy.3,closeOperation.0,nan.2,else if.2,State.3,MESSAGE_EXITED.0,equals.3,message.4,proxy.4,exitedOperation.0,nan.3,else if.3,State.4,MESSAGE_FAULTED.0,equals.4,message.5,proxy.5,faultedOperation.0,nan.4,else if.4,State.5,MESSAGE_GETSTATUS.0,equals.5,message.6,proxy.6,getStatusOperation.0,nan.5,else.0,throw.0,new.0,IllegalArgumentException.0,"""Sorry cannot tell a participant "".100",+.0,message.7,prewritten,accurate,missing,unnecessary,readable,code
0,136,tellAgain,18912425,1208013199508,16527602926,1,1,"(0.3852950930595398, 0.1992618590593338)","(0.3796084225177765, 0.24929799139499664)",1,1,2.541015625,2.548553466796875,,POINT (0.3824517577886581 0.2242799252271652),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013207841,16527611259,1,1,"(0.3826533257961273, 0.20768795907497406)","(0.37878090143203735, 0.25331273674964905)",1,1,2.5538482666015625,2.5496826171875,Fixation,POINT (0.3807171136140823 0.2305003479123116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013216174,16527619592,1,1,"(0.3811793923377991, 0.19678016006946564)","(0.3767075836658478, 0.24937137961387634)",1,1,2.529998779296875,2.546234130859375,Fixation,POINT (0.3789434880018234 0.223075769841671),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013224507,16527627925,1,1,"(0.3803657293319702, 0.20647652447223663)","(0.3786405026912689, 0.24209031462669373)",1,1,2.55657958984375,2.5620574951171875,Fixation,POINT (0.3795031160116196 0.2242834195494652),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013232841,16527636259,1,1,"(0.383334219455719, 0.2051447331905365)","(0.37895336747169495, 0.2442508488893509)",1,1,2.5578155517578125,2.56817626953125,Fixation,POINT (0.381143793463707 0.2246977910399437),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013241174,16527644592,1,1,"(0.3817894458770752, 0.21520689129829407)","(0.3818042576313019, 0.2522079646587372)",1,1,2.5668487548828125,2.5682830810546875,Fixation,POINT (0.3817968517541885 0.2337074279785156),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013249507,16527652925,1,1,"(0.38424181938171387, 0.2111373096704483)","(0.3804243803024292, 0.2540489137172699)",1,1,2.5489501953125,2.55706787109375,Fixation,POINT (0.3823330998420715 0.2325931116938591),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013257841,16527661259,1,1,"(0.3824419379234314, 0.20518887042999268)","(0.38059964776039124, 0.252834290266037)",1,1,2.5751953125,2.5741424560546875,Fixation,POINT (0.3815207928419113 0.2290115803480148),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013266174,16527669592,1,1,"(0.3796430826187134, 0.20247262716293335)","(0.3786216974258423, 0.24931660294532776)",1,1,2.592514038085937,2.5740509033203125,Fixation,POINT (0.3791323900222778 0.2258946150541306),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013274515,16527677933,1,1,"(0.37747958302497864, 0.20095086097717285)","(0.3821042478084564, 0.25172296166419983)",1,1,2.568588256835937,2.569427490234375,Fixation,POINT (0.3797919154167175 0.2263369113206863),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
