,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,testAddCountryWithSequenceGenerator.0,throws.0,Exception.0,CountryWithSequence.0,country1.0,=.0,new.0,CountryWithSequence.1,country1.1,setCountryId.0,"""KR"".0",country1.2,setCountryName.0,"""Korea"".0",Integer.0,countryCode.0,=.1,Integer.1,session.0,save.0,country1.3,assertEquals.0,"""fail to generate a new countryCode."".100",0.0,countryCode.1,intValue.0,assertNotNull.0,"""fail to add a new country with sequence generator. "".101",countryCode.2,prewritten,accurate,missing,unnecessary,readable,code
0,136,testAddCountryWithSequenceGenerator,1046788,1208419947295,16934350183,1,1,"(0.6996000409126282, 0.396388977766037)","(0.7137609720230103, 0.4772145748138428)",1,1,2.6324462890625,2.565460205078125,,POINT (0.7066805064678192 0.4368017762899399),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208419955628,16934358516,1,1,"(0.6925997138023376, 0.39845070242881775)","(0.7029669284820557, 0.48494061827659607)",1,1,2.670074462890625,2.5526580810546875,Fixation,POINT (0.6977833211421967 0.4416956603527069),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208419972292,16934375180,1,1,"(0.701116681098938, 0.37626510858535767)","(0.6834526658058167, 0.43103334307670593)",1,1,2.66705322265625,2.7000885009765625,Fixation,POINT (0.6922846734523773 0.4036492258310318),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208419980626,16934383514,1,1,"(0.6990272402763367, 0.37625852227211)","(0.688463568687439, 0.4294013977050781)",1,1,2.6583404541015625,2.6858673095703125,Fixation,POINT (0.6937454044818878 0.4028299599885941),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208419988959,16934391847,1,1,"(0.7015717625617981, 0.382914274930954)","(0.6975666284561157, 0.4229068458080292)",1,1,2.6812744140625,2.715560913085937,Fixation,POINT (0.6995691955089569 0.4029105603694916),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208419997293,16934400181,1,1,"(0.6916131973266602, 0.38717761635780334)","(0.691834032535553, 0.4317919611930847)",1,1,2.6448516845703125,2.70477294921875,Fixation,POINT (0.6917236149311066 0.409484788775444),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208420005634,16934408522,1,1,"(0.691811203956604, 0.3912355899810791)","(0.6887415647506714, 0.43252548575401306)",1,1,2.659393310546875,2.712738037109375,Fixation,POINT (0.6902763843536377 0.4118805378675461),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208420013967,16934416855,1,1,"(0.6964646577835083, 0.39188987016677856)","(0.6898558139801025, 0.4275485575199127)",1,1,2.660385131835937,2.712554931640625,Fixation,POINT (0.6931602358818054 0.4097192138433456),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208420022301,16934425189,1,1,"(0.6994866728782654, 0.38446781039237976)","(0.6948796510696411, 0.4240280091762543)",1,1,2.6432037353515625,2.72772216796875,Fixation,POINT (0.6971831619739532 0.404247909784317),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208420030634,16934433522,1,1,"(0.6903910040855408, 0.3862259089946747)","(0.691021740436554, 0.428801953792572)",1,1,2.646575927734375,2.7114410400390625,Fixation,POINT (0.6907063722610474 0.4075139313936234),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
