,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,testGetClassification.0,System.0,out.0,println.0,"""getClassification"".0",SystemClient_DBImpl.0,instance.0,=.0,new.0,SystemClient_DBImpl.1,Set.0,expResult.0,=.1,nan.0,Set.1,result.0,=.2,instance.1,getClassification.0,assertEquals.0,expResult.1,result.1,// TODO review the generated test code and remove the default call to fail..200,fail.0,"""The test case is a prototype. "".100",prewritten,accurate,missing,unnecessary,readable,code
0,136,testGetClassification,33719607,1210533219829,19047615428,1,1,"(0.9042854905128479, 0.8502000570297241)","(0.9337105751037598, 0.8889264464378357)",1,1,2.7698974609375,2.630096435546875,,POINT (0.9189980328083038 0.8695632517337799),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533228161,19047623760,1,1,"(0.9041497707366943, 0.8492332696914673)","(0.9277623891830444, 0.8842779397964478)",1,1,2.762924194335937,2.645355224609375,Fixation,POINT (0.9159560799598694 0.8667556047439575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533236500,19047632099,1,1,"(0.9014232158660889, 0.8439531326293945)","(0.9313443303108215, 0.8740754127502441)",1,1,2.7779693603515625,2.643341064453125,Fixation,POINT (0.9163837730884552 0.8590142726898193),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533244833,19047640432,1,1,"(0.9076175689697266, 0.8492581248283386)","(0.9343457818031311, 0.8759735822677612)",1,1,2.763427734375,2.646469116210937,Fixation,POINT (0.9209816753864288 0.8626158535480499),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533253166,19047648765,1,1,"(0.9046463966369629, 0.8502370119094849)","(0.9258151054382324, 0.8770892024040222)",1,1,2.769760131835937,2.660430908203125,Fixation,POINT (0.9152307510375977 0.8636631071567535),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533261501,19047657099,1,1,"(0.9028028249740601, 0.8411678671836853)","(0.9306498169898987, 0.8842587471008301)",1,1,2.7639923095703125,2.625640869140625,Fixation,POINT (0.9167263209819794 0.8627133071422577),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533269834,19047665432,1,1,"(0.9083199501037598, 0.8499904870986938)","(0.9288918972015381, 0.8851314783096313)",1,1,2.78485107421875,2.647079467773437,Fixation,POINT (0.9186059236526489 0.8675609827041626),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533278168,19047673766,1,1,"(0.900033712387085, 0.8495565056800842)","(0.9324078559875488, 0.8730878829956055)",1,1,2.7641143798828125,2.6153564453125,Fixation,POINT (0.9162207841873169 0.8613221943378448),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533286501,19047682099,1,1,"(0.9031540751457214, 0.8465613722801208)","(0.9345836043357849, 0.8728913068771362)",1,1,2.765838623046875,2.629241943359375,Fixation,POINT (0.9188688397407532 0.8597263395786285),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533294834,19047690432,1,1,"(0.9081873893737793, 0.8388614058494568)","(0.9326462745666504, 0.8761398196220398)",1,1,2.773040771484375,2.646881103515625,Fixation,POINT (0.9204168319702148 0.8575006127357483),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533303168,19047698766,1,1,"(0.8972065448760986, 0.834354817867279)","(0.9296719431877136, 0.8766007423400879)",1,1,2.7521514892578125,2.62835693359375,Fixation,POINT (0.9134392440319061 0.8554777801036835),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533311501,19047707099,1,1,"(0.9048986434936523, 0.844516396522522)","(0.9279005527496338, 0.8769489526748657)",1,1,2.789535522460937,2.632431030273437,Fixation,POINT (0.9163995981216431 0.8607326745986938),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
