,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,testLogin.0,SessionManager.0,manager.0,=.0,new.0,SimpleSessionManager.0,String.0,sessionId.0,=.1,manager.1,createSession.0,nan.0,nan.1,Session.0,session.0,=.2,manager.2,getSession.0,sessionId.1,manager.3,login.0,session.1,"""user"".0","""password"".0",assertEquals.0,"""user"".1",session.2,getUserId.0,assertEquals.1,"""password"".1",session.3,getUserPassword.0,assertTrue.0,session.4,isLoggedIn.0,prewritten,accurate,missing,unnecessary,readable,code
0,136,testLogin,3456415,1210443999758,18958395666,1,1,"(0.22124382853507996, 0.18227578699588776)","(0.2195219099521637, 0.19364683330059052)",1,1,2.9497528076171875,2.9029541015625,,POINT (0.2203828692436218 0.1879613101482391),,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testLogin,3456415,1210444008091,18958403999,1,1,"(0.23455242812633514, 0.17937204241752625)","(0.22991587221622467, 0.18859152495861053)",1,1,2.95806884765625,2.908599853515625,Fixation,POINT (0.2322341501712799 0.1839817836880684),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testLogin,3456415,1210444016425,18958412333,1,1,"(0.22873182594776154, 0.18526333570480347)","(0.22431868314743042, 0.18584559857845306)",1,1,2.952865600585937,2.90704345703125,Fixation,POINT (0.226525254547596 0.1855544671416283),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testLogin,3456415,1210444024756,18958420664,1,1,"(0.2284436672925949, 0.18455687165260315)","(0.2214881181716919, 0.18783104419708252)",1,1,2.966033935546875,2.910400390625,Fixation,POINT (0.2249658927321434 0.1861939579248428),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testLogin,3456415,1210444033089,18958428997,1,1,"(0.22902560234069824, 0.1822269856929779)","(0.21917308866977692, 0.18562304973602295)",1,1,2.969223022460937,2.9000244140625,Fixation,POINT (0.2240993455052376 0.1839250177145004),,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testLogin,3456415,1210444041423,18958437331,1,1,"(0.22894401848316193, 0.18462435901165009)","(0.21881932020187378, 0.1860688179731369)",1,1,2.962493896484375,2.908843994140625,Fixation,POINT (0.2238816693425178 0.1853465884923935),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testLogin,3456415,1210444049756,18958445664,1,1,"(0.22846582531929016, 0.17680856585502625)","(0.21728231012821198, 0.18384277820587158)",1,1,2.951889038085937,2.9109039306640625,Fixation,POINT (0.2228740677237511 0.1803256720304489),,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testLogin,3456415,1210444058091,18958453998,1,1,"(0.23000316321849823, 0.1802120953798294)","(0.21987035870552063, 0.18488827347755432)",1,1,2.9593658447265625,2.9234771728515625,Fixation,POINT (0.2249367609620094 0.1825501844286919),,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testLogin,3456415,1210444066424,18958462331,1,1,"(0.232582226395607, 0.18478643894195557)","(0.21880562603473663, 0.18731151521205902)",1,1,2.959716796875,2.904525756835937,Fixation,POINT (0.2256939262151718 0.1860489770770073),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testLogin,3456415,1210444074757,18958470664,1,1,"(0.22751586139202118, 0.18215681612491608)","(0.22121840715408325, 0.17643213272094727)",1,1,2.9770050048828125,2.8984527587890625,Fixation,POINT (0.2243671342730522 0.1792944744229317),,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testLogin,3456415,1210444083091,18958478998,1,1,"(0.22805412113666534, 0.1830141693353653)","(0.22559215128421783, 0.18531358242034912)",1,1,2.9596405029296875,2.9034576416015625,Fixation,POINT (0.2268231362104416 0.1841638758778572),,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testLogin,3456415,1210444091424,18958487331,1,1,"(0.23341412842273712, 0.18210512399673462)","(0.22309517860412598, 0.18165814876556396)",1,1,2.947845458984375,2.903671264648437,Fixation,POINT (0.2282546535134316 0.1818816363811493),,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testLogin,3456415,1210444099762,18958495669,1,1,"(0.2276083528995514, 0.1930670589208603)","(0.2234123796224594, 0.18312512338161469)",1,1,2.941162109375,2.89794921875,Fixation,POINT (0.2255103662610054 0.1880960911512375),,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testLogin,3456415,1210444108095,18958504002,1,1,"(0.23184768855571747, 0.18833869695663452)","(0.22005373239517212, 0.1874922811985016)",1,1,2.935028076171875,2.892120361328125,Fixation,POINT (0.2259507104754448 0.187915489077568),,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testLogin,3456415,1210444116428,18958512335,1,1,"(0.2258789837360382, 0.19279450178146362)","(0.220810204744339, 0.1906345635652542)",1,1,2.927597045898437,2.87109375,Fixation,POINT (0.2233445942401886 0.1917145326733589),,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testLogin,3456415,1210444124762,18958520669,1,1,"(0.2319781333208084, 0.18628937005996704)","(0.21537844836711884, 0.191885307431221)",1,1,2.91998291015625,2.853607177734375,Fixation,POINT (0.2236782908439636 0.189087338745594),,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
