,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,BFSdist.0,Node.0,n.0,Vector.0,ToDo.0,int.0,indirConn.0,Node.1,n2.0,=.0,nan.0,for.0,Enumeration.0,es.0,=.1,n.1,adjEdges.0,elements.0,es.1,hasMoreElements.0,n2.1,=.2,n.2,adjNode.0,Edge.0,es.2,nextElement.0,if.0,n2.2,dist.0,<.0,0.0,n2.3,dist.1,=.3,n.3,dist.2,+.0,1.0,indirConn.1,n2.4,dist.3,++.0,// important add adds to the end of the list.200,ToDo.1,add.0,n2.5,if.1,ToDo.2,isEmpty.0,n2.6,=.4,Node.2,ToDo.3,remove.0,0.1,BFSdist.1,n2.7,ToDo.4,indirConn.2,code,participant_summary
0,136,BFSdist,44521080,1212082004915,20596394597,1,1,"(0.900929868221283, 0.3727562129497528)","(0.9190179109573364, 0.3914039433002472)",1,1,2.6015625,2.5415191650390625,,POINT (0.9099738895893097 0.382080078125),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082013249,20596402931,1,1,"(0.9037964940071106, 0.3962624967098236)","(0.9200575947761536, 0.3912866711616516)",1,1,2.6167755126953125,2.5454559326171875,Fixation,POINT (0.9119270443916321 0.3937745839357376),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082021582,20596411264,1,1,"(0.9036878347396851, 0.3577768802642822)","(0.9154989719390869, 0.4002148509025574)",1,1,2.6085968017578125,2.5570831298828125,Fixation,POINT (0.909593403339386 0.3789958655834198),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082029916,20596419598,1,1,"(0.9175281524658203, 0.3818262815475464)","(0.9142640829086304, 0.4050004482269287)",1,1,2.6173553466796875,2.532989501953125,Fixation,POINT (0.9158961176872253 0.3934133648872376),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082038255,20596427937,1,1,"(0.907884955406189, 0.3931649327278137)","(0.9155773520469666, 0.40532225370407104)",1,1,2.629989624023437,2.550018310546875,Fixation,POINT (0.9117311537265778 0.3992435932159424),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082046588,20596436270,1,1,"(0.9026567935943604, 0.3872157037258148)","(0.9182652235031128, 0.4077339172363281)",1,1,2.6144561767578125,2.546371459960937,Fixation,POINT (0.9104610085487366 0.3974748104810715),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082054922,20596444604,1,1,"(0.9058494567871094, 0.3576648533344269)","(0.9193949699401855, 0.40973955392837524)",1,1,2.596832275390625,2.541107177734375,Fixation,POINT (0.9126222133636475 0.3837022036314011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082063255,20596452937,1,1,"(0.9070935845375061, 0.35660335421562195)","(0.9224718809127808, 0.40082111954689026)",1,1,2.6058502197265625,2.547943115234375,Fixation,POINT (0.9147827327251434 0.3787122368812561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082071588,20596461270,1,1,"(0.9082457423210144, 0.3512231707572937)","(0.9230276346206665, 0.39798209071159363)",1,1,2.6158905029296875,2.5592498779296875,Fixation,POINT (0.9156366884708405 0.3746026307344437),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082079922,20596469604,1,1,"(0.9056181311607361, 0.3634698688983917)","(0.9226529002189636, 0.39460062980651855)",1,1,2.6141815185546875,2.544586181640625,Fixation,POINT (0.9141355156898499 0.3790352493524551),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
