,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,actionPerformed.0,ActionEvent.0,e.0,int.0,selectedRows.0,=.0,features.0,getSelectedRows.0,if.0,selectedRows.1,length.0,>.0,0.0,boolean.0,valueToBeSet.0,=.1,Boolean.0,features.1,getValueAt.0,selectedRows.2,0.1,].0,0.2,)).0,booleanValue.0,for.0,int.1,i.0,=.2,0.3,i.1,<.0,selectedRows.3,length.1,i.2,features.2,setValueAt.0,new.0,Boolean.1,valueToBeSet.1,selectedRows.4,i.3,].1,0.4,code,participant_summary
0,136,actionPerformed,12725774,1211996326574,20510716595,1,1,"(0.7763251066207886, 0.07341337203979492)","(0.7741973400115967, 0.0879468321800232)",1,1,2.5680389404296875,2.57672119140625,,POINT (0.7752612233161926 0.0806801021099091),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,actionPerformed,12725774,1211996334907,20510724928,1,1,"(0.7780824899673462, 0.07169275730848312)","(0.7787567973136902, 0.09132184833288193)",1,1,2.59210205078125,2.567474365234375,Fixation,POINT (0.7784196436405182 0.0815073028206825),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,actionPerformed,12725774,1211996343241,20510733262,1,1,"(0.7733097672462463, 0.07116374373435974)","(0.7732020020484924, 0.08220226317644119)",1,1,2.5726318359375,2.558685302734375,Fixation,POINT (0.7732558846473694 0.0766830034554005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,actionPerformed,12725774,1211996351574,20510741595,1,1,"(0.7789719104766846, 0.07259988784790039)","(0.7814613580703735, 0.08439239859580994)",1,1,2.591278076171875,2.5740203857421875,Fixation,POINT (0.780216634273529 0.0784961432218552),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,actionPerformed,12725774,1211996359907,20510749928,1,1,"(0.7755432724952698, 0.06794824451208115)","(0.7785754203796387, 0.10044845938682556)",1,1,2.573959350585937,2.566635131835937,Fixation,POINT (0.7770593464374542 0.0841983519494534),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,actionPerformed,12725774,1211996368241,20510758262,1,1,"(0.7763484716415405, 0.06464695930480957)","(0.7749636769294739, 0.09977348148822784)",1,1,2.5850830078125,2.563507080078125,Fixation,POINT (0.7756560742855072 0.0822102203965187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,actionPerformed,12725774,1211996376574,20510766595,1,1,"(0.7793541550636292, 0.059426210820674896)","(0.7827103137969971, 0.10248597711324692)",1,1,2.5679931640625,2.55499267578125,Fixation,POINT (0.7810322344303131 0.0809560939669609),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,actionPerformed,12725774,1211996384907,20510774928,1,1,"(0.7753990292549133, 0.06475815922021866)","(0.768539309501648, 0.0898582935333252)",1,1,2.5747833251953125,2.56085205078125,Fixation,POINT (0.7719691693782806 0.0773082263767719),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,actionPerformed,12725774,1211996393241,20510783262,1,1,"(0.7774349451065063, 0.0633765310049057)","(0.7773531675338745, 0.08770985156297684)",1,1,2.57177734375,2.55926513671875,Fixation,POINT (0.7773940563201904 0.0755431912839413),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,actionPerformed,12725774,1211996401574,20510791595,1,1,"(0.777728259563446, 0.07137923687696457)","(0.7791963815689087, 0.08250358700752258)",1,1,2.5769805908203125,2.5625152587890625,Fixation,POINT (0.7784623205661774 0.0769414119422436),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
