,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,boolean.0,add.0,Date.0,date.0,if.0,dates.0,contains.0,date.1,return.0,FALSE.0,boolean.1,added.0,=.0,FALSE.1,for.0,int.0,i.0,=.1,0.0,i.1,<.0,dates.1,size.0,&&.0,added.1,i.2,Date.1,nextDate.0,=.2,dates.2,get.0,i.3,if.1,date.2,before.0,nextDate.1,dates.3,add.1,i.4,date.3,added.2,=.3,TRUE.0,if.2,added.3,dates.4,add.2,date.4,return.1,TRUE.1,code,participant_summary
0,136,add,4114383,1210970969981,19485363999,1,1,"(0.6782099008560181, 0.25331345200538635)","(0.6926689147949219, 0.2082204669713974)",1,1,2.747055053710937,2.7023468017578125,,POINT (0.68543940782547 0.2307669594883919),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,add,4114383,1210970978321,19485372333,1,1,"(0.6787405014038086, 0.2592295706272125)","(0.6934623718261719, 0.199180468916893)",1,1,2.760650634765625,2.7039794921875,Fixation,POINT (0.6861014366149902 0.2292050197720528),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,add,4114383,1210970986660,19485380666,1,1,"(0.6824275255203247, 0.25369662046432495)","(0.6987333297729492, 0.20764774084091187)",1,1,2.7503662109375,2.6848297119140625,Fixation,POINT (0.690580427646637 0.2306721806526184),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,add,4114383,1210970994999,19485388999,1,1,"(0.6823531985282898, 0.24928323924541473)","(0.6947451233863831, 0.1965775191783905)",1,1,2.759140014648437,2.698822021484375,Fixation,POINT (0.6885491609573364 0.2229303792119026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,add,4114383,1210971003333,19485397333,1,1,"(0.6809699535369873, 0.2507018446922302)","(0.695140540599823, 0.19926273822784424)",1,1,2.751739501953125,2.6930084228515625,Fixation,POINT (0.6880552470684052 0.2249822914600372),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,add,4114383,1210971011667,19485405666,1,1,"(0.6791707873344421, 0.24901705980300903)","(0.6952552199363708, 0.2017531841993332)",1,1,2.742218017578125,2.6848297119140625,Fixation,POINT (0.6872130036354065 0.2253851220011711),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,add,4114383,1210971020001,19485413999,1,1,"(0.6827263832092285, 0.23416945338249207)","(0.6909258961677551, 0.2034849226474762)",1,1,2.74505615234375,2.697296142578125,Fixation,POINT (0.6868261396884918 0.2188271880149841),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,add,4114383,1210971028341,19485422338,1,1,"(0.6882224678993225, 0.20324261486530304)","(0.6925554275512695, 0.1993948221206665)",1,1,2.7458648681640625,2.6933746337890625,Fixation,POINT (0.690388947725296 0.2013187184929848),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,add,4114383,1210971036674,19485430671,1,1,"(0.6891224384307861, 0.20332704484462738)","(0.6932732462882996, 0.1980280876159668)",1,1,2.7433319091796875,2.6831207275390625,Fixation,POINT (0.6911978423595428 0.2006775662302971),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,add,4114383,1210971045008,19485439004,1,1,"(0.6876225471496582, 0.19659291207790375)","(0.6981467008590698, 0.2010832279920578)",1,1,2.72979736328125,2.6747283935546875,Fixation,POINT (0.692884624004364 0.1988380700349808),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
