,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,addPKColumn.0,String.0,aPKColName.0,throws.0,IllegalArgumentException.0,Column.0,col.0,=.0,Column.1,colMap.0,get.0,aPKColName.1,if.0,col.1,==.0,nan.0,throw.0,new.0,IllegalArgumentException.1,"""The column |"".100",+.0,aPKColName.2,+.1,"""| does not belong to the table |"".101",+.2,name.0,+.3,"""|"".0",pkColumns.0,add.0,col.2,code,participant_summary
0,136,addPKColumn,51577053,1211446221716,19960613956,1,1,"(0.9097529649734497, 0.4076029658317566)","(0.9192475080490112, 0.3862876892089844)",1,1,2.491424560546875,2.39190673828125,,POINT (0.9145002365112305 0.3969453275203705),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,addPKColumn,51577053,1211446230049,19960622289,1,1,"(0.9102288484573364, 0.4025726020336151)","(0.9278827905654907, 0.38361266255378723)",1,1,2.471420288085937,2.3669586181640625,Fixation,POINT (0.9190558195114136 0.3930926322937012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,addPKColumn,51577053,1211446238382,19960630622,1,1,"(0.9139501452445984, 0.39453551173210144)","(0.9297643303871155, 0.39701634645462036)",1,1,2.5024871826171875,2.3917236328125,Fixation,POINT (0.9218572378158569 0.3957759290933609),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,addPKColumn,51577053,1211446246716,19960638956,1,1,"(0.9127289652824402, 0.400867223739624)","(0.9253588318824768, 0.38640955090522766)",1,1,2.502716064453125,2.3678741455078125,Fixation,POINT (0.9190438985824585 0.3936383873224258),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,addPKColumn,51577053,1211446255049,19960647289,1,1,"(0.9079442620277405, 0.390705406665802)","(0.9241863489151001, 0.3908838629722595)",1,1,2.4801788330078125,2.34912109375,Fixation,POINT (0.9160653054714203 0.3907946348190308),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,addPKColumn,51577053,1211446263382,19960655622,1,1,"(0.911736011505127, 0.38548073172569275)","(0.9259904026985168, 0.39742210507392883)",1,1,2.473480224609375,2.37896728515625,Fixation,POINT (0.9188632071018219 0.3914514183998108),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,addPKColumn,51577053,1211446271717,19960663957,1,1,"(0.9108040928840637, 0.3977428674697876)","(0.9269084930419922, 0.3913845121860504)",1,1,2.48504638671875,2.3811187744140625,Fixation,POINT (0.918856292963028 0.394563689827919),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,addPKColumn,51577053,1211446280051,19960672291,1,1,"(0.9037877917289734, 0.387596070766449)","(0.9219927191734314, 0.4064165949821472)",1,1,2.485443115234375,2.362060546875,Fixation,POINT (0.9128902554512024 0.3970063328742981),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,addPKColumn,51577053,1211446288384,19960680624,1,1,"(0.9087179899215698, 0.38683971762657166)","(0.9309849143028259, 0.3887024521827698)",1,1,2.4931640625,2.366851806640625,Fixation,POINT (0.9198514521121979 0.3877710849046707),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,addPKColumn,51577053,1211446296718,19960688958,1,1,"(0.9137005805969238, 0.39377516508102417)","(0.9237399697303772, 0.3886316418647766)",1,1,2.486557006835937,2.394378662109375,Fixation,POINT (0.9187202751636505 0.3912034034729004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
