,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,clearFieldersFromField.0,// clear all fielders from field.200,for.0,int.0,i.0,=.0,0.0,i.1,<.0,boardXDimension.0,i.2,for.1,int.1,j.0,=.1,0.1,j.1,<.1,boardYDimension.0,j.2,for.2,int.2,a.0,=.2,0.2,a.1,<.2,boardZDimension.0,a.2,cricketFieldPositions.0,i.3,j.3,a.3,=.3,0.3,code,participant_summary
0,136,clearFieldersFromField,45147874,1212247411385,20761800402,1,1,"(0.6322793960571289, 0.1746920794248581)","(0.6331709623336792, 0.21728666126728058)",1,1,2.4856109619140625,2.4950714111328125,,POINT (0.632725179195404 0.1959893703460693),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,clearFieldersFromField,45147874,1212247419719,20761808736,1,1,"(0.6311118006706238, 0.16949009895324707)","(0.6338655948638916, 0.20830921828746796)",1,1,2.4822235107421875,2.5009002685546875,Fixation,POINT (0.6324886977672577 0.1888996586203575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,clearFieldersFromField,45147874,1212247428052,20761817069,1,1,"(0.6398003697395325, 0.16347317397594452)","(0.6297482848167419, 0.2018541544675827)",1,1,2.4842681884765625,2.486480712890625,Fixation,POINT (0.6347743272781372 0.1826636642217636),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,clearFieldersFromField,45147874,1212247436385,20761825402,1,1,"(0.6302514672279358, 0.1633552610874176)","(0.6301075220108032, 0.21312440931797028)",1,1,2.50262451171875,2.476806640625,Fixation,POINT (0.6301794946193695 0.1882398352026939),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,clearFieldersFromField,45147874,1212247444718,20761833735,1,1,"(0.6372550129890442, 0.14959126710891724)","(0.6356772184371948, 0.19751901924610138)",1,1,2.4851531982421875,2.4835357666015625,Fixation,POINT (0.6364661157131195 0.1735551431775093),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,clearFieldersFromField,45147874,1212247453053,20761842069,1,1,"(0.6333886384963989, 0.1598270982503891)","(0.626821756362915, 0.2252809852361679)",1,1,2.4840545654296875,2.4754180908203125,Fixation,POINT (0.630105197429657 0.1925540417432785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,clearFieldersFromField,45147874,1212247461389,20761850405,1,1,"(0.6394361257553101, 0.16046318411827087)","(0.6363583207130432, 0.20652395486831665)",1,1,2.484344482421875,2.46826171875,Fixation,POINT (0.6378972232341766 0.1834935694932938),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,clearFieldersFromField,45147874,1212247469724,20761858740,1,1,"(0.6346045136451721, 0.1575496345758438)","(0.6306962370872498, 0.21093665063381195)",1,1,2.4914093017578125,2.5045166015625,Fixation,POINT (0.6326503753662109 0.1842431426048279),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,clearFieldersFromField,45147874,1212247478058,20761867074,1,1,"(0.6373451352119446, 0.16350287199020386)","(0.6292638778686523, 0.21829110383987427)",1,1,2.492904663085937,2.4926910400390625,Fixation,POINT (0.6333045065402985 0.1908969879150391),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,clearFieldersFromField,45147874,1212247486391,20761875407,1,1,"(0.6384525895118713, 0.1569625288248062)","(0.639724850654602, 0.20794576406478882)",1,1,2.488754272460937,2.4897918701171875,Fixation,POINT (0.6390887200832367 0.1824541464447975),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
