,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,deleteCascade.0,VyhladavaciAlgoritmus.0,algorithm.0,//searcheds.0,getHibernateTemplate.0,bulkUpdate.0,"""DELETE Searched WHERE algorithm = ?"".100",new.0,Object.0,algorithm.1,//plans.0,getHibernateTemplate.1,bulkUpdate.1,"""DELETE SearchPlan WHERE algorithm = ?"".101",new.1,Object.1,algorithm.2,//prefs.0,getHibernateTemplate.2,bulkUpdate.2,"""DELETE SearchPrefs WHERE algorithm = ?"".102",new.2,Object.2,algorithm.3,//categories.0,getHibernateTemplate.3,bulkUpdate.3,"""DELETE SearchCategory WHERE algorithm = ?"".103",new.3,Object.3,algorithm.4,delete.0,algorithm.5,code,participant_summary
0,136,deleteCascade,34604973,1212154466086,20668855473,1,1,"(0.6754535436630249, 0.180874302983284)","(0.6782407760620117, 0.21245628595352173)",1,1,2.537216186523437,2.520248413085937,,POINT (0.6768471598625183 0.1966652944684029),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,deleteCascade,34604973,1212154474419,20668863806,1,1,"(0.6853017807006836, 0.18080173432826996)","(0.6743939518928528, 0.19230413436889648)",1,1,2.534408569335937,2.52593994140625,Fixation,POINT (0.6798478662967682 0.1865529343485832),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,deleteCascade,34604973,1212154482752,20668872139,1,1,"(0.6832960247993469, 0.18727754056453705)","(0.6685761213302612, 0.20869144797325134)",1,1,2.5383453369140625,2.496337890625,Fixation,POINT (0.6759360730648041 0.1979844942688942),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,deleteCascade,34604973,1212154491086,20668880473,1,1,"(0.684478759765625, 0.18019868433475494)","(0.67280113697052, 0.2043277472257614)",1,1,2.5288848876953125,2.474945068359375,Fixation,POINT (0.6786399483680725 0.1922632157802582),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,deleteCascade,34604973,1212154499419,20668888806,1,1,"(0.6865407824516296, 0.19435694813728333)","(0.6717265844345093, 0.2000163346529007)",1,1,2.49615478515625,2.499176025390625,Fixation,POINT (0.6791336834430695 0.197186641395092),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,deleteCascade,34604973,1212154507752,20668897139,1,1,"(0.6798981428146362, 0.1800786405801773)","(0.6764876842498779, 0.19804930686950684)",1,1,2.520965576171875,2.49371337890625,Fixation,POINT (0.6781929135322571 0.1890639737248421),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,deleteCascade,34604973,1212154516086,20668905473,1,1,"(0.6853827834129333, 0.1753939539194107)","(0.673478901386261, 0.2016163468360901)",1,1,2.5211181640625,2.497406005859375,Fixation,POINT (0.6794308423995972 0.1885051503777504),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,deleteCascade,34604973,1212154524426,20668913813,1,1,"(0.687168300151825, 0.18762937188148499)","(0.6739038825035095, 0.20011869072914124)",1,1,2.485443115234375,2.513824462890625,Fixation,POINT (0.6805360913276672 0.1938740313053131),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,deleteCascade,34604973,1212154532759,20668922146,1,1,"(0.6876103281974792, 0.1929812878370285)","(0.6749727725982666, 0.20678633451461792)",1,1,2.528717041015625,2.4905242919921875,Fixation,POINT (0.6812915503978729 0.1998838111758232),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,deleteCascade,34604973,1212154541093,20668930480,1,1,"(0.68666011095047, 0.16863372921943665)","(0.6706017255783081, 0.21365000307559967)",1,1,2.5228729248046875,2.481903076171875,Fixation,POINT (0.678630918264389 0.1911418661475182),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
