,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,boolean.0,equals.0,Object.0,obj.0,if.0,obj.1,==.0,nan.0,||.0,obj.2,getClass.0,!=.0,getClass.1,return.0,FALSE.0,CSSConditionalSelectorImpl.0,s.0,=.0,CSSConditionalSelectorImpl.1,obj.3,return.1,s.1,simpleSelector.0,equals.1,simpleSelector.1,&&.0,s.2,condition.0,equals.2,condition.1,code,participant_summary
0,136,equals,10222579,1211518274541,20032666488,1,1,"(0.7551277279853821, 0.12095765024423599)","(0.7606201171875, 0.15741011500358582)",1,1,2.348846435546875,2.327301025390625,,POINT (0.757873922586441 0.1391838826239109),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,equals,10222579,1211518282874,20032674821,1,1,"(0.7474077343940735, 0.12643671035766602)","(0.7496455907821655, 0.15695711970329285)",1,1,2.3649139404296875,2.3059234619140625,Fixation,POINT (0.7485266625881195 0.1416969150304794),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,equals,10222579,1211518291208,20032683155,1,1,"(0.7560098171234131, 0.12170971184968948)","(0.7566569447517395, 0.16053590178489685)",1,1,2.36578369140625,2.2974853515625,Fixation,POINT (0.7563333809375763 0.1411228068172932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,equals,10222579,1211518299533,20032691480,1,1,"(0.7442318797111511, 0.1378960907459259)","(0.7552055716514587, 0.15222132205963135)",1,1,2.355499267578125,2.3189239501953125,Fixation,POINT (0.7497187256813049 0.1450587064027786),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,equals,10222579,1211518307866,20032699813,1,1,"(0.757900595664978, 0.12297726422548294)","(0.7554845809936523, 0.16035117208957672)",1,1,2.34539794921875,2.3323516845703125,Fixation,POINT (0.7566925883293152 0.1416642181575298),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,equals,10222579,1211518316199,20032708146,1,1,"(0.7429381012916565, 0.12380079180002213)","(0.7546843886375427, 0.15603888034820557)",1,1,2.357208251953125,2.3100128173828125,Fixation,POINT (0.7488112449645996 0.1399198360741138),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,equals,10222579,1211518324533,20032716480,1,1,"(0.7563642859458923, 0.1235111802816391)","(0.7547966241836548, 0.16874423623085022)",1,1,2.3616943359375,2.31878662109375,Fixation,POINT (0.7555804550647736 0.1461277082562447),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,equals,10222579,1211518332866,20032724813,1,1,"(0.7480846643447876, 0.13237108290195465)","(0.7613921761512756, 0.16573075950145721)",1,1,2.36871337890625,2.3141326904296875,Fixation,POINT (0.7547384202480316 0.1490509212017059),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,equals,10222579,1211518341199,20032733146,1,1,"(0.7552511096000671, 0.13056594133377075)","(0.7500090003013611, 0.14642898738384247)",1,1,2.374725341796875,2.31231689453125,Fixation,POINT (0.7526300549507141 0.1384974643588066),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,equals,10222579,1211518349533,20032741480,1,1,"(0.750058114528656, 0.14334824681282043)","(0.7594730854034424, 0.1639091670513153)",1,1,2.3632049560546875,2.29986572265625,Fixation,POINT (0.7547655999660492 0.1536287069320679),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,equals,10222579,1211518357866,20032749813,1,1,"(0.7506565451622009, 0.14644257724285126)","(0.7552093863487244, 0.1643516570329666)",1,1,2.319427490234375,2.2889404296875,Fixation,POINT (0.7529329657554626 0.1553971171379089),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,equals,10222579,1211518366208,20032758155,1,1,"(0.7526217103004456, 0.1408146470785141)","(0.7537893652915955, 0.1582748144865036)",1,1,2.33709716796875,2.304534912109375,Fixation,POINT (0.7532055377960205 0.1495447307825088),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,equals,10222579,1211518374533,20032766480,1,1,"(0.7465225458145142, 0.13918672502040863)","(0.7580934762954712, 0.15412555634975433)",1,1,2.3404541015625,2.277572631835937,Fixation,POINT (0.7523080110549927 0.1466561406850815),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,equals,10222579,1211518382866,20032774813,1,1,"(0.7542238831520081, 0.13430528342723846)","(0.7541190981864929, 0.16353103518486023)",1,1,2.349349975585937,2.2976226806640625,Fixation,POINT (0.7541714906692505 0.1489181593060494),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,equals,10222579,1211518391199,20032783146,1,1,"(0.738548994064331, 0.14267423748970032)","(0.755724310874939, 0.1669292151927948)",1,1,2.3460845947265625,2.3233642578125,Fixation,POINT (0.747136652469635 0.1548017263412476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,equals,10222579,1211518399533,20032791480,1,1,"(0.754494309425354, 0.13217711448669434)","(0.7586758136749268, 0.16883128881454468)",1,1,2.3362579345703125,2.3168487548828125,Fixation,POINT (0.7565850615501404 0.1505042016506195),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,equals,10222579,1211518407875,20032799821,1,1,"(0.7502550482749939, 0.13360333442687988)","(0.7539635896682739, 0.15573766827583313)",1,1,2.3448944091796875,2.30059814453125,Fixation,POINT (0.7521093189716339 0.1446705013513565),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,equals,10222579,1211518416208,20032808154,1,1,"(0.7470239996910095, 0.1320679783821106)","(0.7556222677230835, 0.15104037523269653)",1,1,2.338714599609375,2.29998779296875,Fixation,POINT (0.7513231337070465 0.1415541768074036),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,equals,10222579,1211518424541,20032816487,1,1,"(0.7529642581939697, 0.14435884356498718)","(0.7609612941741943, 0.1491883099079132)",1,1,2.3463134765625,2.2992706298828125,Fixation,POINT (0.756962776184082 0.1467735767364502),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
