,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,Command.0,getBackCommand2.0,if.0,backCommand2.0,==.0,nan.0,//GEN_END: | 233-getter | 0 | 233-preInit.200,// write pre-init user code here.201,backCommand2.1,=.0,new.0,Command.1,"""OK"".0",Command.2,BACK.0,0.0,//GEN-LINE:| | 233-getter | 1 | 233-postInit.202,// write post-init user code here.203,//GEN-BEGIN:| | 233-getter | 2 |.204,return.0,backCommand2.2,code,participant_summary
0,136,getBackCommand2,40865212,1212579132711,21093520383,1,1,"(0.883586585521698, 0.14260393381118774)","(0.8792153000831604, 0.16846036911010742)",1,1,2.489166259765625,2.4128875732421875,,POINT (0.8814009428024292 0.1555321514606476),,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand2,40865212,1212579141045,21093528717,1,1,"(0.8803818821907043, 0.1604599505662918)","(0.8760432004928589, 0.1724146604537964)",1,1,2.504119873046875,2.4060211181640625,Fixation,POINT (0.8782125413417816 0.1664373055100441),,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand2,40865212,1212579216049,21093603721,1,1,"(0.29056984186172485, 0.12551294267177582)","(0.3000946044921875, 0.1700666844844818)",1,1,2.408676147460937,2.557723999023437,Fixation,POINT (0.2953322231769562 0.1477898135781288),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getBackCommand2,40865212,1212579224383,21093612055,1,1,"(0.29274553060531616, 0.12373161315917969)","(0.3019579350948334, 0.16835735738277435)",1,1,2.435531616210937,2.5497589111328125,Fixation,POINT (0.2973517328500748 0.146044485270977),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getBackCommand2,40865212,1212579232716,21093620388,1,1,"(0.28849467635154724, 0.13365532457828522)","(0.29210275411605835, 0.15975020825862885)",1,1,2.422576904296875,2.5310821533203125,Fixation,POINT (0.2902987152338028 0.146702766418457),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getBackCommand2,40865212,1212579241049,21093628721,1,1,"(0.2905730903148651, 0.1447361707687378)","(0.2880473732948303, 0.15963304042816162)",1,1,2.444671630859375,2.5444793701171875,Fixation,POINT (0.2893102318048477 0.1521846055984497),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getBackCommand2,40865212,1212579249383,21093637055,1,1,"(0.2923888862133026, 0.14450542628765106)","(0.28914758563041687, 0.16174015402793884)",1,1,2.4347686767578125,2.521469116210937,Fixation,POINT (0.2907682359218597 0.153122790157795),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getBackCommand2,40865212,1212579257716,21093645388,1,1,"(0.2916346490383148, 0.14892472326755524)","(0.2928690016269684, 0.17130926251411438)",1,1,2.407928466796875,2.513427734375,Fixation,POINT (0.2922518253326416 0.1601169928908348),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getBackCommand2,40865212,1212579266049,21093653721,1,1,"(0.2840486466884613, 0.13656949996948242)","(0.29000136256217957, 0.16487443447113037)",1,1,2.43304443359375,2.529083251953125,Fixation,POINT (0.2870250046253204 0.1507219672203064),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getBackCommand2,40865212,1212579274383,21093662055,1,1,"(0.2874654531478882, 0.14728902280330658)","(0.2888050675392151, 0.16911554336547852)",1,1,2.4271392822265625,2.5272216796875,Fixation,POINT (0.2881352603435516 0.1582022830843926),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getBackCommand2,40865212,1212579282716,21093670388,1,1,"(0.29397276043891907, 0.13956405222415924)","(0.2859039902687073, 0.1693221777677536)",1,1,2.425277709960937,2.524642944335937,Fixation,POINT (0.2899383753538132 0.1544431149959564),,,,,,,,,,,,,,,,,,,,,,,1,
