,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,WebImage.0,getImageWithSource.0,String.0,source.0,WebImage.1,images.0,=.0,getImages.0,for.0,int.0,i.0,=.1,0.0,i.1,<.0,images.1,length.0,i.2,if.0,HttpUnitUtils.0,matches.0,source.1,images.2,i.3,].0,getSource.0,return.0,images.3,i.4,return.1,nan.0,code,participant_summary
0,136,getImageWithSource,1782360,1212425776717,20940164998,1,1,"(0.6925796866416931, 0.170253187417984)","(0.6891480684280396, 0.16817618906497955)",1,1,2.3606719970703125,2.25616455078125,,POINT (0.6908638775348663 0.1692146882414818),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212425785058,20940173339,1,1,"(0.6930081248283386, 0.17184241116046906)","(0.6812533140182495, 0.15350782871246338)",1,1,2.3401641845703125,2.2375030517578125,Fixation,POINT (0.6871307194232941 0.1626751199364662),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212425793392,20940181673,1,1,"(0.6893916130065918, 0.17996498942375183)","(0.6878979206085205, 0.16371981799602509)",1,1,2.332870483398437,2.233505249023437,Fixation,POINT (0.6886447668075562 0.1718424037098885),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212425801725,20940190006,1,1,"(0.6849550604820251, 0.18237781524658203)","(0.6905223727226257, 0.14819683134555817)",1,1,2.330657958984375,2.2602996826171875,Fixation,POINT (0.6877387166023254 0.1652873232960701),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212425810050,20940198331,1,1,"(0.6853346228599548, 0.17822137475013733)","(0.6892170310020447, 0.16283340752124786)",1,1,2.35284423828125,2.26788330078125,Fixation,POINT (0.6872758269309998 0.1705273911356926),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212425818383,20940206664,1,1,"(0.6862596869468689, 0.1694020926952362)","(0.6850634813308716, 0.16950882971286774)",1,1,2.3385162353515625,2.2410888671875,Fixation,POINT (0.6856615841388702 0.169455461204052),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212425826717,20940214998,1,1,"(0.6851088404655457, 0.15368831157684326)","(0.6886703968048096, 0.17125539481639862)",1,1,2.35369873046875,2.2569732666015625,Fixation,POINT (0.6868896186351776 0.1624718531966209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212425835050,20940223331,1,1,"(0.685567319393158, 0.1589212417602539)","(0.6820208430290222, 0.17574375867843628)",1,1,2.3481597900390625,2.257720947265625,Fixation,POINT (0.6837940812110901 0.1673325002193451),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212425843383,20940231664,1,1,"(0.6877688765525818, 0.1791975349187851)","(0.6884691715240479, 0.17658217251300812)",1,1,2.3506011962890625,2.248779296875,Fixation,POINT (0.6881190240383148 0.1778898537158966),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212425851721,20940240002,1,1,"(0.6893468499183655, 0.1769583523273468)","(0.6839434504508972, 0.16157574951648712)",1,1,2.3639373779296875,2.2473602294921875,Fixation,POINT (0.6866451501846313 0.169267050921917),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212425860054,20940248335,1,1,"(0.6888798475265503, 0.18152353167533875)","(0.6916678547859192, 0.16961514949798584)",1,1,2.3586883544921875,2.28387451171875,Fixation,POINT (0.6902738511562347 0.1755693405866623),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212425868387,20940256668,1,1,"(0.691582441329956, 0.16936813294887543)","(0.6882443428039551, 0.17834925651550293)",1,1,2.3707427978515625,2.2519683837890625,Fixation,POINT (0.6899133920669556 0.1738586947321892),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212425876721,20940265002,1,1,"(0.6849129796028137, 0.16303853690624237)","(0.6864365339279175, 0.1768449991941452)",1,1,2.37042236328125,2.250701904296875,Fixation,POINT (0.6856747567653656 0.1699417680501938),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212425885055,20940273336,1,1,"(0.6913082003593445, 0.1738685518503189)","(0.6854147911071777, 0.16589224338531494)",1,1,2.370452880859375,2.272705078125,Fixation,POINT (0.6883614957332611 0.1698803976178169),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212425893388,20940281669,1,1,"(0.6901596784591675, 0.17489194869995117)","(0.6881749629974365, 0.1803400069475174)",1,1,2.367782592773437,2.257354736328125,Fixation,POINT (0.689167320728302 0.1776159778237343),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
