,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,private.0,String.0,getUserNameFromCookie.0,throws.0,Exception.0,String.1,userName.0,=.0,nan.0,// get user name.200,Cookie.0,cookies.0,=.1,servletRequest.0,getCookies.0,for.0,int.0,i.0,=.2,0.0,i.1,<.0,cookies.1,length.0,i.2,Cookie.1,cookie.0,=.3,cookies.2,i.3,if.0,cookie.1,!=.0,nan.1,&&.0,cookie.2,getName.0,equals.0,"""platform.username"".0",String.2,value.0,=.4,cookie.3,getValue.0,userName.1,=.5,DesEncrypter.0,getInstance.0,decrypt.0,value.1,break.0,return.0,userName.2,code,participant_summary
0,136,getUserNameFromCookie,1694531,1212384075112,20898463535,1,1,"(0.645013153553009, 0.18640834093093872)","(0.6640132069587708, 0.21492211520671844)",1,1,2.561126708984375,2.5028076171875,,POINT (0.6545131802558899 0.2006652280688286),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384083445,20898471868,1,1,"(0.6483601331710815, 0.21184022724628448)","(0.65464848279953, 0.2309749871492386)",1,1,2.5384521484375,2.5242156982421875,Fixation,POINT (0.6515043079853058 0.2214076071977615),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384091779,20898480202,1,1,"(0.6498377919197083, 0.19230210781097412)","(0.6583605408668518, 0.20262359082698822)",1,1,2.527816772460937,2.51055908203125,Fixation,POINT (0.65409916639328 0.1974628493189812),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384100111,20898488534,1,1,"(0.6539905667304993, 0.1846168339252472)","(0.6559833884239197, 0.21901902556419373)",1,1,2.541244506835937,2.5035400390625,Fixation,POINT (0.6549869775772095 0.2018179297447205),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384108445,20898496868,1,1,"(0.6557546257972717, 0.20336587727069855)","(0.6515515446662903, 0.20715604722499847)",1,1,2.574127197265625,2.5189208984375,Fixation,POINT (0.653653085231781 0.2052609622478485),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384116779,20898505202,1,1,"(0.6527366042137146, 0.19682158529758453)","(0.6478080749511719, 0.22164002060890198)",1,1,2.5358123779296875,2.5171356201171875,Fixation,POINT (0.6502723395824432 0.2092308029532433),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384125111,20898513534,1,1,"(0.6552523970603943, 0.19030329585075378)","(0.6538048386573792, 0.21096163988113403)",1,1,2.546478271484375,2.5192413330078125,Fixation,POINT (0.6545286178588867 0.2006324678659439),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384133445,20898521868,1,1,"(0.6523738503456116, 0.18883655965328217)","(0.6539409160614014, 0.21734865009784698)",1,1,2.5678253173828125,2.492584228515625,Fixation,POINT (0.6531573832035065 0.2030926048755646),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384141779,20898530202,1,1,"(0.6583620309829712, 0.2051447480916977)","(0.6544668674468994, 0.20601122081279755)",1,1,2.54376220703125,2.5005340576171875,Fixation,POINT (0.6564144492149353 0.2055779844522476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384150111,20898538534,1,1,"(0.6583083868026733, 0.20168574154376984)","(0.6612882018089294, 0.2194674015045166)",1,1,2.54534912109375,2.5243682861328125,Fixation,POINT (0.6597982943058014 0.2105765715241432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384158444,20898546867,1,1,"(0.6544906497001648, 0.1909555345773697)","(0.6587648987770081, 0.22403572499752045)",1,1,2.527938842773437,2.5012664794921875,Fixation,POINT (0.6566277742385864 0.2074956297874451),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384166779,20898555201,1,1,"(0.651211678981781, 0.19510392844676971)","(0.6518717408180237, 0.22551466524600983)",1,1,2.549301147460937,2.48345947265625,Fixation,POINT (0.6515417098999023 0.2103092968463898),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384175118,20898563540,1,1,"(0.6605302691459656, 0.183659166097641)","(0.6610338687896729, 0.21723246574401855)",1,1,2.55682373046875,2.522003173828125,Fixation,POINT (0.6607820689678192 0.2004458159208298),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384183451,20898571873,1,1,"(0.6525223851203918, 0.20496252179145813)","(0.6510599255561829, 0.21126514673233032)",1,1,2.5424957275390625,2.50042724609375,Fixation,POINT (0.6517911553382874 0.2081138342618942),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384191785,20898580207,1,1,"(0.6548186540603638, 0.2048444151878357)","(0.6646847724914551, 0.21130700409412384)",1,1,2.527191162109375,2.489898681640625,Fixation,POINT (0.6597517132759094 0.2080757096409798),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384200118,20898588540,1,1,"(0.656399667263031, 0.21759240329265594)","(0.647316038608551, 0.21356917917728424)",1,1,2.543197631835937,2.5020751953125,Fixation,POINT (0.651857852935791 0.2155807912349701),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384208451,20898596873,1,1,"(0.6538109183311462, 0.19083884358406067)","(0.6655876636505127, 0.21740390360355377)",1,1,2.5272216796875,2.4970703125,Fixation,POINT (0.6596992909908295 0.2041213735938072),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384216785,20898605207,1,1,"(0.6536406874656677, 0.18273508548736572)","(0.6573818325996399, 0.21372783184051514)",1,1,2.538238525390625,2.5006103515625,Fixation,POINT (0.6555112600326538 0.1982314586639404),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384225118,20898613540,1,1,"(0.6592427492141724, 0.1874828040599823)","(0.6540189981460571, 0.2195829302072525)",1,1,2.5287628173828125,2.4816436767578125,Fixation,POINT (0.6566308736801147 0.2035328671336174),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384233451,20898621873,1,1,"(0.6496113538742065, 0.2066536396741867)","(0.6602277159690857, 0.22222784161567688)",1,1,2.526458740234375,2.4709625244140625,Fixation,POINT (0.6549195349216461 0.2144407406449318),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384241785,20898630207,1,1,"(0.6549692749977112, 0.20690493285655975)","(0.6563066840171814, 0.21551769971847534)",1,1,2.514068603515625,2.4856109619140625,Fixation,POINT (0.6556379795074463 0.2112113162875176),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384250118,20898638540,1,1,"(0.6532116532325745, 0.20457348227500916)","(0.6536242365837097, 0.21506397426128387)",1,1,2.525497436523437,2.489959716796875,Fixation,POINT (0.6534179449081421 0.2098187282681465),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384258451,20898646873,1,1,"(0.6523510217666626, 0.1880646049976349)","(0.6629552841186523, 0.2183973491191864)",1,1,2.5221405029296875,2.491195678710937,Fixation,POINT (0.6576531529426575 0.2032309770584106),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384266785,20898655207,1,1,"(0.6593487858772278, 0.18816396594047546)","(0.6533021926879883, 0.22456538677215576)",1,1,2.5136260986328125,2.4878387451171875,Fixation,POINT (0.656325489282608 0.2063646763563156),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384275118,20898663540,1,1,"(0.6464045643806458, 0.19629471004009247)","(0.6611467599868774, 0.22360821068286896)",1,1,2.504608154296875,2.510116577148437,Fixation,POINT (0.6537756621837616 0.2099514603614807),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384283451,20898671873,1,1,"(0.6570478677749634, 0.21570062637329102)","(0.6522871255874634, 0.21458914875984192)",1,1,2.521392822265625,2.5013580322265625,Fixation,POINT (0.6546674966812134 0.2151448875665665),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384291785,20898680207,1,1,"(0.6544729471206665, 0.19472186267375946)","(0.6556500792503357, 0.20062236487865448)",1,1,2.5214385986328125,2.4847412109375,Fixation,POINT (0.6550615131855011 0.197672113776207),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384300121,20898688543,1,1,"(0.6509844660758972, 0.19603309035301208)","(0.6525401473045349, 0.19521847367286682)",1,1,2.5220184326171875,2.4839019775390625,Fixation,POINT (0.6517623066902161 0.1956257820129394),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384308454,20898696876,1,1,"(0.6545907855033875, 0.19398076832294464)","(0.6585682034492493, 0.20746177434921265)",1,1,2.518768310546875,2.454208374023437,Fixation,POINT (0.6565794944763184 0.2007212713360786),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384316788,20898705210,1,1,"(0.6513161659240723, 0.20163950324058533)","(0.6660245060920715, 0.21628452837467194)",1,1,2.501922607421875,2.47576904296875,Fixation,POINT (0.6586703360080719 0.2089620158076286),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384325121,20898713543,1,1,"(0.652166485786438, 0.21006539463996887)","(0.6629589200019836, 0.2202463448047638)",1,1,2.5164947509765625,2.4522247314453125,Fixation,POINT (0.6575627028942108 0.2151558697223663),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384333454,20898721876,1,1,"(0.6555496454238892, 0.21254470944404602)","(0.6548328399658203, 0.22758066654205322)",1,1,2.5018310546875,2.47052001953125,Fixation,POINT (0.6551912426948547 0.2200626879930496),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384341788,20898730210,1,1,"(0.6537986397743225, 0.2038973718881607)","(0.6562721133232117, 0.21823042631149292)",1,1,2.5041656494140625,2.45709228515625,Fixation,POINT (0.6550353765487671 0.2110638990998268),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384350121,20898738543,1,1,"(0.6583475470542908, 0.18188747763633728)","(0.6597374677658081, 0.2271002233028412)",1,1,2.50347900390625,2.4664306640625,Fixation,POINT (0.6590425074100494 0.2044938504695892),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384358454,20898746876,1,1,"(0.6542969942092896, 0.19445088505744934)","(0.6552060842514038, 0.21540647745132446)",1,1,2.511871337890625,2.4622955322265625,Fixation,POINT (0.6547515392303467 0.2049286812543869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384366788,20898755210,1,1,"(0.6556845903396606, 0.19265075027942657)","(0.6613098382949829, 0.2234007716178894)",1,1,2.508514404296875,2.464584350585937,Fixation,POINT (0.6584972143173218 0.208025760948658),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384375121,20898763543,1,1,"(0.6544427275657654, 0.19027520716190338)","(0.6498733162879944, 0.22443826496601105)",1,1,2.5138702392578125,2.4414520263671875,Fixation,POINT (0.6521580219268799 0.2073567360639572),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384383454,20898771876,1,1,"(0.6546735167503357, 0.1923811435699463)","(0.6540778875350952, 0.21837365627288818)",1,1,2.5164337158203125,2.43701171875,Fixation,POINT (0.6543757021427155 0.2053773999214172),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384391789,20898780210,1,1,"(0.6558801531791687, 0.2060207575559616)","(0.661047101020813, 0.2124752253293991)",1,1,2.5016632080078125,2.4735870361328125,Fixation,POINT (0.6584636270999908 0.2092479914426804),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
