,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,private.0,void.0,goToRegistration.0,m_logo.0,setVisible.0,FALSE.0,m_login.0,setText.0,"""Cancel"".0",m_userLabel.0,setLocation.0,16.0,4.0,m_username.0,setLocation.1,16.1,24.0,m_passLabel.0,setLocation.2,16.2,52.0,m_password.0,setLocation.3,16.3,70.0,m_confirmPass.0,setVisible.1,TRUE.0,m_confPassLabel.0,setVisible.2,TRUE.1,m_male.0,setVisible.3,TRUE.2,m_female.0,setVisible.4,TRUE.3,this.0,setTitle.0,"""Registration"".0",code,participant_summary
0,136,goToRegistration,47570692,1211197037023,19711430225,1,1,"(0.8991422653198242, 0.3589574694633484)","(0.8951380848884583, 0.37406057119369507)",1,1,2.639556884765625,2.6591339111328125,,POINT (0.8971401751041412 0.3665090203285217),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197045356,19711438558,1,1,"(0.8940757513046265, 0.35259899497032166)","(0.8875874876976013, 0.3933326005935669)",1,1,2.681137084960937,2.662261962890625,Fixation,POINT (0.8908316195011139 0.3729657977819443),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197053689,19711446891,1,1,"(0.8972449898719788, 0.3604647219181061)","(0.8982604742050171, 0.3749307692050934)",1,1,2.6629180908203125,2.6629180908203125,Fixation,POINT (0.8977527320384979 0.3676977455615997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197062023,19711455225,1,1,"(0.8959512114524841, 0.35732847452163696)","(0.890040934085846, 0.3738973140716553)",1,1,2.6737213134765625,2.6486358642578125,Fixation,POINT (0.892996072769165 0.3656128942966461),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197070356,19711463558,1,1,"(0.8964888453483582, 0.36751800775527954)","(0.8919737339019775, 0.38410714268684387)",1,1,2.679595947265625,2.6721954345703125,Fixation,POINT (0.8942312896251678 0.3758125752210617),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197078689,19711471891,1,1,"(0.9030254483222961, 0.3661917448043823)","(0.9002352952957153, 0.3823324143886566)",1,1,2.6817626953125,2.661346435546875,Fixation,POINT (0.9016303718090057 0.3742620795965195),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197087023,19711480225,1,1,"(0.8947123289108276, 0.3797338902950287)","(0.8893473744392395, 0.39131996035575867)",1,1,2.690765380859375,2.674774169921875,Fixation,POINT (0.8920298516750336 0.3855269253253937),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197095356,19711488558,1,1,"(0.892890214920044, 0.3669055700302124)","(0.8951622843742371, 0.3819594979286194)",1,1,2.662628173828125,2.676544189453125,Fixation,POINT (0.8940262496471405 0.3744325339794159),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197103689,19711496891,1,1,"(0.8971183896064758, 0.3638172447681427)","(0.8967785239219666, 0.38962143659591675)",1,1,2.6848602294921875,2.67071533203125,Fixation,POINT (0.8969484567642212 0.3767193406820297),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197112023,19711505225,1,1,"(0.8985434174537659, 0.3666556179523468)","(0.8899287581443787, 0.38474857807159424)",1,1,2.6729888916015625,2.6612701416015625,Fixation,POINT (0.8942360877990723 0.3757020980119705),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197120356,19711513558,1,1,"(0.895121157169342, 0.35297539830207825)","(0.8931082487106323, 0.38701286911964417)",1,1,2.6846923828125,2.683135986328125,Fixation,POINT (0.8941147029399872 0.3699941337108612),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197128689,19711521891,1,1,"(0.8986570835113525, 0.3496924042701721)","(0.8949949145317078, 0.39457976818084717)",1,1,2.6748046875,2.67291259765625,Fixation,POINT (0.8968259990215302 0.3721360862255096),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197137031,19711530233,1,1,"(0.9008805751800537, 0.35680314898490906)","(0.8932206630706787, 0.3845859467983246)",1,1,2.6786041259765625,2.67181396484375,Fixation,POINT (0.8970506191253662 0.3706945478916168),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197145364,19711538566,1,1,"(0.8985337615013123, 0.3607109785079956)","(0.8887203931808472, 0.39200979471206665)",1,1,2.6855926513671875,2.660888671875,Fixation,POINT (0.8936270773410797 0.3763603866100311),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197153697,19711546899,1,1,"(0.8969922661781311, 0.3666550815105438)","(0.8908637166023254, 0.38705161213874817)",1,1,2.68896484375,2.6786346435546875,Fixation,POINT (0.8939279913902283 0.376853346824646),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197162031,19711555233,1,1,"(0.8957024216651917, 0.37107157707214355)","(0.8937729597091675, 0.39393967390060425)",1,1,2.686264038085937,2.692657470703125,Fixation,POINT (0.8947376906871796 0.3825056254863739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197170365,19711563566,1,1,"(0.8983791470527649, 0.3729860186576843)","(0.898461639881134, 0.39149364829063416)",1,1,2.674667358398437,2.6855010986328125,Fixation,POINT (0.8984203934669495 0.3822398334741592),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197178698,19711571899,1,1,"(0.8956314325332642, 0.37688180804252625)","(0.8860235214233398, 0.38954734802246094)",1,1,2.6996307373046875,2.702133178710937,Fixation,POINT (0.890827476978302 0.3832145780324936),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197220365,19711613566,1,1,"(0.6941680908203125, 0.20726951956748962)","(0.6952151656150818, 0.22950604557991028)",1,1,2.6576690673828125,2.76690673828125,Fixation,POINT (0.6946916282176971 0.2183877825737),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197228698,19711621899,1,1,"(0.6935747265815735, 0.20574703812599182)","(0.6907587051391602, 0.23542918264865875)",1,1,2.67938232421875,2.74835205078125,Fixation,POINT (0.6921667158603668 0.2205881103873253),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197237032,19711630233,1,1,"(0.6902241110801697, 0.19247086346149445)","(0.6880506873130798, 0.2295927256345749)",1,1,2.686187744140625,2.76531982421875,Fixation,POINT (0.6891373991966248 0.2110317945480347),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197245365,19711638566,1,1,"(0.6932850480079651, 0.1972668170928955)","(0.6857628226280212, 0.22338451445102692)",1,1,2.6868438720703125,2.748641967773437,Fixation,POINT (0.6895239353179932 0.2103256657719612),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197253698,19711646899,1,1,"(0.6939464211463928, 0.19557276368141174)","(0.6873089075088501, 0.20809349417686462)",1,1,2.669830322265625,2.732696533203125,Fixation,POINT (0.6906276643276215 0.2018331289291382),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197262032,19711655233,1,1,"(0.6962946653366089, 0.19899383187294006)","(0.6832398772239685, 0.22692549228668213)",1,1,2.671981811523437,2.7462158203125,Fixation,POINT (0.6897672712802887 0.2129596620798111),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197270369,19711663570,1,1,"(0.6962098479270935, 0.20432567596435547)","(0.679176390171051, 0.22949478030204773)",1,1,2.690765380859375,2.751007080078125,Fixation,POINT (0.6876931190490723 0.2169102281332016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197278702,19711671903,1,1,"(0.6923626661300659, 0.21955318748950958)","(0.6807060837745667, 0.2225549966096878)",1,1,2.6836395263671875,2.75433349609375,Fixation,POINT (0.6865343749523163 0.2210540920495987),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197287036,19711680237,1,1,"(0.6908600330352783, 0.24314160645008087)","(0.6766047477722168, 0.21759092807769775)",1,1,2.689926147460937,2.7436065673828125,Fixation,POINT (0.6837323904037476 0.2303662672638893),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197295370,19711688570,1,1,"(0.6893835663795471, 0.2575318217277527)","(0.6787475347518921, 0.2050071507692337)",1,1,2.66082763671875,2.76043701171875,Fixation,POINT (0.6840655505657196 0.2312694862484932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197303703,19711696903,1,1,"(0.6923384666442871, 0.2296438068151474)","(0.6813757419586182, 0.20632381737232208)",1,1,2.673568725585937,2.738388061523437,Fixation,POINT (0.6868571043014526 0.2179838120937347),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197312037,19711705237,1,1,"(0.69417405128479, 0.2107640653848648)","(0.6868621706962585, 0.21034948527812958)",1,1,2.662094116210937,2.746307373046875,Fixation,POINT (0.6905181109905243 0.2105567753314972),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197320370,19711713570,1,1,"(0.6927845478057861, 0.20389370620250702)","(0.6864046454429626, 0.21091865003108978)",1,1,2.6658172607421875,2.741973876953125,Fixation,POINT (0.6895945966243744 0.2074061781167984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197328703,19711721903,1,1,"(0.6918655633926392, 0.19200022518634796)","(0.6855327486991882, 0.21117718517780304)",1,1,2.669708251953125,2.7323455810546875,Fixation,POINT (0.6886991560459137 0.2015887051820755),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197337037,19711730237,1,1,"(0.6926097273826599, 0.18234629929065704)","(0.6871739625930786, 0.21855983138084412)",1,1,2.67132568359375,2.731170654296875,Fixation,POINT (0.6898918449878693 0.2004530653357506),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197345370,19711738570,1,1,"(0.6938230991363525, 0.17265133559703827)","(0.6870339512825012, 0.22283382713794708)",1,1,2.6798858642578125,2.73284912109375,Fixation,POINT (0.6904285252094269 0.1977425813674927),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197353703,19711746903,1,1,"(0.6906604766845703, 0.17535598576068878)","(0.6869293451309204, 0.22011728584766388)",1,1,2.6558380126953125,2.72314453125,Fixation,POINT (0.6887949109077454 0.1977366358041763),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197362037,19711755237,1,1,"(0.6929642558097839, 0.1730065494775772)","(0.6881316304206848, 0.2176239788532257)",1,1,2.650253295898437,2.7105255126953125,Fixation,POINT (0.6905479431152344 0.1953152641654015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197370370,19711763570,1,1,"(0.6938297748565674, 0.16343240439891815)","(0.6865206360816956, 0.22526130080223083)",1,1,2.6549835205078125,2.718170166015625,Fixation,POINT (0.6901752054691315 0.1943468526005745),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197378703,19711771903,1,1,"(0.6931936144828796, 0.1683494597673416)","(0.6860833764076233, 0.2238391935825348)",1,1,2.6539764404296875,2.72650146484375,Fixation,POINT (0.6896384954452515 0.1960943266749382),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197387037,19711780237,1,1,"(0.6933716535568237, 0.17032992839813232)","(0.6848376989364624, 0.2144479751586914)",1,1,2.6621856689453125,2.7245025634765625,Fixation,POINT (0.6891046762466431 0.1923889517784119),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197395370,19711788570,1,1,"(0.6965191960334778, 0.17596693336963654)","(0.6865283846855164, 0.22313757240772247)",1,1,2.66339111328125,2.7196807861328125,Fixation,POINT (0.6915237903594971 0.1995522528886795),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197403709,19711796909,1,1,"(0.6886759996414185, 0.17492984235286713)","(0.6883469223976135, 0.22006076574325562)",1,1,2.66058349609375,2.7061309814453125,Fixation,POINT (0.688511461019516 0.1974953040480614),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197412043,19711805243,1,1,"(0.6895896792411804, 0.168012335896492)","(0.6894505023956299, 0.22083599865436554)",1,1,2.6436767578125,2.7188262939453125,Fixation,POINT (0.6895200908184052 0.1944241672754288),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197420376,19711813576,1,1,"(0.6951537728309631, 0.1668761819601059)","(0.6870669722557068, 0.2186269313097)",1,1,2.647323608398437,2.698577880859375,Fixation,POINT (0.691110372543335 0.192751556634903),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
