,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,invalidateSession.0,String.0,uid.0,String.1,sid.0,cat.0,debug.0,"""==> invalidateSession "".100",+.0,String.2,valueOf.0,uid.1,+.1,""", "".0",+.2,String.3,valueOf.1,sid.1,+.3,""")"".0",synchronized.0,lock.0,uid2sid.0,remove.0,uid.2,sid2ssc.0,remove.1,sid.2,sid2ttl.0,remove.2,sid.3,cat.1,debug.1,"""<== invalidateSession()"".101",code,participant_summary
0,136,invalidateSession,18354735,1211971667244,20486057393,1,1,"(0.5911926627159119, 0.29495152831077576)","(0.6110213398933411, 0.3206506073474884)",1,1,2.644927978515625,2.645782470703125,,POINT (0.6011070013046265 0.3078010678291321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971700616,20486090730,1,1,"(0.7042754292488098, 0.20380237698554993)","(0.7074113488197327, 0.20925641059875488)",1,1,2.714385986328125,2.5989227294921875,Fixation,POINT (0.7058433890342712 0.2065293937921524),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971708962,20486099064,1,1,"(0.6958485245704651, 0.17426247894763947)","(0.7086648941040039, 0.22798730432987213)",1,1,2.71087646484375,2.6025848388671875,Fixation,POINT (0.7022567093372345 0.2011248916387558),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971717306,20486107397,1,1,"(0.7010655999183655, 0.21491876244544983)","(0.7056032419204712, 0.21209058165550232)",1,1,2.7113800048828125,2.607696533203125,Fixation,POINT (0.7033344209194183 0.2135046720504761),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971725648,20486115730,1,1,"(0.6950564980506897, 0.1829412877559662)","(0.6986249685287476, 0.21293972432613373)",1,1,2.704193115234375,2.5760498046875,Fixation,POINT (0.6968407332897186 0.19794050604105),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971733983,20486124064,1,1,"(0.6995754837989807, 0.19831502437591553)","(0.6945067048072815, 0.20886269211769104)",1,1,2.69171142578125,2.5867919921875,Fixation,POINT (0.6970410943031311 0.2035888582468033),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971742318,20486132397,1,1,"(0.699150025844574, 0.20812949538230896)","(0.6984074711799622, 0.20883393287658691)",1,1,2.68621826171875,2.5937652587890625,Fixation,POINT (0.6987787485122681 0.2084817141294479),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971750653,20486140730,1,1,"(0.6911396384239197, 0.19163314998149872)","(0.6957807540893555, 0.2139025330543518)",1,1,2.701171875,2.60052490234375,Fixation,POINT (0.6934601962566376 0.2027678415179253),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971758988,20486149064,1,1,"(0.6959468722343445, 0.19415687024593353)","(0.6967393159866333, 0.2091870903968811)",1,1,2.68621826171875,2.6075439453125,Fixation,POINT (0.6963430941104889 0.2016719803214073),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971767323,20486157397,1,1,"(0.7020293474197388, 0.1912483423948288)","(0.6983724236488342, 0.19900394976139069)",1,1,2.658233642578125,2.584259033203125,Fixation,POINT (0.7002008855342865 0.1951261460781097),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971775657,20486165730,1,1,"(0.7045621275901794, 0.18433955311775208)","(0.6963320374488831, 0.20472778379917145)",1,1,2.6632537841796875,2.592514038085937,Fixation,POINT (0.7004470825195312 0.1945336684584618),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971783993,20486174064,1,1,"(0.703475832939148, 0.19397541880607605)","(0.6984145045280457, 0.20291194319725037)",1,1,2.663116455078125,2.56927490234375,Fixation,POINT (0.7009451687335968 0.1984436810016632),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971792328,20486182397,1,1,"(0.7036717534065247, 0.20359541475772858)","(0.6983557939529419, 0.19459427893161774)",1,1,2.6644439697265625,2.56884765625,Fixation,POINT (0.7010137736797333 0.1990948468446732),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971800667,20486190735,1,1,"(0.7006401419639587, 0.20454494655132294)","(0.7002426981925964, 0.21165531873703003)",1,1,2.6666717529296875,2.547119140625,Fixation,POINT (0.7004414200782776 0.2081001326441765),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971809003,20486199069,1,1,"(0.7013176679611206, 0.19785206019878387)","(0.7051647901535034, 0.1999998539686203)",1,1,2.653793334960937,2.55718994140625,Fixation,POINT (0.703241229057312 0.1989259570837021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971817337,20486207402,1,1,"(0.7008004784584045, 0.20630577206611633)","(0.7026605606079102, 0.208562970161438)",1,1,2.6494903564453125,2.559906005859375,Fixation,POINT (0.7017305195331573 0.2074343711137772),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971825672,20486215735,1,1,"(0.6937651634216309, 0.17135675251483917)","(0.7001739144325256, 0.20688088238239288)",1,1,2.626495361328125,2.5648651123046875,Fixation,POINT (0.6969695389270782 0.189118817448616),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971842342,20486232402,1,1,"(0.6901915669441223, 0.16237080097198486)","(0.6925910115242004, 0.14142721891403198)",1,1,2.63134765625,2.555419921875,Fixation,POINT (0.6913912892341614 0.1518990099430084),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971850677,20486240735,1,1,"(0.6907402276992798, 0.13399365544319153)","(0.691061794757843, 0.13935886323451996)",1,1,2.620880126953125,2.553070068359375,Fixation,POINT (0.6909010112285614 0.1366762593388557),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,invalidateSession,18354735,1211971859012,20486249069,1,1,"(0.6936885118484497, 0.1412469744682312)","(0.6867801547050476, 0.1412302702665329)",1,1,2.6185302734375,2.553314208984375,Fixation,POINT (0.6902343332767487 0.141238622367382),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971867347,20486257402,1,1,"(0.6921635270118713, 0.14682535827159882)","(0.6871327757835388, 0.14655525982379913)",1,1,2.6137237548828125,2.5555419921875,Fixation,POINT (0.6896481513977051 0.146690309047699),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971875680,20486265735,1,1,"(0.6854572892189026, 0.13682524859905243)","(0.6909869313240051, 0.1387767642736435)",1,1,2.6116943359375,2.5174713134765625,Fixation,POINT (0.6882221102714539 0.137801006436348),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971884006,20486274069,1,1,"(0.6886220574378967, 0.1321166306734085)","(0.6926603317260742, 0.1448747217655182)",1,1,2.5988922119140625,2.5391845703125,Fixation,POINT (0.6906411945819855 0.1384956762194634),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971892331,20486282402,1,1,"(0.6907053589820862, 0.1449439525604248)","(0.6926276087760925, 0.14535315334796906)",1,1,2.600448608398437,2.522216796875,Fixation,POINT (0.6916664838790894 0.1451485529541969),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971900654,20486290735,1,1,"(0.6908512115478516, 0.13443590700626373)","(0.693863034248352, 0.1454932540655136)",1,1,2.6072540283203125,2.5315704345703125,Fixation,POINT (0.6923571228981018 0.1399645805358887),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971908979,20486299069,1,1,"(0.6945087313652039, 0.1352352499961853)","(0.6907089948654175, 0.13944463431835175)",1,1,2.6011505126953125,2.5191192626953125,Fixation,POINT (0.6926088631153107 0.1373399421572685),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,invalidateSession,18354735,1211971917301,20486307402,1,1,"(0.6936284303665161, 0.13177941739559174)","(0.6899499893188477, 0.1330636888742447)",1,1,2.585678100585937,2.5282135009765625,Fixation,POINT (0.6917892098426819 0.1324215531349182),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,invalidateSession,18354735,1211971925626,20486315735,1,1,"(0.6925089955329895, 0.14144772291183472)","(0.6888155937194824, 0.13653168082237244)",1,1,2.590850830078125,2.531463623046875,Fixation,POINT (0.690662294626236 0.1389897018671036),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971933965,20486324074,1,1,"(0.6867125034332275, 0.14384609460830688)","(0.6892390847206116, 0.13340073823928833)",1,1,2.601104736328125,2.499740600585937,Fixation,POINT (0.6879757940769196 0.1386234164237976),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971942299,20486332407,1,1,"(0.6849499940872192, 0.13422177731990814)","(0.6883363723754883, 0.1481568068265915)",1,1,2.577239990234375,2.498443603515625,Fixation,POINT (0.6866431832313538 0.1411892920732498),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971950632,20486340740,1,1,"(0.6892101168632507, 0.13750208914279938)","(0.6856449246406555, 0.145132914185524)",1,1,2.5842437744140625,2.5247344970703125,Fixation,POINT (0.6874275207519531 0.1413175016641617),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971958967,20486349074,1,1,"(0.6879932284355164, 0.13543488085269928)","(0.6855589747428894, 0.1360081136226654)",1,1,2.59136962890625,2.50494384765625,Fixation,POINT (0.6867761015892029 0.1357214972376823),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971967300,20486357407,1,1,"(0.6860731244087219, 0.14564672112464905)","(0.6831173896789551, 0.1406174749135971)",1,1,2.5814208984375,2.49761962890625,Fixation,POINT (0.6845952570438385 0.1431320980191231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971975633,20486365740,1,1,"(0.6881011724472046, 0.1325218677520752)","(0.6909127235412598, 0.14971554279327393)",1,1,2.5669708251953125,2.500106811523437,Fixation,POINT (0.6895069479942322 0.1411187052726746),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211971983968,20486374074,1,1,"(0.6866032481193542, 0.14415964484214783)","(0.6916276216506958, 0.14462333917617798)",1,1,2.576507568359375,2.498748779296875,Fixation,POINT (0.689115434885025 0.1443914920091629),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211972108947,20486499080,1,1,"(0.23246899247169495, 0.1439044326543808)","(0.2368420958518982, 0.14761339128017426)",1,1,2.4610748291015625,2.514144897460937,,POINT (0.2346555441617966 0.1457589119672775),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,invalidateSession,18354735,1211972117280,20486507411,1,1,"(0.22886958718299866, 0.1370522826910019)","(0.23238436877727509, 0.14815612137317657)",1,1,2.4686279296875,2.4845123291015625,Fixation,POINT (0.2306269779801369 0.1426042020320892),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,invalidateSession,18354735,1211972125618,20486515746,1,1,"(0.22927019000053406, 0.13954833149909973)","(0.2350260317325592, 0.1496819406747818)",1,1,2.4631805419921875,2.48931884765625,Fixation,POINT (0.2321481108665466 0.1446151360869408),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,invalidateSession,18354735,1211972133954,20486524079,1,1,"(0.2265939563512802, 0.13738283514976501)","(0.22829732298851013, 0.14366604387760162)",1,1,2.4646148681640625,2.517059326171875,Fixation,POINT (0.2274456396698952 0.1405244395136833),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,invalidateSession,18354735,1211972142288,20486532413,1,1,"(0.22912843525409698, 0.1402580589056015)","(0.2309064120054245, 0.14870280027389526)",1,1,2.4533843994140625,2.4890594482421875,Fixation,POINT (0.2300174236297607 0.1444804295897484),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,invalidateSession,18354735,1211972158955,20486549080,1,1,"(0.22941285371780396, 0.1366814523935318)","(0.23780986666679382, 0.14547602832317352)",1,1,2.444793701171875,2.509674072265625,,POINT (0.2336113601922989 0.1410787403583527),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,invalidateSession,18354735,1211972167289,20486557413,1,1,"(0.23271679878234863, 0.14164163172245026)","(0.2457372397184372, 0.1616774946451187)",1,1,2.4566192626953125,2.4992218017578125,Fixation,POINT (0.2392270192503929 0.1516595631837845),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,invalidateSession,18354735,1211972175622,20486565746,1,1,"(0.23462319374084473, 0.1406654417514801)","(0.23881827294826508, 0.1565694510936737)",1,1,2.466949462890625,2.4864501953125,Fixation,POINT (0.2367207333445549 0.1486174464225769),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,invalidateSession,18354735,1211972183956,20486574080,1,1,"(0.23808278143405914, 0.13265906274318695)","(0.23893816769123077, 0.15571479499340057)",1,1,2.4527130126953125,2.499298095703125,Fixation,POINT (0.238510474562645 0.1441869288682938),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,invalidateSession,18354735,1211972192289,20486582413,1,1,"(0.233872652053833, 0.14323990046977997)","(0.24097798764705658, 0.16092346608638763)",1,1,2.468231201171875,2.5195770263671875,Fixation,POINT (0.2374253198504448 0.1520816832780838),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,invalidateSession,18354735,1211972200627,20486590751,1,1,"(0.2408028244972229, 0.15017570555210114)","(0.2423681914806366, 0.15996761620044708)",1,1,2.436431884765625,2.4915008544921875,Fixation,POINT (0.2415855079889298 0.1550716608762741),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,invalidateSession,18354735,1211972208961,20486599085,1,1,"(0.23268823325634003, 0.13737095892429352)","(0.243254154920578, 0.13955315947532654)",1,1,2.4637908935546875,2.503997802734375,Fixation,POINT (0.237971194088459 0.13846205919981),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
