,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,String.0,print.0,String.1,tab.0,if.0,content.0,instanceof.0,RegExp.0,return.0,tab.1,+.0,"""type = "".100",+.1,type.0,+.2,Out.0,NL.0,+.3,tab.2,+.4,"""content :"".101",+.5,Out.1,NL.1,+.6,RegExp.1,content.1,print.1,tab.3,+.7,"""  "".0",else.0,return.1,tab.4,+.8,"""type = "".102",+.9,type.1,+.10,Out.2,NL.2,+.11,tab.5,+.12,"""content :"".103",+.13,Out.3,NL.3,+.14,tab.6,+.15,"""  "".1",+.16,content.2,code,participant_summary
0,136,print,7957602,1212278687654,20793076505,1,1,"(0.6517268419265747, 0.16688843071460724)","(0.6492561101913452, 0.21511749923229218)",1,1,2.5104217529296875,2.455535888671875,,POINT (0.65049147605896 0.1910029649734497),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,print,7957602,1212278695987,20793084838,1,1,"(0.6489664912223816, 0.17483100295066833)","(0.6503888368606567, 0.21141530573368073)",1,1,2.5330047607421875,2.4489288330078125,Fixation,POINT (0.6496776640415192 0.1931231543421745),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,print,7957602,1212278704320,20793093171,1,1,"(0.6573919057846069, 0.1849052459001541)","(0.6532704830169678, 0.22262345254421234)",1,1,2.5275115966796875,2.460845947265625,Fixation,POINT (0.6553311944007874 0.2037643492221832),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,print,7957602,1212278712654,20793101505,1,1,"(0.658492386341095, 0.19449937343597412)","(0.6575393676757812, 0.2104588747024536)",1,1,2.502670288085937,2.4495086669921875,Fixation,POINT (0.6580158770084381 0.2024791240692139),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,print,7957602,1212278720988,20793109838,1,1,"(0.6572317481040955, 0.18078067898750305)","(0.6558191180229187, 0.20939669013023376)",1,1,2.5174560546875,2.474472045898437,Fixation,POINT (0.6565254330635071 0.1950886845588684),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,print,7957602,1212278729321,20793118171,1,1,"(0.6559732556343079, 0.17355532944202423)","(0.6537685394287109, 0.20999816060066223)",1,1,2.5004119873046875,2.4566192626953125,Fixation,POINT (0.6548708975315094 0.1917767450213432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,print,7957602,1212278737655,20793126505,1,1,"(0.6542378664016724, 0.1756546050310135)","(0.6501376628875732, 0.20549248158931732)",1,1,2.49749755859375,2.4667205810546875,Fixation,POINT (0.6521877646446228 0.1905735433101654),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,print,7957602,1212278745988,20793134838,1,1,"(0.654446542263031, 0.173772394657135)","(0.6487429738044739, 0.20475530624389648)",1,1,2.474853515625,2.4427032470703125,Fixation,POINT (0.6515947580337524 0.1892638504505158),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,print,7957602,1212278754321,20793143171,1,1,"(0.6553875207901001, 0.1869278848171234)","(0.6465603709220886, 0.20163032412528992)",1,1,2.5015411376953125,2.4418182373046875,Fixation,POINT (0.6509739458560944 0.1942791044712067),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,print,7957602,1212278762655,20793151505,1,1,"(0.6562919020652771, 0.20555658638477325)","(0.650277316570282, 0.21059568226337433)",1,1,2.5014801025390625,2.453155517578125,Fixation,POINT (0.6532846093177795 0.2080761343240738),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
