,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,setGenJarDir.0,File.0,genJarDir.0,SandProject.0,proj.0,proj.1,getAntProject.0,setProperty.0,"""genJarDir"".0",genJarDir.1,toString.0,SandProject.1,downstream.0,=.0,proj.2,getRequiredBy.0,for.0,int.0,i.0,=.1,0.0,i.1,<.0,downstream.1,length.0,i.2,setGenJarDir.1,genJarDir.2,downstream.2,i.3,].0,code,participant_summary
0,136,setGenJarDir,31789275,1211351051367,19865443962,1,1,"(0.689489483833313, 0.21229258179664612)","(0.6849245429039001, 0.21364547312259674)",1,1,2.5945281982421875,2.4403839111328125,,POINT (0.6872070133686066 0.2129690274596214),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setGenJarDir,31789275,1211351059701,19865452296,1,1,"(0.6836442947387695, 0.21557340025901794)","(0.6892246603965759, 0.21839085221290588)",1,1,2.583343505859375,2.4717559814453125,Fixation,POINT (0.6864344775676727 0.2169821262359619),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setGenJarDir,31789275,1211351068034,19865460629,1,1,"(0.6911221146583557, 0.20221950113773346)","(0.6868022084236145, 0.21360395848751068)",1,1,2.5742950439453125,2.4360809326171875,Fixation,POINT (0.6889621615409851 0.2079117298126221),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setGenJarDir,31789275,1211351076367,19865468962,1,1,"(0.6840934157371521, 0.21801456809043884)","(0.6866177320480347, 0.21808747947216034)",1,1,2.59619140625,2.471771240234375,Fixation,POINT (0.6853555738925934 0.2180510237812996),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setGenJarDir,31789275,1211351084700,19865477296,1,1,"(0.6882286071777344, 0.2161296159029007)","(0.6819924712181091, 0.21172873675823212)",1,1,2.576171875,2.450927734375,Fixation,POINT (0.6851105391979218 0.2139291763305664),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setGenJarDir,31789275,1211351093033,19865485629,1,1,"(0.682309091091156, 0.2257418930530548)","(0.6857065558433533, 0.21565483510494232)",1,1,2.5985260009765625,2.475814819335937,Fixation,POINT (0.6840078234672546 0.2206983640789986),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setGenJarDir,31789275,1211351101366,19865493962,1,1,"(0.6893393993377686, 0.22910428047180176)","(0.6857692003250122, 0.22663719952106476)",1,1,2.5754852294921875,2.51116943359375,Fixation,POINT (0.6875542998313904 0.2278707399964333),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setGenJarDir,31789275,1211351109700,19865502296,1,1,"(0.6853787899017334, 0.22383223474025726)","(0.683719277381897, 0.2267608642578125)",1,1,2.573822021484375,2.449554443359375,Fixation,POINT (0.6845490336418152 0.2252965494990349),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setGenJarDir,31789275,1211351118033,19865510629,1,1,"(0.691619873046875, 0.2192838490009308)","(0.6903344392776489, 0.22585290670394897)",1,1,2.5619659423828125,2.4803924560546875,Fixation,POINT (0.690977156162262 0.2225683778524399),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setGenJarDir,31789275,1211351126366,19865518962,1,1,"(0.6887919306755066, 0.20982758700847626)","(0.6829947829246521, 0.2164698839187622)",1,1,2.586532592773437,2.4709014892578125,Fixation,POINT (0.6858933568000793 0.2131487354636192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setGenJarDir,31789275,1211351134700,19865527296,1,1,"(0.6853659152984619, 0.22048863768577576)","(0.6922104358673096, 0.2076149731874466)",1,1,2.5480194091796875,2.4405975341796875,Fixation,POINT (0.6887881755828857 0.2140518054366112),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setGenJarDir,31789275,1211351143033,19865535629,1,1,"(0.6939377188682556, 0.22602218389511108)","(0.6929274797439575, 0.2119216024875641)",1,1,2.55963134765625,2.426605224609375,Fixation,POINT (0.6934325993061066 0.2189718931913376),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setGenJarDir,31789275,1211351151372,19865543967,1,1,"(0.684503436088562, 0.2306813895702362)","(0.6931391358375549, 0.22521823644638062)",1,1,2.548248291015625,2.433624267578125,Fixation,POINT (0.6888212859630585 0.2279498130083084),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
