,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,setPhoto.0,JdaiPhoto.0,photo.0,String.0,text.0,=.0,nan.0,if.0,photo.1,!=.0,nan.1,label.0,setText.0,""""".0",try.0,text.1,=.1,photo.2,getSection.0,getInfoStore.0,getCaption.0,photo.3,catch.0,JdaiReadException.0,e.0,JdaiGuiHelpers.0,reportException.0,"""Unable to read caption"".100",e.1,if.1,text.2,==.0,nan.2,||.0,text.3,equals.0,""""".1",text.4,=.2,"""No caption set"".101",else.0,label.1,setIcon.0,nan.3,label.2,setToolTipText.0,text.5,setNewPhoto.0,photo.4,code,participant_summary
0,136,setPhoto,50994916,1211123050843,19637444303,1,1,"(0.687399685382843, 0.1585262268781662)","(0.6796190142631531, 0.16792938113212585)",1,1,2.4703826904296875,2.5251922607421875,,POINT (0.683509349822998 0.163227804005146),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setPhoto,50994916,1211123059176,19637452636,1,1,"(0.6938069462776184, 0.1583603024482727)","(0.6815365552902222, 0.16714121401309967)",1,1,2.4757232666015625,2.5425262451171875,Fixation,POINT (0.6876717507839203 0.1627507582306862),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setPhoto,50994916,1211123067509,19637460969,1,1,"(0.6902595162391663, 0.15772081911563873)","(0.6795629262924194, 0.17150533199310303)",1,1,2.4662628173828125,2.5598297119140625,Fixation,POINT (0.6849112212657928 0.1646130755543709),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setPhoto,50994916,1211123075845,19637469305,1,1,"(0.6851993799209595, 0.154485285282135)","(0.6796881556510925, 0.16527941823005676)",1,1,2.4534149169921875,2.539520263671875,Fixation,POINT (0.682443767786026 0.1598823517560959),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setPhoto,50994916,1211123084178,19637477638,1,1,"(0.6888045072555542, 0.15431495010852814)","(0.6832795739173889, 0.16650746762752533)",1,1,2.4715576171875,2.53900146484375,Fixation,POINT (0.6860420405864716 0.1604112088680267),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setPhoto,50994916,1211123092511,19637485971,1,1,"(0.6866078972816467, 0.16004684567451477)","(0.6824154853820801, 0.16383561491966248)",1,1,2.4645538330078125,2.55078125,Fixation,POINT (0.6845116913318634 0.1619412302970886),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setPhoto,50994916,1211123100845,19637494305,1,1,"(0.6844410300254822, 0.1608264297246933)","(0.6804952025413513, 0.1564745455980301)",1,1,2.4765167236328125,2.5277557373046875,Fixation,POINT (0.6824681162834167 0.1586504876613617),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setPhoto,50994916,1211123109178,19637502638,1,1,"(0.683465301990509, 0.1590891182422638)","(0.6802719831466675, 0.16508077085018158)",1,1,2.47186279296875,2.529769897460937,Fixation,POINT (0.6818686425685883 0.1620849445462227),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setPhoto,50994916,1211123117511,19637510971,1,1,"(0.6877360343933105, 0.15238291025161743)","(0.6764835715293884, 0.15473249554634094)",1,1,2.45623779296875,2.531494140625,Fixation,POINT (0.6821098029613495 0.1535577028989792),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setPhoto,50994916,1211123125845,19637519305,1,1,"(0.6890528798103333, 0.14914913475513458)","(0.6734338402748108, 0.1557295173406601)",1,1,2.4704742431640625,2.5363311767578125,Fixation,POINT (0.681243360042572 0.1524393260478973),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
