,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,swapItems.0,int.0,index.0,int.1,change.0,if.0,index.1,>=.0,0.0,&&.0,index.2,<.0,allItems.0,length.0,&&.1,change.1,>=.1,0.1,&&.2,change.2,<.1,allItems.1,length.1,MenuItem.0,temp.0,=.0,allItems.2,index.3,allItems.3,index.4,=.1,allItems.4,change.3,allItems.5,change.4,=.2,temp.1,code,participant_summary
0,136,swapItems,36634895,1211636962492,20151353978,1,1,"(0.6733563542366028, 0.17274896800518036)","(0.7010583877563477, 0.19866326451301575)",1,1,2.4794921875,2.42132568359375,,POINT (0.6872073709964752 0.185706116259098),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,swapItems,36634895,1211636970826,20151362312,1,1,"(0.6777759790420532, 0.17892572283744812)","(0.6881687045097351, 0.1985204666852951)",1,1,2.4603729248046875,2.432968139648437,Fixation,POINT (0.6829723417758942 0.1887230947613716),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,swapItems,36634895,1211636979159,20151370645,1,1,"(0.6772072911262512, 0.18682308495044708)","(0.6892867088317871, 0.1883251816034317)",1,1,2.4545135498046875,2.446868896484375,Fixation,POINT (0.6832469999790192 0.1875741332769394),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,swapItems,36634895,1211636987492,20151378978,1,1,"(0.670602560043335, 0.18214267492294312)","(0.677546501159668, 0.18998022377490997)",1,1,2.4664306640625,2.45123291015625,Fixation,POINT (0.6740745306015015 0.1860614493489265),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,swapItems,36634895,1211636995826,20151387312,1,1,"(0.6847645044326782, 0.17634491622447968)","(0.6797483563423157, 0.19541509449481964)",1,1,2.4655303955078125,2.4226531982421875,Fixation,POINT (0.682256430387497 0.1858800053596497),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,swapItems,36634895,1211637004159,20151395645,1,1,"(0.6768197417259216, 0.1706697940826416)","(0.6815686225891113, 0.20194858312606812)",1,1,2.484283447265625,2.4454803466796875,Fixation,POINT (0.6791941821575165 0.1863091886043549),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,swapItems,36634895,1211637012492,20151403978,1,1,"(0.6801965236663818, 0.17603692412376404)","(0.6807966828346252, 0.19221468269824982)",1,1,2.443572998046875,2.432037353515625,Fixation,POINT (0.6804966032505035 0.1841258034110069),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,swapItems,36634895,1211637020826,20151412312,1,1,"(0.6709214448928833, 0.20205406844615936)","(0.67791348695755, 0.1948051005601883)",1,1,2.4359588623046875,2.4439849853515625,Fixation,POINT (0.6744174659252167 0.1984295845031738),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,swapItems,36634895,1211637029164,20151420650,1,1,"(0.685552179813385, 0.17096935212612152)","(0.6826501488685608, 0.18934424221515656)",1,1,2.44659423828125,2.4571990966796875,Fixation,POINT (0.6841011643409729 0.180156797170639),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,swapItems,36634895,1211637037497,20151428983,1,1,"(0.6791753768920898, 0.16920125484466553)","(0.6756091713905334, 0.18660104274749756)",1,1,2.46600341796875,2.429412841796875,Fixation,POINT (0.6773922741413116 0.1779011487960815),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,swapItems,36634895,1211637045831,20151437317,1,1,"(0.679543673992157, 0.1992999166250229)","(0.686057448387146, 0.1957627832889557)",1,1,2.437225341796875,2.4249267578125,Fixation,POINT (0.6828005611896515 0.1975313499569893),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,swapItems,36634895,1211637054164,20151445650,1,1,"(0.6804879903793335, 0.17960579693317413)","(0.6780596375465393, 0.17479607462882996)",1,1,2.444610595703125,2.437225341796875,Fixation,POINT (0.6792738139629364 0.177200935781002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,swapItems,36634895,1211637062497,20151453983,1,1,"(0.6726031303405762, 0.18965831398963928)","(0.6811545491218567, 0.2030716836452484)",1,1,2.4708251953125,2.4248046875,Fixation,POINT (0.6768788397312164 0.1963649988174438),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,swapItems,36634895,1211637070830,20151462316,1,1,"(0.6752975583076477, 0.19493776559829712)","(0.6759781241416931, 0.2024916112422943)",1,1,2.4742889404296875,2.4171142578125,Fixation,POINT (0.6756378412246704 0.1987146884202957),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
