,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,testSetExample.0,System.0,out.0,println.0,"""testSetExample"".0",testString.0,=.0,"""<tag:foo>|n"".0",testString.1,+=.0,"""|t<tag:bar />"".100",testString.2,+=.1,"""</tag:foo>"".0",tag.1,setExample.0,testString.3,assertEquals.0,tag.2,getExample.0,testString.4,code,participant_summary
0,136,testSetExample,50891793,1212538597820,21052985630,1,1,"(0.7194159626960754, 0.13224662840366364)","(0.7149670124053955, 0.13911262154579163)",1,1,2.498764038085937,2.4712677001953125,,POINT (0.7171914875507355 0.1356796249747276),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538606153,21052993963,1,1,"(0.7163509130477905, 0.12604311108589172)","(0.7131255269050598, 0.13457848131656647)",1,1,2.52490234375,2.443572998046875,Fixation,POINT (0.7147382199764252 0.1303107962012291),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538614486,21053002296,1,1,"(0.7135223150253296, 0.11996925622224808)","(0.7098910808563232, 0.1310664564371109)",1,1,2.495025634765625,2.4736480712890625,Fixation,POINT (0.7117066979408264 0.1255178563296795),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538622820,21053010630,1,1,"(0.7103407979011536, 0.13278992474079132)","(0.7113551497459412, 0.13347439467906952)",1,1,2.54669189453125,2.4512939453125,Fixation,POINT (0.7108479738235474 0.1331321597099304),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538631153,21053018963,1,1,"(0.7185741066932678, 0.12037535011768341)","(0.7108924388885498, 0.14191503822803497)",1,1,2.524871826171875,2.4815826416015625,Fixation,POINT (0.7147332727909088 0.1311451941728592),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538639486,21053027296,1,1,"(0.7114475965499878, 0.11996684223413467)","(0.7137569189071655, 0.12896621227264404)",1,1,2.52410888671875,2.476425170898437,Fixation,POINT (0.7126022577285767 0.1244665272533894),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538647820,21053035630,1,1,"(0.7103727459907532, 0.1255100667476654)","(0.7118260860443115, 0.1409718096256256)",1,1,2.535263061523437,2.4723663330078125,Fixation,POINT (0.7110994160175323 0.1332409381866455),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538656153,21053043963,1,1,"(0.720409631729126, 0.12717393040657043)","(0.7107019424438477, 0.12573282420635223)",1,1,2.51885986328125,2.4784698486328125,Fixation,POINT (0.7155557870864868 0.1264533773064613),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538664486,21053052296,1,1,"(0.7228673696517944, 0.1368594467639923)","(0.7116908431053162, 0.1295253336429596)",1,1,2.546661376953125,2.4711151123046875,Fixation,POINT (0.7172791063785553 0.133192390203476),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538672820,21053060630,1,1,"(0.7227060198783875, 0.13571250438690186)","(0.7133687138557434, 0.13332098722457886)",1,1,2.532928466796875,2.4779510498046875,Fixation,POINT (0.7180373668670654 0.1345167458057404),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538681153,21053068963,1,1,"(0.7161056399345398, 0.13954493403434753)","(0.7112811207771301, 0.1355949342250824)",1,1,2.5339813232421875,2.488525390625,Fixation,POINT (0.713693380355835 0.137569934129715),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538689486,21053077296,1,1,"(0.7171565890312195, 0.136813223361969)","(0.7157549858093262, 0.12991926074028015)",1,1,2.547836303710937,2.47784423828125,Fixation,POINT (0.7164557874202728 0.1333662420511246),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538697820,21053085630,1,1,"(0.7241688966751099, 0.13481232523918152)","(0.7134232521057129, 0.13485756516456604)",1,1,2.548614501953125,2.4862213134765625,Fixation,POINT (0.7187960743904114 0.1348349452018738),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538706153,21053093963,1,1,"(0.7168779373168945, 0.13538570702075958)","(0.7182410359382629, 0.1294827163219452)",1,1,2.552032470703125,2.475677490234375,Fixation,POINT (0.7175594866275787 0.1324342116713524),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538714497,21053102307,1,1,"(0.7127810120582581, 0.12553004920482635)","(0.7170328497886658, 0.13932454586029053)",1,1,2.5419158935546875,2.4892730712890625,Fixation,POINT (0.7149069309234619 0.1324272975325584),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538722831,21053110641,1,1,"(0.7202348709106445, 0.12506739795207977)","(0.7149077653884888, 0.1327241063117981)",1,1,2.549224853515625,2.480865478515625,Fixation,POINT (0.7175713181495667 0.1288957521319389),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538731164,21053118974,1,1,"(0.7130988240242004, 0.13488365709781647)","(0.7164474129676819, 0.13291552662849426)",1,1,2.556060791015625,2.47357177734375,Fixation,POINT (0.7147731184959412 0.1338995918631554),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538739497,21053127307,1,1,"(0.7133687138557434, 0.13794122636318207)","(0.7135540246963501, 0.1362304836511612)",1,1,2.552154541015625,2.4592437744140625,Fixation,POINT (0.7134613692760468 0.1370858550071716),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538747831,21053135641,1,1,"(0.7086812257766724, 0.13855023682117462)","(0.7104908227920532, 0.13260726630687714)",1,1,2.534637451171875,2.4835205078125,Fixation,POINT (0.7095860242843628 0.1355787515640259),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538756164,21053143974,1,1,"(0.7124369144439697, 0.1432356834411621)","(0.7140706181526184, 0.14156390726566315)",1,1,2.5438385009765625,2.4864959716796875,Fixation,POINT (0.7132537662982941 0.1423997953534126),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538764497,21053152307,1,1,"(0.7155453562736511, 0.14131532609462738)","(0.7170820832252502, 0.1402696967124939)",1,1,2.5544891357421875,2.4796142578125,Fixation,POINT (0.7163137197494507 0.1407925114035606),,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testSetExample,50891793,1212538772831,21053160641,1,1,"(0.7137910723686218, 0.1386355310678482)","(0.7136505842208862, 0.13173747062683105)",1,1,2.53741455078125,2.4979248046875,Fixation,POINT (0.713720828294754 0.1351865008473396),,,,,,,,,,,,,,,,,,,,,,,,,1
