,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,private.0,void.0,updateGain.0,int.0,pos.0,=.0,getValue.0,int.1,value.0,=.1,int.2,127.0,*.0,double.0,pos.1,/.0,100.0,MidiChannel.0,cs.0,=.2,synthesizer.0,getChannels.0,for.0,int.3,I.0,=.3,0.0,I.1,<.0,cs.1,length.0,i.0,cs.2,i.1,controlChange.0,7.0,value.1,code,participant_summary
0,136,updateGain,26215341,1212458394689,20972782818,1,1,"(0.6801530718803406, 0.1533464789390564)","(0.6722404360771179, 0.19002410769462585)",1,1,2.5774078369140625,2.5018463134765625,,POINT (0.6761967539787292 0.1716852933168411),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,updateGain,26215341,1212458403023,20972791152,1,1,"(0.6798917055130005, 0.16952328383922577)","(0.6709620952606201, 0.18838956952095032)",1,1,2.58941650390625,2.514373779296875,Fixation,POINT (0.6754269003868103 0.178956426680088),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,updateGain,26215341,1212458411356,20972799485,1,1,"(0.6798445582389832, 0.16197428107261658)","(0.6713069081306458, 0.17349059879779816)",1,1,2.569244384765625,2.5307159423828125,Fixation,POINT (0.6755757331848145 0.1677324399352074),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,updateGain,26215341,1212458436356,20972824485,1,1,"(0.673500120639801, 0.1513226330280304)","(0.6699711680412292, 0.1920551061630249)",1,1,2.576690673828125,2.498016357421875,,POINT (0.6717356443405151 0.1716888695955276),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,updateGain,26215341,1212458444689,20972832818,1,1,"(0.6787182092666626, 0.1601955145597458)","(0.6710026264190674, 0.18125084042549133)",1,1,2.561508178710937,2.4931793212890625,Fixation,POINT (0.674860417842865 0.1707231774926186),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,updateGain,26215341,1212458461356,20972849485,1,1,"(0.6804990768432617, 0.16245776414871216)","(0.667787492275238, 0.17494206130504608)",1,1,2.56597900390625,2.4937896728515625,,POINT (0.6741432845592499 0.1686999127268791),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,updateGain,26215341,1212458469689,20972857818,1,1,"(0.6761412024497986, 0.1537783443927765)","(0.6708384156227112, 0.1819736361503601)",1,1,2.55908203125,2.5166015625,Fixation,POINT (0.6734898090362549 0.1678759902715683),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,updateGain,26215341,1212458486356,20972874485,1,1,"(0.6755115389823914, 0.15238440036773682)","(0.6703318953514099, 0.18917204439640045)",1,1,2.5745849609375,2.491241455078125,,POINT (0.6729217171669006 0.1707782223820686),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,updateGain,26215341,1212458494694,20972882823,1,1,"(0.6739047169685364, 0.15236641466617584)","(0.6705555319786072, 0.1881048083305359)",1,1,2.536712646484375,2.4974365234375,Fixation,POINT (0.6722301244735718 0.1702356114983559),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,updateGain,26215341,1212458511361,20972899490,1,1,"(0.6751953959465027, 0.16249407827854156)","(0.6705386638641357, 0.17163702845573425)",1,1,2.5471343994140625,2.50885009765625,,POINT (0.6728670299053192 0.1670655533671379),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
