,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,updateSchema.0,String.0,kind.0,SchemaTO.0,schemaTO.0,try.0,restTemplate.0,postForObject.0,baseURL.0,+.0,"""schema/"".0",+.1,kind.1,+.2,"""/update"".0",schemaTO.1,SchemaTO.1,class.0,catch.0,SyncopeClientCompositeErrorException.0,e.0,LOG.0,error.0,"""While updating a user schema"".100",e.1,code,participant_summary
0,136,updateSchema,4627680,1211315391637,19829784380,1,1,"(0.19518008828163147, 0.1758057028055191)","(0.19519178569316864, 0.15120957791805267)",1,1,2.6358184814453125,2.5972900390625,,POINT (0.1951859369874 0.1635076403617859),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211315399971,19829792714,1,1,"(0.19308888912200928, 0.178116112947464)","(0.1878485530614853, 0.15734697878360748)",1,1,2.6304473876953125,2.6124267578125,Fixation,POINT (0.1904687210917473 0.1677315458655357),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211315408304,19829801047,1,1,"(0.19160598516464233, 0.17503833770751953)","(0.1967390775680542, 0.17360691726207733)",1,1,2.63885498046875,2.612045288085937,Fixation,POINT (0.1941725313663483 0.1743226274847984),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211315416637,19829809380,1,1,"(0.19149437546730042, 0.1773248314857483)","(0.1994890719652176, 0.15457895398139954)",1,1,2.652313232421875,2.6092529296875,Fixation,POINT (0.195491723716259 0.1659518927335739),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211315424971,19829817714,1,1,"(0.19411928951740265, 0.18447378277778625)","(0.19658039510250092, 0.15776805579662323)",1,1,2.6322174072265625,2.628204345703125,Fixation,POINT (0.1953498423099518 0.1711209192872047),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211315433302,19829826045,1,1,"(0.1962735950946808, 0.1810166835784912)","(0.19435909390449524, 0.16439995169639587)",1,1,2.642181396484375,2.6143951416015625,Fixation,POINT (0.195316344499588 0.1727083176374435),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211315441635,19829834378,1,1,"(0.1925780177116394, 0.18569596111774445)","(0.19427065551280975, 0.16761907935142517)",1,1,2.641708374023437,2.62744140625,Fixation,POINT (0.1934243366122246 0.1766575202345848),,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211315449971,19829842714,1,1,"(0.1893155425786972, 0.17247691750526428)","(0.1981835961341858, 0.1611056923866272)",1,1,2.626449584960937,2.628814697265625,Fixation,POINT (0.1937495693564415 0.1667913049459457),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211315458304,19829851047,1,1,"(0.1868497133255005, 0.1707579791545868)","(0.19677676260471344, 0.17165762186050415)",1,1,2.6619110107421875,2.631454467773437,Fixation,POINT (0.191813237965107 0.1712078005075455),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211315466637,19829859380,1,1,"(0.19505754113197327, 0.16573819518089294)","(0.1890132576227188, 0.15499676764011383)",1,1,2.648834228515625,2.6464996337890625,Fixation,POINT (0.192035399377346 0.1603674814105034),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
