pid,public.0,boolean.0,add.0,Date.0,date.0,if.0,dates.0,contains.0,date.1,return.0,FALSE.0,boolean.1,added.0,=.0,FALSE.1,for.0,int.0,i.0,=.1,0.0,i.1,<.0,dates.1,size.0,&&.0,added.1,i.2,Date.1,nextDate.0,=.2,dates.2,get.0,i.3,if.1,date.2,before.0,nextDate.1,dates.3,add.1,i.4,date.3,added.2,=.3,TRUE.0,if.2,added.3,dates.4,add.2,date.4,return.1,TRUE.1,code,participant_summary
136,0,1,0,0,0,0,3,8,0,5,6,4,0,0,0,2,9,0,0,0,1,0,0,0,0,0,0,3,5,1,5,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6
176,2,34,5,8,1,0,9,11,0,5,0,8,7,0,0,4,0,1,0,1,0,0,6,0,0,0,0,1,4,0,4,0,0,0,3,2,1,0,2,0,0,0,0,0,0,5,0,0,0,0,0,38,22
155,0,0,1,0,0,0,7,27,4,6,22,5,0,0,2,7,8,0,1,2,3,0,2,3,0,1,0,11,17,1,22,3,2,2,7,11,3,42,18,7,17,18,6,18,0,1,14,10,3,0,0,56,87
117,1,25,0,0,0,0,4,0,0,5,2,6,4,1,3,0,4,2,1,4,3,2,3,0,0,0,0,7,8,2,0,0,0,2,13,14,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,62,19
166,0,3,2,4,0,0,1,8,0,9,7,0,4,0,0,2,11,0,2,0,0,0,0,0,0,0,0,0,6,2,11,6,0,0,10,7,2,6,10,1,10,2,1,5,0,3,9,2,0,2,3,37,36
317,0,1,0,3,3,0,3,17,6,4,6,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,6,6,4,2,1,1,0,0,2,0,0,6,0,7,5,0,4,28,24
168,0,0,5,0,0,0,2,3,0,8,8,1,3,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,14,0,2,4,0,0,5,7,1,5,1,0,5,0,0,2,0,0,1,0,0,0,0,48,66
319,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,3,3,3,1,1,3,0,0,0,0,0,0,0,0,0,0,27,17
182,1,21,3,2,0,1,4,9,0,17,17,5,5,0,19,0,1,0,0,5,0,1,5,0,0,0,0,0,13,1,7,0,0,2,7,4,0,4,0,0,0,5,0,0,0,1,1,0,0,0,0,69,43
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0
