pid,public.0,void.0,clearFieldersFromField.0,// clear all fielders from field.200,for.0,int.0,i.0,=.0,0.0,i.1,<.0,boardXDimension.0,i.2,for.1,int.1,j.0,=.1,0.1,j.1,<.1,boardYDimension.0,j.2,for.2,int.2,a.0,=.2,0.2,a.1,<.2,boardZDimension.0,a.2,cricketFieldPositions.0,i.3,j.3,a.3,=.3,0.3,code,participant_summary
136,0,1,8,0,0,1,0,0,1,0,0,10,0,0,0,0,0,0,0,0,5,0,0,4,0,0,1,4,1,9,0,6,2,0,0,0,0,19,16
176,0,0,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,7,0,0,5,0,1,2,0,0,4,0,11,0,0,0,0,0,15,11
155,0,0,3,0,0,2,3,1,10,1,1,15,0,3,1,1,0,1,2,4,7,0,3,1,0,0,3,0,2,2,0,24,1,1,0,0,0,69,26
117,0,0,11,2,0,0,0,0,0,1,0,5,0,0,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,19,19
166,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,3,0,0,0,0,15,0,0,0,0,0,17,22
317,0,0,32,9,0,0,0,1,3,1,0,19,0,0,1,0,0,0,1,2,12,2,0,4,0,0,1,0,1,20,0,17,1,1,1,0,0,50,61
168,0,0,2,5,0,2,0,1,0,0,0,10,2,0,0,1,1,1,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,56
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,10
182,0,0,9,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
129,0,0,4,2,0,0,1,1,0,0,0,6,0,0,0,0,0,4,0,1,8,2,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,13,8
111,0,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
313,2,3,20,0,0,0,0,3,0,0,1,14,0,1,0,0,0,0,0,0,9,0,0,3,3,0,1,0,0,3,0,22,1,3,0,0,0,35,31
315,0,0,1,0,0,0,0,0,1,1,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,8,12
133,0,0,9,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,6,0,0,2,0,0,2,1,0,11,0,8,0,0,0,0,0,13,25
143,0,0,10,0,0,0,0,0,1,0,0,5,0,0,0,0,2,2,1,0,1,3,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,5,22
311,0,0,4,0,0,0,0,0,0,2,0,2,0,0,3,0,0,0,1,0,6,0,0,0,0,0,0,0,1,26,0,6,0,0,0,0,0,9,28
314,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
106,1,1,19,0,0,3,0,0,0,1,0,16,0,0,0,0,1,0,0,0,11,0,0,2,2,0,2,0,0,20,0,4,0,0,0,0,0,27,29
318,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23
147,0,0,16,0,0,0,0,1,1,0,0,13,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,0,5,0,10,0,0,0,0,0,11,45
191,0,0,23,5,0,0,1,0,0,3,1,20,0,0,0,0,1,4,2,1,17,0,7,3,3,0,1,0,1,12,0,3,0,0,0,0,0,15,18
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
316,0,0,12,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26
312,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,4
139,0,0,22,3,0,1,3,1,5,5,1,28,0,0,2,0,0,2,3,2,39,0,0,5,1,0,1,0,2,12,1,1,0,0,0,0,0,24,29
