pid,public.0,void.0,setPhoto.0,JdaiPhoto.0,photo.0,String.0,text.0,=.0,nan.0,if.0,photo.1,!=.0,nan.1,label.0,setText.0,""""".0",try.0,text.1,=.1,photo.2,getSection.0,getInfoStore.0,getCaption.0,photo.3,catch.0,JdaiReadException.0,e.0,JdaiGuiHelpers.0,reportException.0,"""Unable to read caption"".100",e.1,if.1,text.2,==.0,nan.2,||.0,text.3,equals.0,""""".1",text.4,=.2,"""No caption set"".101",else.0,label.1,setIcon.0,nan.3,label.2,setToolTipText.0,text.5,setNewPhoto.0,photo.4,code,participant_summary
136,0,4,7,3,0,4,5,0,1,0,3,0,0,10,13,0,1,2,0,0,0,0,0,0,3,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,6,40,0,2,1,43,13
117,0,2,0,5,0,7,3,0,0,0,3,1,0,4,0,0,0,3,1,12,6,0,0,0,2,12,0,5,2,0,0,0,5,0,3,0,0,0,0,0,0,0,11,9,7,0,20,6,0,34,1,69,61
166,0,0,2,2,0,3,2,0,0,0,8,0,0,7,10,0,0,4,0,3,0,0,0,0,3,4,0,6,1,0,0,0,0,0,1,0,0,1,0,0,0,5,0,4,1,0,0,11,0,7,4,26,29
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,3,13
182,0,5,7,0,0,9,9,1,4,4,5,0,0,2,3,0,2,8,0,6,6,0,0,0,1,3,0,8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,9,6,1,1,0,0,0,0,49,124
129,0,1,19,3,1,0,4,0,0,0,5,1,1,3,1,0,0,0,0,2,1,1,0,0,0,1,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,23,17
315,0,0,4,8,0,0,1,0,8,0,0,1,1,0,7,0,0,1,0,3,3,7,5,0,0,4,0,15,4,0,0,0,4,3,0,1,0,0,0,3,1,4,0,2,10,0,2,26,0,7,0,48,76
133,0,2,5,8,0,4,4,0,1,0,15,12,2,7,10,0,3,14,0,11,5,3,4,0,0,6,0,11,4,0,0,0,5,2,5,1,7,0,0,6,2,0,1,15,20,2,3,51,1,37,3,67,96
106,0,2,26,10,0,0,3,0,4,0,13,3,4,3,13,2,0,0,0,12,7,5,5,0,0,0,0,6,1,0,0,0,7,0,4,3,0,0,0,1,0,0,1,0,3,0,1,12,0,13,1,58,31
191,0,2,9,6,0,5,3,0,1,0,31,5,3,24,16,0,8,4,0,9,6,4,8,0,10,39,0,14,3,0,0,3,12,1,3,0,5,1,0,8,0,0,2,7,10,0,6,27,0,28,3,146,164
